mission_id,uav_id,energy_unit_id,start_s,link_ready_s,service_end_s,return_s,uav_next_ready_s,unit_next_ready_s,return_soc
R001,R01,R-E01,55.577675532,677.000000000,1428.000000000,1851.681682937,2151.681682937,2549.722889016,0.847660611
R002,R02,R-E02,420.595297664,1060.000000000,1842.000000000,2291.598767176,2591.598767176,2996.457338902,0.842416483
R003,R01,R-E03,2152.123774678,2772.000000000,3470.000000000,3918.371630901,4218.371630901,4601.833621131,0.858875392
R004,R02,R-E04,2592.164791330,3267.000000000,5235.000000000,5728.727665742,6028.727665742,6586.166250566,0.725047242
R005,R01,R-E05,4219.371599213,4741.000000000,5370.000000000,5703.655923573,6003.655923573,6358.589740190,0.880820141
R006,R02,R-E01,6029.601231418,6582.000000000,9155.000000000,9509.613783739,9809.613783739,10416.193030071,0.687246734
R007,R01,R-E06,6010.790404553,6740.000000000,7416.000000000,7964.272922982,8264.272922982,8676.637350944,0.836642748
R008,R01,R-E02,8265.577675532,8887.000000000,9740.000000000,10163.681682937,10463.681682937,10874.384347349,0.837921027
R009,R02,R-E03,9810.123774678,10430.000000000,10798.000000000,11246.371630901,11546.371630901,11888.870079464,0.890385809
R010,R01,R-E05,10464.164791330,11139.000000000,12202.000000000,12695.727665742,12995.727665742,13440.826840844,0.811462173
R011,R02,R-E04,11547.595297664,12187.000000000,12939.000000000,13388.598767176,13688.598767176,14089.733380568,0.845281067
R012,R01,R-E06,13689.817867659,14167.000000000,14806.000000000,15085.395564399,15385.395564399,15733.570428523,0.886019335
