中继架次编号,中继无人机编号,能源组件编号,开始时刻（s）,悬停经度（°）,悬停纬度（°）,悬停海拔（m）,建链完成时刻（s）,服务结束时刻（s）,返回O01时刻（s）,架次能耗（kWh）
R001,R01,R-E01,0.577675532446392,109.252844703,23.053399188,274.812301636,622.0,1428.0,1851.6816829371987,0.504291601
R002,R02,R-E02,0.5952976638195651,109.267596021,23.044531046,370.028778076,640.0,1842.0,2291.598767175861,0.632600587
R003,R01,R-E03,2152.1237746778424,109.272819620,23.017496560,589.644866943,2772.0,3435.0,3883.371630900771,0.440904301
R004,R02,R-E04,2592.1647913304323,109.184788249,23.034571809,474.409484863,3267.0,5179.0,5672.727665741508,0.862737713
R005,R01,R-E05,4184.371599213122,109.209176993,23.034849842,392.030273438,4706.0,5305.0,5638.655923573337,0.372208882
R006,R02,R-E01,6027.350839677098,109.238267812,23.048722186,289.052551270,6582.0,9155.0,9513.09520626203,1.003083431
R007,R01,R-E06,5939.790404552854,109.223395736,23.066616453,476.459930420,6669.0,7435.0,7983.27292298214,0.550243207
R008,R01,R-E02,8284.577675532446,109.252844703,23.053399188,274.812301636,8906.0,9740.0,10163.681682937198,0.512847157
R009,R02,R-E03,9814.95865730851,109.253194077,23.026311640,348.223953247,10284.0,12202.0,12479.418338795413,0.744288049
R010,R01,R-E05,10464.164791330431,109.184788249,23.034571809,474.409484863,11139.0,12202.0,12695.727665741508,0.603321046
R011,R02,R-E04,12996.81786765872,109.233507243,23.039638663,274.261184692,13474.0,14806.0,15085.39556439898,0.576488127
