mission_id,uav_id,energy_unit_id,start_s,link_ready_s,service_end_s,return_s,uav_next_ready_s,unit_next_ready_s,return_soc
R001,R01,R-E01,0.577675532,622.000000000,1428.000000000,1851.681682937,2151.681682937,2556.550145960,0.842408875
R002,R02,R-E02,0.595297664,640.000000000,1842.000000000,2291.598767176,2591.598767176,3048.592755568,0.802312317
R003,R01,R-E03,2152.123774678,2772.000000000,3435.000000000,3883.371630901,4183.371630901,4562.489003075,0.862217406
R004,R02,R-E04,2592.164791330,3267.000000000,5179.000000000,5672.727665742,5972.727665742,6523.214861677,0.730394465
R005,R01,R-E05,4184.371599213,4706.000000000,5305.000000000,5638.655923573,5938.655923573,6289.865781856,0.883684724
R006,R02,R-E01,6027.350839677,6582.000000000,9155.000000000,9513.095206262,9813.095206262,10420.597850119,0.686536428
R007,R01,R-E06,5939.790404553,6669.000000000,7435.000000000,7983.272922982,8283.272922982,8706.809225944,0.828048998
R008,R01,R-E02,8284.577675532,8906.000000000,9740.000000000,10163.681682937,10463.681682937,10872.025840405,0.839735263
R009,R02,R-E03,9814.958657309,10284.000000000,12202.000000000,12479.418338795,12779.418338795,13281.785358847,0.767409985
R010,R01,R-E05,10464.164791330,11139.000000000,12202.000000000,12695.727665742,12995.727665742,13440.826840844,0.811462173
R011,R02,R-E04,12996.817867659,13474.000000000,14806.000000000,15085.395564399,15385.395564399,15819.593866023,0.819847460
