slice_id,sortie_id,stage,start_s,end_s,direct_margin_db,midpoint_status
17,T001,巡航,677.343418621,697.106905844,-0.107041869,ASSIGNED
18,T001,巡航,697.106905844,716.870393067,-0.422433362,ASSIGNED
19,T001,巡航,716.870393067,736.633880291,-1.020854021,ASSIGNED
20,T001,巡航,736.633880291,756.397367514,-1.580737777,ASSIGNED
21,T001,巡航,756.397367514,776.160854737,-2.106744019,ASSIGNED
22,T001,巡航,776.160854737,795.924341961,-2.602735847,ASSIGNED
23,T001,巡航,795.924341961,815.687829184,-3.071951629,ASSIGNED
24,T001,巡航,815.687829184,835.451316407,-3.517132742,ASSIGNED
25,T001,巡航,835.451316407,855.214803631,-3.940620270,ASSIGNED
26,T001,巡航,855.214803631,874.978290854,-4.344429288,ASSIGNED
27,T001,巡航,874.978290854,894.741778078,-4.730306680,ASSIGNED
28,T001,巡航,894.741778078,914.505265301,-5.099776694,ASSIGNED
29,T001,下降,914.505265301,932.396116131,-5.454177219,ASSIGNED
30,T001,下降,932.396116131,950.286966961,-5.453195218,ASSIGNED
31,T001,投送,950.286966961,969.377876052,-5.452529325,ASSIGNED
32,T001,投送,969.377876052,988.468785143,-5.452529325,ASSIGNED
33,T001,投送,988.468785143,1007.559694234,-5.452529325,ASSIGNED
34,T001,投送,1007.559694234,1026.650603325,-5.452529325,ASSIGNED
35,T001,投送,1026.650603325,1045.741512416,-5.452529325,ASSIGNED
36,T001,投送,1045.741512416,1064.832421507,-5.452529325,ASSIGNED
37,T001,投送,1064.832421507,1083.923330597,-5.452529325,ASSIGNED
38,T001,投送,1083.923330597,1103.014239688,-5.452529325,ASSIGNED
39,T001,投送,1103.014239688,1122.105148779,-5.452529325,ASSIGNED
40,T001,投送,1122.105148779,1141.196057870,-5.452529325,ASSIGNED
41,T001,投送,1141.196057870,1160.286966961,-5.452529325,ASSIGNED
42,T001,爬升,1160.286966961,1175.196009320,-5.452529325,ASSIGNED
43,T001,爬升,1175.196009320,1190.105051678,-5.453195218,ASSIGNED
44,T001,巡航,1190.105051678,1209.868538901,-5.454177219,ASSIGNED
45,T001,巡航,1209.868538901,1229.632026125,-5.099776694,ASSIGNED
46,T001,巡航,1229.632026125,1249.395513348,-4.730306680,ASSIGNED
47,T001,巡航,1249.395513348,1269.159000571,-4.344429288,ASSIGNED
48,T001,巡航,1269.159000571,1288.922487795,-3.940620270,ASSIGNED
49,T001,巡航,1288.922487795,1308.685975018,-3.517132742,ASSIGNED
50,T001,巡航,1308.685975018,1328.449462241,-3.071951629,ASSIGNED
51,T001,巡航,1328.449462241,1348.212949465,-2.602735847,ASSIGNED
52,T001,巡航,1348.212949465,1367.976436688,-2.106744019,ASSIGNED
53,T001,巡航,1367.976436688,1387.739923912,-1.580737777,ASSIGNED
54,T001,巡航,1387.739923912,1407.503411135,-1.020854021,ASSIGNED
55,T001,巡航,1407.503411135,1427.266898358,-0.422433362,ASSIGNED
189,T004,巡航,743.069072535,762.935868842,-0.227997122,ASSIGNED
190,T004,巡航,762.935868842,782.802665149,-0.227997122,ASSIGNED
191,T004,巡航,782.802665149,802.669461456,-0.722462062,ASSIGNED
192,T004,巡航,802.669461456,822.536257762,-1.190384955,ASSIGNED
193,T004,巡航,822.536257762,842.403054069,-1.634461724,ASSIGNED
194,T004,巡航,842.403054069,862.269850376,-2.056998518,ASSIGNED
195,T004,巡航,862.269850376,882.136646683,-2.459983202,ASSIGNED
196,T004,巡航,882.136646683,902.003442990,-2.845141219,ASSIGNED
197,T004,巡航,902.003442990,921.870239297,-3.213979732,ASSIGNED
198,T004,巡航,921.870239297,941.737035604,-3.567822886,ASSIGNED
199,T004,巡航,941.737035604,961.603831911,-3.907840231,ASSIGNED
200,T004,巡航,961.603831911,981.470628218,-4.235069847,ASSIGNED
201,T004,巡航,981.470628218,1001.337424525,-4.550437307,ASSIGNED
202,T004,巡航,1001.337424525,1021.204220832,-4.854771348,ASSIGNED
203,T004,巡航,1021.204220832,1041.071017138,-5.148816899,ASSIGNED
204,T004,下降,1041.071017138,1058.871149788,-5.433246009,ASSIGNED
205,T004,下降,1058.871149788,1076.671282438,-5.431525748,ASSIGNED
206,T004,下降,1076.671282438,1094.471415088,-5.430119556,ASSIGNED
207,T004,投送,1094.471415088,1114.471415088,-5.429027740,ASSIGNED
208,T004,投送,1114.471415088,1134.471415088,-5.429027740,ASSIGNED
209,T004,投送,1134.471415088,1154.471415088,-5.429027740,ASSIGNED
210,T004,投送,1154.471415088,1174.471415088,-5.429027740,ASSIGNED
211,T004,投送,1174.471415088,1194.471415088,-5.429027740,ASSIGNED
212,T004,投送,1194.471415088,1214.471415088,-5.429027740,ASSIGNED
213,T004,投送,1214.471415088,1234.471415088,-5.429027740,ASSIGNED
214,T004,投送,1234.471415088,1254.471415088,-5.429027740,ASSIGNED
215,T004,投送,1254.471415088,1274.471415088,-5.429027740,ASSIGNED
216,T004,爬升,1274.471415088,1289.304858962,-5.429027740,ASSIGNED
217,T004,爬升,1289.304858962,1304.138302837,-5.430119556,ASSIGNED
218,T004,爬升,1304.138302837,1318.971746712,-5.431525748,ASSIGNED
219,T004,巡航,1318.971746712,1338.838543019,-5.433246009,ASSIGNED
220,T004,巡航,1338.838543019,1358.705339326,-5.148816899,ASSIGNED
221,T004,巡航,1358.705339326,1378.572135633,-4.854771348,ASSIGNED
222,T004,巡航,1378.572135633,1398.438931940,-4.550437307,ASSIGNED
223,T004,巡航,1398.438931940,1418.305728247,-4.235069847,ASSIGNED
224,T004,巡航,1418.305728247,1438.172524553,-3.907840231,ASSIGNED
225,T004,巡航,1438.172524553,1458.039320860,-3.567822886,ASSIGNED
226,T004,巡航,1458.039320860,1477.906117167,-3.213979732,ASSIGNED
227,T004,巡航,1477.906117167,1497.772913474,-2.845141219,ASSIGNED
228,T004,巡航,1497.772913474,1517.639709781,-2.459983202,ASSIGNED
229,T004,巡航,1517.639709781,1537.506506088,-2.056998518,ASSIGNED
230,T004,巡航,1537.506506088,1557.373302395,-1.634461724,ASSIGNED
231,T004,巡航,1557.373302395,1577.240098702,-1.190384955,ASSIGNED
232,T004,巡航,1577.240098702,1597.106895009,-0.722462062,ASSIGNED
233,T004,巡航,1597.106895009,1616.973691316,-0.227997122,ASSIGNED
274,T005,巡航,1060.402536798,1080.110398735,-0.094709127,ASSIGNED
275,T005,巡航,1080.110398735,1099.818260671,-0.409250750,ASSIGNED
276,T005,巡航,1099.818260671,1119.526122608,-1.006218691,ASSIGNED
277,T005,巡航,1119.526122608,1139.233984544,-1.564912721,ASSIGNED
278,T005,巡航,1139.233984544,1158.941846480,-2.089932413,ASSIGNED
279,T005,巡航,1158.941846480,1178.649708417,-2.585097130,ASSIGNED
280,T005,巡航,1178.649708417,1198.357570353,-3.053612662,ASSIGNED
281,T005,巡航,1198.357570353,1218.065432290,-3.498195720,ASSIGNED
282,T005,巡航,1218.065432290,1237.773294226,-3.921168435,ASSIGNED
283,T005,巡航,1237.773294226,1257.481156163,-4.324531127,ASSIGNED
284,T005,巡航,1257.481156163,1277.189018099,-4.710019053,ASSIGNED
285,T005,巡航,1277.189018099,1296.896880036,-5.079147201,ASSIGNED
