batch_id,type_id,uav_id,battery_id,visit_order,box_ids,start_s,launch_s,return_s,charge_start_s,charge_end_s,charge_s,mass_kg,volume_m3,energy_kwh,return_soc
T001,B,U05,B-B01,S002,S002-MED-01;S002-WAT-01,0.0,360.0,1756.693933922209,1756.693933922209,3477.5022779255505,1720.8083440033415,17.0,0.039,2.432634640007711,0.39184133999807225
T002,A,U02,A-B05,S011,S011-FOD-01,0.0,330.0,1162.0269190036777,1162.0269190036777,1980.2253063517855,818.1983873481079,8.0,0.028,1.101455956204989,0.7552320097322247
T003,A,U04,A-B04,S006,S006-MED-01;S006-WAT-01,0.0,360.0,1313.4852665970077,1313.4852665970077,2192.3868913392653,878.9016247422575,17.0,0.039,1.311582547184737,0.708537211736725
T004,A,U03,A-B03,S012,S012-FOD-01,0.0,330.0,2049.082830175376,2049.082830175376,3366.699652040389,1317.6168218650132,8.0,0.028,2.8302120756865836,0.37106398318075917
T005,B,U06,B-B02,S012,S012-WAT-01;S012-MED-01,349.0,709.0,2211.734555969728,2211.734555969728,3948.399874914248,1736.66531894452,17.0,0.039,2.4692276591027387,0.38269308522431533
T006,C,U07,C-B01,S001,S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-FOD-01,485.0,965.0,1979.1703918787568,1979.1703918787568,3623.860428078608,1644.6900361998512,78.0,0.163,2.99577859519945,0.6255276756000687
T007,C,U08,C-B02,S006,S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,600.0,1020.0,2029.5595259403667,2029.5595259403667,3493.3507631183325,1463.7912371779657,42.0,0.117,2.327844568041719,0.7090194289947851
T008,B,U05,B-B03,S001,S001-MED-01;S001-MED-02;S001-WAT-01,1757.0,2147.0,2966.1015218429493,2966.1015218429493,4098.161349474907,1132.0598276319574,20.0,0.051000000000000004,1.0739842176122094,0.7315039455969476
T009,A,U04,A-B02,S014,S014-WAT-01;S014-MED-01,1944.0,2304.0,3934.4045344521683,3934.4045344521683,5096.238960257137,1161.8344258049683,17.0,0.039,2.2909653200941213,0.4908965955346397
T010,A,U01,A-B01,S014,S014-FOD-01,1974.0,2304.0,3904.4045344521683,3904.4045344521683,5036.659145176483,1132.2546107243152,8.0,0.028,2.188573652507245,0.5136502994428345
T011,A,U02,A-B06,S013,S013-MED-01;S013-WAT-01,1995.0,2355.0,3607.1111816649363,3607.1111816649363,4672.740344829662,1065.6291631647257,17.0,0.039,1.9579471032625122,0.5649006437194417
T012,C,U08,C-B04,S010,S010-MED-01;S010-WAT-01,2030.0,2390.0,3632.7057476613772,3632.7057476613772,5319.103564368674,1686.3978167072964,17.0,0.039,3.1497765539961717,0.6062779307504785
T013,C,U07,C-B03,S010,S010-FOD-01,2060.0,2390.0,3596.7057476613772,3596.7057476613772,5264.9680282749105,1668.2622806135332,8.0,0.028,3.0828145745730464,0.6146481781783693
T014,A,U03,A-B05,S003,S003-MED-01;S003-WAT-01,2453.0,2813.0,4715.65402217778,4715.65402217778,6077.13203546618,1361.4780132884005,17.0,0.039,2.98203927676754,0.33732460516276896
T015,B,U06,B-B04,S007,S007-MED-01;S007-WAT-01,2534.0,2894.0,4110.284389486636,4110.284389486636,5470.272823181211,1359.9884336945745,17.0,0.039,1.599973308525941,0.6000066728685147
T016,C,U08,C-B02,S001,S001-WAT-07;S001-WAT-08;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02,3633.0,4113.0,5127.170391878757,5127.170391878757,6611.86700068177,1484.696608803013,56.0,0.18,2.405033632503433,0.6993707959370709
T017,A,U02,A-B04,S015,S015-WAT-01,3901.0,4231.0,5809.604336390146,5809.604336390146,7011.410497403856,1201.8061610137104,14.0,0.027,2.429329018893613,0.4601491069125304
T018,B,U05,B-B01,S015,S015-MED-01;S015-FOD-01,3950.0,4310.0,5718.288584020971,5718.288584020971,7233.833261206717,1515.5446771857457,11.0,0.04,1.9589492550440286,0.5102626862389928
T019,C,U07,C-B01,S007,S007-WAT-02;S007-FOD-01;S007-HYG-01,3952.0,4342.0,5727.575447836247,5727.575447836247,7414.356671642208,1686.7812238059612,28.0,0.09,3.1511922109758563,0.606100973628018
T020,C,U08,C-B04,S004,S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,5797.0,6217.0,7966.061066593167,7966.061066593167,10293.9945870281,2327.9335204349327,42.0,0.117,5.518523767759751,0.31018452903003113
T021,C,U07,C-B03,S004,S004-MED-01;S004-WAT-01,5857.0,6217.0,7894.061066593167,7894.061066593167,10085.2555691526,2191.194502559432,17.0,0.039,5.013641240219441,0.37329484497256993
T022,B,U05,B-B02,S008,S008-MED-01;S008-WAT-01;S008-FOD-01,5890.0,6280.0,7851.842307167517,7851.842307167517,9807.782005211535,1955.939698044018,25.0,0.067,2.9752454570246574,0.25618863574383566
T023,B,U06,B-B04,S008,S008-WAT-02;S008-HYG-01,5920.0,6280.0,7821.842307167517,7821.842307167517,9686.01181519397,1864.1695080264524,20.0,0.062,2.7634680954456594,0.30913297613858515
T024,C,U07,C-B02,S005,S005-MED-01;S005-WAT-01,7895.0,8255.0,9508.195158195356,9508.195158195356,11273.25487784601,1765.0597196506535,17.0,0.039,3.44022050332549,0.5699724370843138
T025,C,U08,C-B01,S002,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-01;S002-FOD-02;S002-HYG-01,7967.0,8447.0,10074.812018639006,10074.812018639006,12561.759883193701,2486.9478645546947,64.0,0.17200000000000001,6.105653653740411,0.23679329328244858
T026,B,U06,B-B03,S009,S009-MED-01;S009-WAT-01;S009-FOD-01,8100.0,8490.0,9658.442247394776,9658.442247394776,11233.477458724687,1575.0352113299105,25.0,0.067,2.0962351030690245,0.4759412242327439
T027,B,U05,B-B01,S011>S013,S011-MED-01;S011-WAT-01;S013-FOD-01,9081.0,9471.0,11000.0647735352,11000.0647735352,12618.838977130617,1618.7742035954188,25.0,0.067,2.197171239066351,0.4507071902334122
T028,C,U07,C-B03,S003,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-01;S003-FOD-02;S003-HYG-01,10234.0,10714.0,12670.111144337276,12670.111144337276,15168.960612377443,2498.849468040168,64.0,0.17200000000000001,6.149598035840621,0.23130024551992234
T029,C,U08,C-B04,S005,S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,13414.0,13834.0,15159.195158195356,15159.195158195356,17018.19784787929,1859.002689683934,42.0,0.117,3.787086854217603,0.5266141432227996
