货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,T006,S001,1667.2701959393785
S001-FOD-02,T016,S001,4707.270195939378
S001-FOD-03,T016,S001,4743.270195939378
S001-HYG-01,T016,S001,4779.270195939378
S001-HYG-02,T016,S001,4815.270195939378
S001-MED-01,T008,S001,2614.674094254808
S001-MED-02,T008,S001,2644.674094254808
S001-WAT-01,T008,S001,2674.674094254808
S001-WAT-02,T006,S001,1487.2701959393785
S001-WAT-03,T006,S001,1523.2701959393785
S001-WAT-04,T006,S001,1559.2701959393785
S001-WAT-05,T006,S001,1595.2701959393785
S001-WAT-06,T006,S001,1631.2701959393785
S001-WAT-07,T016,S001,4635.270195939378
S001-WAT-08,T016,S001,4671.270195939378
S002-FOD-01,T025,S002,9382.316009319504
S002-FOD-02,T025,S002,9418.316009319504
S002-HYG-01,T025,S002,9454.316009319504
S002-MED-01,T001,S002,1130.2869669611046
S002-WAT-01,T001,S002,1160.2869669611046
S002-WAT-02,T025,S002,9274.316009319504
S002-WAT-03,T025,S002,9310.316009319504
S002-WAT-04,T025,S002,9346.316009319504
S003-FOD-01,T028,S003,11807.515572168639
S003-FOD-02,T028,S003,11843.515572168639
S003-HYG-01,T028,S003,11879.515572168639
S003-MED-01,T014,S003,3832.300344422223
S003-WAT-01,T014,S003,3862.300344422223
S003-WAT-02,T028,S003,11699.515572168639
S003-WAT-03,T028,S003,11735.515572168639
S003-WAT-04,T028,S003,11771.515572168639
S004-FOD-01,T020,S004,7212.500533296583
S004-HYG-01,T020,S004,7248.500533296583
S004-MED-01,T021,S004,7140.500533296583
S004-WAT-01,T021,S004,7176.500533296583
S004-WAT-02,T020,S004,7140.500533296583
S004-WAT-03,T020,S004,7176.500533296583
S005-FOD-01,T029,S005,14619.232579097677
S005-HYG-01,T029,S005,14655.232579097677
S005-MED-01,T024,S005,8968.232579097677
S005-WAT-01,T024,S005,9004.232579097677
S005-WAT-02,T029,S005,14547.232579097677
S005-WAT-03,T029,S005,14583.232579097677
S006-FOD-01,T007,S006,1641.4247629701833
S006-HYG-01,T007,S006,1677.4247629701833
S006-MED-01,T003,S006,905.5059666318372
S006-WAT-01,T003,S006,935.5059666318372
S006-WAT-02,T007,S006,1569.4247629701833
S006-WAT-03,T007,S006,1605.4247629701833
S007-FOD-01,T019,S007,5131.7477239181235
S007-HYG-01,T019,S007,5167.7477239181235
S007-MED-01,T015,S007,3569.7821947433185
S007-WAT-01,T015,S007,3599.7821947433185
S007-WAT-02,T019,S007,5095.7477239181235
S008-FOD-01,T022,S008,7181.147820250426
S008-HYG-01,T023,S008,7151.147820250426
S008-MED-01,T022,S008,7121.147820250426
S008-WAT-01,T022,S008,7151.147820250426
S008-WAT-02,T023,S008,7121.147820250426
S009-FOD-01,T026,S009,9190.811123697387
S009-MED-01,T026,S009,9130.811123697387
S009-WAT-01,T026,S009,9160.811123697387
S010-FOD-01,T013,S010,3090.157873830689
S010-MED-01,T012,S010,3090.157873830689
S010-WAT-01,T012,S010,3126.157873830689
S011-FOD-01,T002,S011,833.2001261685054
S011-MED-01,T027,S011,9927.398491722564
S011-WAT-01,T027,S011,9957.398491722564
S012-FOD-01,T004,S012,1274.471415087688
S012-MED-01,T005,S012,1560.2972779848637
S012-WAT-01,T005,S012,1530.2972779848637
S013-FOD-01,T027,S013,10552.36296672209
S013-MED-01,T011,S013,3048.5889241658015
S013-WAT-01,T011,S013,3078.5889241658015
S014-FOD-01,T010,S014,3186.758933892751
S014-MED-01,T009,S014,3216.758933892751
S014-WAT-01,T009,S014,3186.758933892751
S015-FOD-01,T018,S015,5107.584292010486
S015-MED-01,T018,S015,5077.584292010486
S015-WAT-01,T017,S015,5098.742168195073
