运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
T001,爬升,360.0,375.10452117919925,直连,
T001,爬升,375.10452117919925,390.2090423583985,直连,
T001,爬升,390.2090423583985,405.31356353759776,直连,
T001,爬升,405.31356353759776,420.418084716797,直连,
T001,巡航,420.418084716797,440.18157194016305,直连,
T001,巡航,440.18157194016305,459.9450591635291,直连,
T001,巡航,459.9450591635291,479.7085463868952,直连,
T001,巡航,479.7085463868952,499.47203361026124,直连,
T001,巡航,499.47203361026124,519.2355208336273,直连,
T001,巡航,519.2355208336273,538.9990080569934,直连,
T001,巡航,538.9990080569934,558.7624952803594,直连,
T001,巡航,558.7624952803594,578.5259825037255,直连,
T001,巡航,578.5259825037255,598.2894697270915,直连,
T001,巡航,598.2894697270915,618.0529569504575,直连,
T001,巡航,618.0529569504575,637.8164441738236,直连,
T001,巡航,637.8164441738236,657.5799313971897,直连,
T001,巡航,657.5799313971897,677.3434186205557,直连,
T001,巡航,677.3434186205557,697.1069058439218,中继,R001
T001,巡航,697.1069058439218,716.8703930672878,中继,R001
T001,巡航,716.8703930672878,736.6338802906539,中继,R001
T001,巡航,736.6338802906539,756.39736751402,中继,R001
T001,巡航,756.39736751402,776.160854737386,中继,R001
T001,巡航,776.160854737386,795.924341960752,中继,R001
T001,巡航,795.924341960752,815.6878291841181,中继,R001
T001,巡航,815.6878291841181,835.4513164074842,中继,R001
T001,巡航,835.4513164074842,855.2148036308502,中继,R001
T001,巡航,855.2148036308502,874.9782908542163,中继,R001
T001,巡航,874.9782908542163,894.7417780775824,中继,R001
T001,巡航,894.7417780775824,914.5052653009484,中继,R001
T001,下降,914.5052653009484,932.3961161310265,中继,R001
T001,下降,932.3961161310265,950.2869669611046,中继,R001
T001,投送,950.2869669611046,969.3778760520137,中继,R001
T001,投送,969.3778760520137,988.4687851429227,中继,R001
T001,投送,988.4687851429227,1007.5596942338318,中继,R001
T001,投送,1007.5596942338318,1026.6506033247408,中继,R001
T001,投送,1026.6506033247408,1045.74151241565,中继,R001
T001,投送,1045.74151241565,1064.832421506559,中继,R001
T001,投送,1064.832421506559,1083.923330597468,中继,R001
T001,投送,1083.923330597468,1103.0142396883773,中继,R001
T001,投送,1103.0142396883773,1122.1051487792863,中继,R001
T001,投送,1122.1051487792863,1141.1960578701955,中继,R001
T001,投送,1141.1960578701955,1160.2869669611046,中继,R001
T001,爬升,1160.2869669611046,1175.196009319503,中继,R001
T001,爬升,1175.196009319503,1190.1050516779014,中继,R001
T001,巡航,1190.1050516779014,1209.8685389012676,中继,R001
T001,巡航,1209.8685389012676,1229.6320261246335,中继,R001
T001,巡航,1229.6320261246335,1249.3955133479997,中继,R001
T001,巡航,1249.3955133479997,1269.1590005713656,中继,R001
T001,巡航,1269.1590005713656,1288.9224877947318,中继,R001
T001,巡航,1288.9224877947318,1308.6859750180977,中继,R001
T001,巡航,1308.6859750180977,1328.4494622414638,中继,R001
T001,巡航,1328.4494622414638,1348.2129494648298,中继,R001
T001,巡航,1348.2129494648298,1367.976436688196,中继,R001
T001,巡航,1367.976436688196,1387.739923911562,中继,R001
T001,巡航,1387.739923911562,1407.503411134928,中继,R001
T001,巡航,1407.503411134928,1427.2668983582942,中继,R001
T001,巡航,1427.2668983582942,1447.03038558166,直连,
T001,巡航,1447.03038558166,1466.7938728050262,直连,
T001,巡航,1466.7938728050262,1486.5573600283922,直连,
T001,巡航,1486.5573600283922,1506.3208472517583,直连,
T001,巡航,1506.3208472517583,1526.0843344751243,直连,
T001,巡航,1526.0843344751243,1545.8478216984904,直连,
T001,巡航,1545.8478216984904,1565.6113089218566,直连,
T001,巡航,1565.6113089218566,1585.3747961452225,直连,
T001,巡航,1585.3747961452225,1605.1382833685886,直连,
T001,巡航,1605.1382833685886,1624.9017705919546,直连,
T001,巡航,1624.9017705919546,1644.6652578153207,直连,
T001,巡航,1644.6652578153207,1664.4287450386869,直连,
T001,巡航,1664.4287450386869,1684.1922322620528,直连,
T001,下降,1684.1922322620528,1702.3176576770918,直连,
T001,下降,1702.3176576770918,1720.443083092131,直连,
T001,下降,1720.443083092131,1738.56850850717,直连,
T001,下降,1738.56850850717,1756.693933922209,直连,
T002,爬升,329.99999999999994,348.6290839301215,直连,
T002,爬升,348.6290839301215,367.258167860243,直连,
T002,爬升,367.258167860243,385.8872517903646,直连,
T002,巡航,385.8872517903646,405.38793280950654,直连,
T002,巡航,405.38793280950654,424.8886138286485,直连,
T002,巡航,424.8886138286485,444.38929484779044,直连,
T002,巡航,444.38929484779044,463.8899758669324,直连,
T002,巡航,463.8899758669324,483.39065688607434,直连,
T002,巡航,483.39065688607434,502.89133790521623,直连,
T002,巡航,502.89133790521623,522.3920189243582,直连,
T002,巡航,522.3920189243582,541.8926999435001,直连,
T002,巡航,541.8926999435001,561.3933809626421,直连,
T002,巡航,561.3933809626421,580.894061981784,直连,
T002,巡航,580.894061981784,600.3947430009259,直连,
T002,巡航,600.3947430009259,619.8954240200679,直连,
T002,下降,619.8954240200679,636.5477750942866,直连,
T002,下降,636.5477750942866,653.2001261685054,直连,
T002,投送,653.2001261685054,673.2001261685054,直连,
T002,投送,673.2001261685054,693.2001261685054,直连,
T002,投送,693.2001261685054,713.2001261685054,直连,
T002,投送,713.2001261685054,733.2001261685054,直连,
T002,投送,733.2001261685054,753.2001261685054,直连,
T002,投送,753.2001261685054,773.2001261685054,直连,
T002,投送,773.2001261685054,793.2001261685054,直连,
T002,投送,793.2001261685054,813.2001261685054,直连,
T002,投送,813.2001261685054,833.2001261685054,直连,
T002,爬升,833.2001261685054,847.0770853970212,直连,
T002,爬升,847.0770853970212,860.9540446255368,直连,
T002,巡航,860.9540446255368,880.4547256446787,直连,
T002,巡航,880.4547256446787,899.9554066638207,直连,
T002,巡航,899.9554066638207,919.4560876829626,直连,
