mission_id,uav_id,energy_unit_id,start_s,link_ready_s,service_end_s,return_s,uav_next_ready_s,unit_next_ready_s,return_soc
R001,R01,R-E01,55.577675532,677.000000000,1428.000000000,1851.681682937,2151.681682937,2549.722889016,0.847660611
R002,R02,R-E02,101.595297664,741.000000000,1553.000000000,2002.598767176,2302.598767176,2711.181297235,0.839551900
R003,R01,R-E03,2152.123774678,2772.000000000,3435.000000000,3883.371630901,4183.371630901,4562.489003075,0.862217406
R004,R02,R-E04,2592.164791330,3267.000000000,5211.000000000,5704.727665742,6004.727665742,6559.187083899,0.727338909
R005,R01,R-E05,4184.689497747,4632.000000000,5290.000000000,5544.435783015,5844.435783015,6183.990916253,0.892649898
R006,R02,R-E06,6010.601231418,6563.000000000,9314.000000000,9668.613783739,9968.613783739,10597.288516182,0.670250206
R007,R01,R-E01,6010.790404553,6740.000000000,7488.000000000,8036.272922982,8336.272922982,8757.574850944,0.829767748
R008,R01,R-E02,8416.577675532,9038.000000000,9891.000000000,10314.681682937,10614.681682937,11025.384347349,0.837921027
R009,R01,R-E05,10616.669353132,11160.000000000,12063.000000000,12421.253743589,12721.253743589,13114.761013549,0.851148254
R010,R02,R-E03,10615.164791330,11290.000000000,12353.000000000,12846.727665742,13146.727665742,13591.826840844,0.811462173
