slice_id,sortie_id,stage,start_s,end_s,direct_margin_db,midpoint_status
17,T001,巡航,677.343418621,697.106905844,-0.107041869,ASSIGNED
18,T001,巡航,697.106905844,716.870393067,-0.422433362,ASSIGNED
19,T001,巡航,716.870393067,736.633880291,-1.020854021,ASSIGNED
20,T001,巡航,736.633880291,756.397367514,-1.580737777,ASSIGNED
21,T001,巡航,756.397367514,776.160854737,-2.106744019,ASSIGNED
22,T001,巡航,776.160854737,795.924341961,-2.602735847,ASSIGNED
23,T001,巡航,795.924341961,815.687829184,-3.071951629,ASSIGNED
24,T001,巡航,815.687829184,835.451316407,-3.517132742,ASSIGNED
25,T001,巡航,835.451316407,855.214803631,-3.940620270,ASSIGNED
26,T001,巡航,855.214803631,874.978290854,-4.344429288,ASSIGNED
27,T001,巡航,874.978290854,894.741778078,-4.730306680,ASSIGNED
28,T001,巡航,894.741778078,914.505265301,-5.099776694,ASSIGNED
29,T001,下降,914.505265301,932.396116131,-5.454177219,ASSIGNED
30,T001,下降,932.396116131,950.286966961,-5.453195218,ASSIGNED
31,T001,投送,950.286966961,969.377876052,-5.452529325,ASSIGNED
32,T001,投送,969.377876052,988.468785143,-5.452529325,ASSIGNED
33,T001,投送,988.468785143,1007.559694234,-5.452529325,ASSIGNED
34,T001,投送,1007.559694234,1026.650603325,-5.452529325,ASSIGNED
35,T001,投送,1026.650603325,1045.741512416,-5.452529325,ASSIGNED
36,T001,投送,1045.741512416,1064.832421507,-5.452529325,ASSIGNED
37,T001,投送,1064.832421507,1083.923330597,-5.452529325,ASSIGNED
38,T001,投送,1083.923330597,1103.014239688,-5.452529325,ASSIGNED
39,T001,投送,1103.014239688,1122.105148779,-5.452529325,ASSIGNED
40,T001,投送,1122.105148779,1141.196057870,-5.452529325,ASSIGNED
41,T001,投送,1141.196057870,1160.286966961,-5.452529325,ASSIGNED
42,T001,爬升,1160.286966961,1175.196009320,-5.452529325,ASSIGNED
43,T001,爬升,1175.196009320,1190.105051678,-5.453195218,ASSIGNED
44,T001,巡航,1190.105051678,1209.868538901,-5.454177219,ASSIGNED
45,T001,巡航,1209.868538901,1229.632026125,-5.099776694,ASSIGNED
46,T001,巡航,1229.632026125,1249.395513348,-4.730306680,ASSIGNED
47,T001,巡航,1249.395513348,1269.159000571,-4.344429288,ASSIGNED
48,T001,巡航,1269.159000571,1288.922487795,-3.940620270,ASSIGNED
49,T001,巡航,1288.922487795,1308.685975018,-3.517132742,ASSIGNED
50,T001,巡航,1308.685975018,1328.449462241,-3.071951629,ASSIGNED
51,T001,巡航,1328.449462241,1348.212949465,-2.602735847,ASSIGNED
52,T001,巡航,1348.212949465,1367.976436688,-2.106744019,ASSIGNED
53,T001,巡航,1367.976436688,1387.739923912,-1.580737777,ASSIGNED
54,T001,巡航,1387.739923912,1407.503411135,-1.020854021,ASSIGNED
55,T001,巡航,1407.503411135,1427.266898358,-0.422433362,ASSIGNED
296,T006,巡航,741.402536798,761.110398735,-0.094709127,ASSIGNED
297,T006,巡航,761.110398735,780.818260671,-0.409250750,ASSIGNED
298,T006,巡航,780.818260671,800.526122608,-1.006218691,ASSIGNED
299,T006,巡航,800.526122608,820.233984544,-1.564912721,ASSIGNED
300,T006,巡航,820.233984544,839.941846480,-2.089932413,ASSIGNED
301,T006,巡航,839.941846480,859.649708417,-2.585097130,ASSIGNED
302,T006,巡航,859.649708417,879.357570353,-3.053612662,ASSIGNED
303,T006,巡航,879.357570353,899.065432290,-3.498195720,ASSIGNED
304,T006,巡航,899.065432290,918.773294226,-3.921168435,ASSIGNED
305,T006,巡航,918.773294226,938.481156163,-4.324531127,ASSIGNED
306,T006,巡航,938.481156163,958.189018099,-4.710019053,ASSIGNED
307,T006,巡航,958.189018099,977.896880036,-5.079147201,ASSIGNED
308,T006,下降,977.896880036,995.697012685,-5.433246009,ASSIGNED
309,T006,下降,995.697012685,1013.497145335,-5.431525748,ASSIGNED
310,T006,下降,1013.497145335,1031.297277985,-5.430119556,ASSIGNED
311,T006,投送,1031.297277985,1051.297277985,-5.429027740,ASSIGNED
312,T006,投送,1051.297277985,1071.297277985,-5.429027740,ASSIGNED
313,T006,投送,1071.297277985,1091.297277985,-5.429027740,ASSIGNED
314,T006,投送,1091.297277985,1111.297277985,-5.429027740,ASSIGNED
315,T006,投送,1111.297277985,1131.297277985,-5.429027740,ASSIGNED
316,T006,投送,1131.297277985,1151.297277985,-5.429027740,ASSIGNED
317,T006,投送,1151.297277985,1171.297277985,-5.429027740,ASSIGNED
318,T006,投送,1171.297277985,1191.297277985,-5.429027740,ASSIGNED
319,T006,投送,1191.297277985,1211.297277985,-5.429027740,ASSIGNED
320,T006,投送,1211.297277985,1231.297277985,-5.429027740,ASSIGNED
321,T006,投送,1231.297277985,1251.297277985,-5.429027740,ASSIGNED
322,T006,投送,1251.297277985,1271.297277985,-5.429027740,ASSIGNED
323,T006,爬升,1271.297277985,1286.130721860,-5.429027740,ASSIGNED
324,T006,爬升,1286.130721860,1300.964165734,-5.430119556,ASSIGNED
325,T006,爬升,1300.964165734,1315.797609609,-5.431525748,ASSIGNED
326,T006,巡航,1315.797609609,1335.505471546,-5.433246009,ASSIGNED
327,T006,巡航,1335.505471546,1355.213333482,-5.079147201,ASSIGNED
328,T006,巡航,1355.213333482,1374.921195419,-4.710019053,ASSIGNED
329,T006,巡航,1374.921195419,1394.629057355,-4.324531127,ASSIGNED
330,T006,巡航,1394.629057355,1414.336919291,-3.921168435,ASSIGNED
331,T006,巡航,1414.336919291,1434.044781228,-3.498195720,ASSIGNED
332,T006,巡航,1434.044781228,1453.752643164,-3.053612662,ASSIGNED
333,T006,巡航,1453.752643164,1473.460505101,-2.585097130,ASSIGNED
334,T006,巡航,1473.460505101,1493.168367037,-2.089932413,ASSIGNED
335,T006,巡航,1493.168367037,1512.876228974,-1.564912721,ASSIGNED
336,T006,巡航,1512.876228974,1532.584090910,-1.006218691,ASSIGNED
337,T006,巡航,1532.584090910,1552.291952847,-0.409250750,ASSIGNED
425,T008,巡航,2772.927111550,2792.563235445,-0.161032518,ASSIGNED
426,T008,巡航,2792.563235445,2812.199359340,-0.161032518,ASSIGNED
427,T008,巡航,2812.199359340,2831.835483235,-0.651800429,ASSIGNED
428,T008,巡航,2831.835483235,2851.471607130,-1.116589392,ASSIGNED
429,T008,巡航,2851.471607130,2871.107731025,-1.557986728,ASSIGNED
430,T008,巡航,2871.107731025,2890.743854920,-1.978214914,ASSIGNED
431,T008,巡航,2890.743854920,2910.379978815,-2.379196518,ASSIGNED
432,T008,下降,2910.379978815,2929.655769830,-2.762605430,ASSIGNED
433,T008,下降,2929.655769830,2948.931560846,-2.756653839,ASSIGNED
434,T008,下降,2948.931560846,2968.207351862,-2.751378051,ASSIGNED
435,T008,下降,2968.207351862,2987.483142877,-2.746780542,ASSIGNED
436,T008,下降,2987.483142877,3006.758933893,-2.742863473,ASSIGNED
437,T008,投送,3006.758933893,3025.849842984,-2.739628693,ASSIGNED
438,T008,投送,3025.849842984,3044.940752075,-2.739628693,ASSIGNED
439,T008,投送,3044.940752075,3064.031661165,-2.739628693,ASSIGNED
