batch_id,type_id,uav_id,battery_id,visit_order,box_ids,start_s,launch_s,return_s,charge_start_s,charge_end_s,charge_s,mass_kg,volume_m3,energy_kwh,return_soc
T001,B,U05,B-B01,S002,S002-MED-01;S002-WAT-01,0.0,360.0,1756.693933922209,1756.693933922209,3477.5022779255505,1720.8083440033415,17.0,0.039,2.432634640007711,0.39184133999807225
T002,A,U04,A-B06,S011,S011-MED-01;S011-WAT-01,0.0,360.0,1222.0269190036777,1222.0269190036777,2054.834608045965,832.8076890422875,17.0,0.039,1.1520266159156107,0.7439940853520866
T003,A,U02,A-B02,S006,S006-MED-01;S006-WAT-01,0.0,360.0,1313.4852665970077,1313.4852665970077,2192.3868913392653,878.9016247422575,17.0,0.039,1.311582547184737,0.708537211736725
T004,C,U07,C-B01,S001,S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-FOD-01,0.0,480.0,1494.1703918787568,1494.1703918787568,3138.860428078608,1644.6900361998512,78.0,0.163,2.99577859519945,0.6255276756000687
T005,C,U08,C-B02,S001,S001-WAT-07;S001-WAT-08;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02,0.0,480.0,1494.1703918787568,1494.1703918787568,2978.86700068177,1484.696608803013,56.0,0.18,2.405033632503433,0.6993707959370709
T006,B,U06,B-B02,S012,S012-WAT-01;S012-MED-01;S012-FOD-01,0.0,390.0,1922.7345559697276,1922.7345559697276,3782.107403132064,1859.3728471623365,25.0,0.067,2.7523988780669306,0.31190028048326734
T007,B,U05,B-B03,S001,S001-MED-01;S001-MED-02;S001-WAT-01,1757.0,2147.0,2966.1015218429493,2966.1015218429493,4098.161349474907,1132.0598276319574,20.0,0.051000000000000004,1.0739842176122094,0.7315039455969476
T008,A,U01,A-B01,S014,S014-WAT-01;S014-MED-01,1944.0,2304.0,3934.4045344521683,3934.4045344521683,5096.238960257137,1161.8344258049683,17.0,0.039,2.2909653200941213,0.4908965955346397
T009,C,U07,C-B03,S013,S013-MED-01;S013-WAT-01;S013-FOD-01,2027.0,2417.0,3638.6308882030426,3638.6308882030426,5351.938142678521,1713.3072544754784,25.0,0.067,3.249134478063305,0.5938581902420869
T010,C,U08,C-B04,S010,S010-MED-01;S010-WAT-01,2030.0,2390.0,3632.7057476613772,3632.7057476613772,5319.103564368674,1686.3978167072964,17.0,0.039,3.1497765539961717,0.6062779307504785
T011,B,U06,B-B04,S007,S007-MED-01;S007-WAT-01,2534.0,2894.0,4110.284389486636,4110.284389486636,5470.272823181211,1359.9884336945745,17.0,0.039,1.599973308525941,0.6000066728685147
