架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U05,B,B-B01,0.0,S002,1756.693933922209,2.432634640007711
T002,U04,A,A-B06,0.0,S011,1222.0269190036777,1.1520266159156107
T003,U02,A,A-B02,0.0,S006,1313.4852665970077,1.311582547184737
T004,U07,C,C-B01,0.0,S001,1494.1703918787568,2.99577859519945
T005,U08,C,C-B02,0.0,S001,1494.1703918787568,2.405033632503433
T006,U06,B,B-B02,0.0,S012,1922.7345559697276,2.7523988780669306
T007,U05,B,B-B03,1757.0,S001,2966.1015218429493,1.0739842176122094
T008,U01,A,A-B01,1944.0,S014,3934.4045344521683,2.2909653200941213
T009,U07,C,C-B03,2027.0,S013,3638.6308882030426,3.249134478063305
T010,U08,C,C-B04,2030.0,S010,3632.7057476613772,3.1497765539961717
T011,U06,B,B-B04,2534.0,S007,4110.284389486636,1.599973308525941
T012,U02,A,A-B02,2914.0,S003,5176.65402217778,2.98203927676754
T013,U08,C,C-B02,3633.0,S006,5062.559525940367,2.327844568041719
T014,U05,B,B-B01,3846.0,S015,5674.288584020971,2.3074846159024167
T015,U07,C,C-B01,3952.0,S007,5727.575447836247,3.1511922109758563
T016,U08,C,C-B04,5737.0,S004,8038.061066593167,6.152957431097095
T017,U07,C,C-B03,5829.0,S005,7574.195158195356,3.787086854217603
T018,U06,B,B-B02,5890.0,S008,7851.842307167517,2.9752454570246574
T019,U05,B,B-B04,5920.0,S008,7821.842307167517,2.7634680954456594
T020,U05,B,B-B01,7822.0,S011>S005,9646.747652703843,1.9710265483727385
T021,U08,C,C-B01,8130.0,S002,10237.812018639006,6.105653653740411
T022,U06,B,B-B03,8289.0,S009,9847.442247394776,2.0962351030690245
T023,U07,C,C-B03,10385.0,S003,12821.111144337276,6.149598035840621
T024,U05,B,B-B02,10439.0,S010>S014,12495.03536902986,2.0658895222553735
