sortie_id,stage,start_s,end_s,mode,relay_id,comm_row_index,status,method,margin_db,worst_distance_m,pessimistic_obstructed,witness_s,reason
T001,爬升,360.0,375.10452117919925,直连,,1,PASS,worst_obstruction_endpoint_distance,43.878709413313516,25.31356353759776,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,爬升,375.10452117919925,390.2090423583985,直连,,2,PASS,worst_obstruction_endpoint_distance,34.966344352585295,70.62712707519552,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,爬升,390.2090423583985,405.31356353759776,直连,,3,PASS,worst_obstruction_endpoint_distance,30.66105750651289,115.94069061279328,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,爬升,405.31356353759776,420.418084716797,直连,,4,PASS,worst_obstruction_endpoint_distance,27.79555154865507,161.25425415039103,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,420.418084716797,440.18157194016305,直连,,5,PASS,worst_obstruction_endpoint_distance,21.38103723570191,337.4713404244516,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,440.18157194016305,459.9450591635291,直连,,6,PASS,worst_obstruction_endpoint_distance,16.17615903644753,614.4418760035281,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,459.9450591635291,479.7085463868952,直连,,7,PASS,worst_obstruction_endpoint_distance,12.823774280234389,903.8576628091926,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,479.7085463868952,499.47203361026124,直连,,8,PASS,worst_obstruction_endpoint_distance,10.385900789493661,1196.723223014895,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,499.47203361026124,519.2355208336273,直连,,9,PASS,worst_obstruction_endpoint_distance,8.476180856524223,1491.0071135443768,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,519.2355208336273,538.9990080569934,直连,,10,PASS,worst_obstruction_endpoint_distance,6.908105372473543,1786.0083692495245,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,538.9990080569934,558.7624952803594,直连,,11,PASS,worst_obstruction_endpoint_distance,5.578572376014165,2081.421994615999,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,558.7624952803594,578.5259825037255,直连,,12,PASS,worst_obstruction_endpoint_distance,4.424847125248689,2377.0942527732964,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,578.5259825037255,598.2894697270915,直连,,13,PASS,worst_obstruction_endpoint_distance,3.4059931797055043,2672.939317626779,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,598.2894697270915,618.0529569504575,直连,,14,PASS,worst_obstruction_endpoint_distance,2.4938475922613463,2968.9055301769163,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,618.0529569504575,637.8164441738236,直连,,15,PASS,worst_obstruction_endpoint_distance,1.6682180133278024,3264.9599447416617,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,637.8164441738236,657.5799313971897,直连,,16,PASS,worst_obstruction_endpoint_distance,0.9141391873638156,3561.0805630696686,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,657.5799313971897,677.3434186205557,直连,,17,PASS,worst_obstruction_endpoint_distance,0.2202145974620322,3857.2521378350943,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,677.3434186205557,697.1069058439218,中继,R001,18,PASS,worst_obstruction_endpoint_distance,1.7986941689042766,1611.9592170068474,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,697.1069058439218,716.8703930672878,中继,R001,19,PASS,worst_obstruction_endpoint_distance,3.548725382916672,1317.8090603809612,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,716.8703930672878,736.6338802906539,中继,R001,20,PASS,worst_obstruction_endpoint_distance,5.731414163795407,1024.9862751293902,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,736.6338802906539,756.39736751402,中继,R001,21,PASS,worst_obstruction_endpoint_distance,8.619096337392278,735.0788740248184,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,756.39736751402,776.160854737386,中继,R002,22,PASS,worst_obstruction_endpoint_distance,0.0883123486256494,1962.7868552554803,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,776.160854737386,795.924341960752,中继,R001,23,PASS,worst_obstruction_endpoint_distance,17.87171950183982,253.33942657084106,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,795.924341960752,815.6878291841181,中继,R001,24,PASS,worst_obstruction_endpoint_distance,11.846499345070555,506.94844008022034,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,815.6878291841181,835.4513164074842,中继,R001,25,PASS,worst_obstruction_endpoint_distance,7.982943005401779,790.9364822770917,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,835.4513164074842,855.2148036308502,中继,R001,26,PASS,worst_obstruction_endpoint_distance,5.2641680033805756,1081.634069057801,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,855.2148036308502,874.9782908542163,中继,R001,27,PASS,worst_obstruction_endpoint_distance,3.1810377706371042,1374.7915994615264,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,874.9782908542163,894.7417780775824,中继,R001,28,PASS,worst_obstruction_endpoint_distance,1.4960582519514247,1669.113407412768,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,巡航,894.7417780775824,914.5052653009484,中继,R001,29,PASS,worst_obstruction_endpoint_distance,0.08260871375279066,1964.076152778362,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,下降,914.5052653009484,932.3961161310265,中继,R001,30,PASS,worst_obstruction_endpoint_distance,0.08260871375279066,1964.076152778362,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,下降,932.3961161310265,950.2869669611046,中继,R001,31,PASS,worst_obstruction_endpoint_distance,0.0804771903531929,1964.5581975862738,True,,端点最大距离且全时段按遮挡计损仍满足双向预算
T001,投送,950.2869669611046,969.3778760520137,中继,R001,32,PASS,exact_point,0.0804771903531929,1964.5581975862738,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,969.3778760520137,988.4687851429227,中继,R001,33,PASS,exact_point,0.0804771903531929,1964.5581975862738,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,988.4687851429227,1007.5596942338318,中继,R001,34,PASS,exact_point,0.0804771903531929,1964.5581975862738,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,1007.5596942338318,1026.6506033247408,中继,R001,35,PASS,exact_point,0.0804771903531929,1964.5581975862738,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,1026.6506033247408,1045.74151241565,中继,R001,36,PASS,exact_point,0.0804771903531929,1964.5581975862738,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,1045.74151241565,1064.832421506559,中继,R001,37,PASS,exact_point,0.0804771903531929,1964.5581975862738,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,1064.832421506559,1083.923330597468,中继,R001,38,PASS,exact_point,0.0804771903531929,1964.5581975862738,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,1083.923330597468,1103.0142396883773,中继,R001,39,PASS,exact_point,0.0804771903531929,1964.5581975862738,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,1103.0142396883773,1122.1051487792863,中继,R001,40,PASS,exact_point,0.0804771903531929,1964.5581975862738,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,1122.1051487792863,1141.1960578701955,中继,R001,41,PASS,exact_point,0.0804771903531929,1964.5581975862738,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
T001,投送,1141.1960578701955,1160.2869669611046,中继,R001,42,PASS,exact_point,0.0804771903531929,1964.5581975862738,,,独立计算 DEM 遮挡、自由空间损耗与双向预算
