货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,T004,S001,1182.2701959393785
S001-FOD-02,T005,S001,1074.2701959393785
S001-FOD-03,T005,S001,1110.2701959393785
S001-HYG-01,T005,S001,1146.2701959393785
S001-HYG-02,T005,S001,1182.2701959393785
S001-MED-01,T007,S001,2614.674094254808
S001-MED-02,T007,S001,2644.674094254808
S001-WAT-01,T007,S001,2674.674094254808
S001-WAT-02,T004,S001,1002.2701959393784
S001-WAT-03,T004,S001,1038.2701959393785
S001-WAT-04,T004,S001,1074.2701959393785
S001-WAT-05,T004,S001,1110.2701959393785
S001-WAT-06,T004,S001,1146.2701959393785
S001-WAT-07,T005,S001,1002.2701959393784
S001-WAT-08,T005,S001,1038.2701959393785
S002-FOD-01,T021,S002,9545.316009319504
S002-FOD-02,T021,S002,9581.316009319504
S002-HYG-01,T021,S002,9617.316009319504
S002-MED-01,T001,S002,1130.2869669611046
S002-WAT-01,T001,S002,1160.2869669611046
S002-WAT-02,T021,S002,9437.316009319504
S002-WAT-03,T021,S002,9473.316009319504
S002-WAT-04,T021,S002,9509.316009319504
S003-FOD-01,T023,S003,11958.515572168639
S003-FOD-02,T023,S003,11994.515572168639
S003-HYG-01,T023,S003,12030.515572168639
S003-MED-01,T012,S003,4293.300344422223
S003-WAT-01,T012,S003,4323.300344422223
S003-WAT-02,T023,S003,11850.515572168639
S003-WAT-03,T023,S003,11886.515572168639
S003-WAT-04,T023,S003,11922.515572168639
S004-FOD-01,T016,S004,7284.500533296583
S004-HYG-01,T016,S004,7320.500533296583
S004-MED-01,T016,S004,7140.500533296583
S004-WAT-01,T016,S004,7176.500533296583
S004-WAT-02,T016,S004,7212.500533296583
S004-WAT-03,T016,S004,7248.500533296583
S005-FOD-01,T017,S005,7034.232579097678
S005-HYG-01,T017,S005,7070.232579097678
S005-MED-01,T020,S005,9141.41688838481
S005-WAT-01,T020,S005,9171.41688838481
S005-WAT-02,T017,S005,6962.232579097678
S005-WAT-03,T017,S005,6998.232579097678
S006-FOD-01,T013,S006,4674.424762970183
S006-HYG-01,T013,S006,4710.424762970183
S006-MED-01,T003,S006,905.5059666318372
S006-WAT-01,T003,S006,935.5059666318372
S006-WAT-02,T013,S006,4602.424762970183
S006-WAT-03,T013,S006,4638.424762970183
S007-FOD-01,T015,S007,5131.7477239181235
S007-HYG-01,T015,S007,5167.7477239181235
S007-MED-01,T011,S007,3569.7821947433185
S007-WAT-01,T011,S007,3599.7821947433185
S007-WAT-02,T015,S007,5095.7477239181235
S008-FOD-01,T018,S008,7181.147820250426
S008-HYG-01,T019,S008,7151.147820250426
S008-MED-01,T018,S008,7121.147820250426
S008-WAT-01,T018,S008,7151.147820250426
S008-WAT-02,T019,S008,7121.147820250426
S009-FOD-01,T022,S009,9379.811123697387
S009-MED-01,T022,S009,9319.811123697387
S009-WAT-01,T022,S009,9349.811123697387
S010-FOD-01,T024,S010,11434.225117889933
S010-MED-01,T010,S010,3090.157873830689
S010-WAT-01,T010,S010,3126.157873830689
S011-FOD-01,T020,S011,8668.398491722564
S011-MED-01,T002,S011,863.2001261685054
S011-WAT-01,T002,S011,893.2001261685054
S012-FOD-01,T006,S012,1271.2972779848637
S012-MED-01,T006,S012,1241.2972779848637
S012-WAT-01,T006,S012,1211.2972779848637
S013-FOD-01,T009,S013,3160.6154441015215
S013-MED-01,T009,S013,3088.6154441015215
S013-WAT-01,T009,S013,3124.6154441015215
S014-FOD-01,T024,S014,11867.715938387013
S014-MED-01,T008,S014,3216.758933892751
S014-WAT-01,T008,S014,3186.758933892751
S015-FOD-01,T014,S015,5063.584292010486
S015-MED-01,T014,S015,5003.584292010486
S015-WAT-01,T014,S015,5033.584292010486
