box_id,batch_id,zone_id,sequence,complete_s,hard_deadline_s,expected_s,priority,hard_slack_s,soft_lateness_s
S002-MED-01,T001,S002,1,1130.2869669611046,3600.0,3600.0,24.0,2469.7130330388954,0.0
S002-WAT-01,T001,S002,2,1160.2869669611046,3600.0,3600.0,12.0,2439.7130330388954,0.0
S011-MED-01,T002,S011,1,863.2001261685054,10800.0,10800.0,16.0,9936.799873831495,0.0
S011-WAT-01,T002,S011,2,893.2001261685054,10800.0,10800.0,8.0,9906.799873831495,0.0
S006-MED-01,T003,S006,1,905.5059666318372,3600.0,3600.0,24.0,2694.494033368163,0.0
S006-WAT-01,T003,S006,2,935.5059666318372,3600.0,3600.0,12.0,2664.494033368163,0.0
S001-WAT-02,T004,S001,1,1002.2701959393784,,3600.0,12.0,,0.0
S001-WAT-03,T004,S001,2,1038.2701959393785,,3600.0,12.0,,0.0
S001-WAT-04,T004,S001,3,1074.2701959393785,,3600.0,12.0,,0.0
S001-WAT-05,T004,S001,4,1110.2701959393785,,3600.0,12.0,,0.0
S001-WAT-06,T004,S001,5,1146.2701959393785,,3600.0,12.0,,0.0
S001-FOD-01,T004,S001,6,1182.2701959393785,,7200.0,10.0,,0.0
S001-WAT-07,T005,S001,1,1002.2701959393784,,3600.0,12.0,,0.0
S001-WAT-08,T005,S001,2,1038.2701959393785,,3600.0,12.0,,0.0
S001-FOD-02,T005,S001,3,1074.2701959393785,,7200.0,10.0,,0.0
S001-FOD-03,T005,S001,4,1110.2701959393785,,7200.0,10.0,,0.0
S001-HYG-01,T005,S001,5,1146.2701959393785,,10800.0,8.0,,0.0
S001-HYG-02,T005,S001,6,1182.2701959393785,,10800.0,8.0,,0.0
S012-WAT-01,T006,S012,1,1211.2972779848637,3600.0,3600.0,12.0,2388.7027220151363,0.0
S012-MED-01,T006,S012,2,1241.2972779848637,3600.0,7200.0,22.0,2358.7027220151363,0.0
S012-FOD-01,T006,S012,3,1271.2972779848637,,7200.0,10.0,,0.0
S001-MED-01,T007,S001,1,2614.674094254808,3600.0,3600.0,24.0,985.3259057451919,0.0
S001-MED-02,T007,S001,2,2644.674094254808,3600.0,3600.0,24.0,955.3259057451919,0.0
S001-WAT-01,T007,S001,3,2674.674094254808,3600.0,3600.0,12.0,925.3259057451919,0.0
S014-WAT-01,T008,S014,1,3186.758933892751,3600.0,3600.0,12.0,413.241066107249,0.0
S014-MED-01,T008,S014,2,3216.758933892751,3600.0,7200.0,22.0,383.241066107249,0.0
S013-MED-01,T009,S013,1,3088.6154441015215,3600.0,3600.0,24.0,511.38455589847854,0.0
S013-WAT-01,T009,S013,2,3124.6154441015215,3600.0,3600.0,12.0,475.38455589847854,0.0
S013-FOD-01,T009,S013,3,3160.6154441015215,,7200.0,10.0,,0.0
S010-MED-01,T010,S010,1,3090.157873830689,3600.0,3600.0,24.0,509.8421261693111,0.0
S010-WAT-01,T010,S010,2,3126.157873830689,3600.0,3600.0,12.0,473.8421261693111,0.0
S007-MED-01,T011,S007,1,3569.7821947433185,3600.0,3600.0,24.0,30.21780525668146,0.0
S007-WAT-01,T011,S007,2,3599.7821947433185,3600.0,3600.0,12.0,0.21780525668145856,0.0
S003-MED-01,T012,S003,1,4293.300344422223,7200.0,7200.0,20.0,2906.699655577777,0.0
S003-WAT-01,T012,S003,2,4323.300344422223,7200.0,7200.0,10.0,2876.699655577777,0.0
S006-WAT-02,T013,S006,1,4602.424762970183,,3600.0,12.0,,1002.4247629701831
S006-WAT-03,T013,S006,2,4638.424762970183,,3600.0,12.0,,1038.424762970183
S006-FOD-01,T013,S006,3,4674.424762970183,,7200.0,10.0,,0.0
S006-HYG-01,T013,S006,4,4710.424762970183,,10800.0,8.0,,0.0
S015-MED-01,T014,S015,1,5003.584292010486,7200.0,7200.0,18.0,2196.415707989514,0.0
S015-WAT-01,T014,S015,2,5033.584292010486,10800.0,10800.0,8.0,5766.415707989514,0.0
S015-FOD-01,T014,S015,3,5063.584292010486,,14400.0,6.0,,0.0
S007-WAT-02,T015,S007,1,5095.7477239181235,,3600.0,12.0,,1495.7477239181235
S007-FOD-01,T015,S007,2,5131.7477239181235,,7200.0,10.0,,0.0
S007-HYG-01,T015,S007,3,5167.7477239181235,,10800.0,8.0,,0.0
S004-MED-01,T016,S004,1,7140.500533296583,7200.0,7200.0,20.0,59.499466703417056,0.0
S004-WAT-01,T016,S004,2,7176.500533296583,7200.0,7200.0,10.0,23.499466703417056,0.0
S004-WAT-02,T016,S004,3,7212.500533296583,,7200.0,10.0,,12.500533296582944
S004-WAT-03,T016,S004,4,7248.500533296583,,7200.0,10.0,,48.500533296582944
S004-FOD-01,T016,S004,5,7284.500533296583,,10800.0,8.0,,0.0
S004-HYG-01,T016,S004,6,7320.500533296583,,14400.0,6.0,,0.0
S005-WAT-02,T017,S005,1,6962.232579097678,,10800.0,8.0,,0.0
S005-WAT-03,T017,S005,2,6998.232579097678,,10800.0,8.0,,0.0
S005-FOD-01,T017,S005,3,7034.232579097678,,14400.0,6.0,,0.0
S005-HYG-01,T017,S005,4,7070.232579097678,,18000.0,4.0,,0.0
S008-MED-01,T018,S008,1,7121.147820250426,7200.0,7200.0,20.0,78.85217974957413,0.0
S008-WAT-01,T018,S008,2,7151.147820250426,7200.0,7200.0,10.0,48.852179749574134,0.0
S008-FOD-01,T018,S008,3,7181.147820250426,,10800.0,8.0,,0.0
S008-WAT-02,T019,S008,1,7121.147820250426,,7200.0,10.0,,0.0
S008-HYG-01,T019,S008,2,7151.147820250426,,14400.0,6.0,,0.0
S011-FOD-01,T020,S011,1,8668.398491722564,,14400.0,6.0,,0.0
S005-MED-01,T020,S005,2,9141.41688838481,10800.0,10800.0,16.0,1658.5831116151894,0.0
S005-WAT-01,T020,S005,3,9171.41688838481,10800.0,10800.0,8.0,1628.5831116151894,0.0
S002-WAT-02,T021,S002,1,9437.316009319504,,3600.0,12.0,,5837.316009319504
S002-WAT-03,T021,S002,2,9473.316009319504,,3600.0,12.0,,5873.316009319504
S002-WAT-04,T021,S002,3,9509.316009319504,,3600.0,12.0,,5909.316009319504
S002-FOD-01,T021,S002,4,9545.316009319504,,7200.0,10.0,,2345.316009319504
