中继架次编号,中继无人机编号,能源组件编号,开始时刻（s）,悬停经度（°）,悬停纬度（°）,悬停海拔（m）,建链完成时刻（s）,服务结束时刻（s）,返回O01时刻（s）,架次能耗（kWh）
R001,R01,R-E01,55.57767553244639,109.252844703,23.053399188,274.812301636,677.0,1428.0,1851.6816829371987,0.487486046
R002,R02,R-E02,71.59529766381957,109.267596021,23.044531046,370.028778076,711.0,1493.0,1942.5987671758614,0.504267253
R003,R01,R-E03,2152.1237746778424,109.272819620,23.017496560,589.644866943,2772.0,3470.0,3918.371630900771,0.451598745
R004,R02,R-E04,2592.1647913304323,109.184788249,23.034571809,474.409484863,3267.0,5235.0,5728.727665741508,0.879848824
R005,R01,R-E05,4219.371599213122,109.209176993,23.034849842,392.030273438,4741.0,5370.0,5703.655923573337,0.381375549
R006,R02,R-E01,6029.601231418265,109.233389456,23.048667746,274.280181885,6582.0,9419.0,9773.613783738798,1.081477119
R007,R01,R-E06,6010.790404552854,109.223395736,23.066616453,476.459930420,6740.0,7416.0,7964.27292298214,0.522743207
R008,R01,R-E02,8265.123774677842,109.272819620,23.017496560,589.644866943,8885.0,9253.0,9701.37163090077,0.350765412
R009,R01,R-E03,10274.577675532446,109.252844703,23.053399188,274.812301636,10896.0,11848.0,12271.681682937198,0.548902712
R010,R02,R-E05,10525.164791330431,109.184788249,23.034571809,474.409484863,11200.0,12263.0,12756.727665741508,0.603321046
R011,R01,R-E04,12572.59529766382,109.267596021,23.044531046,370.028778076,13212.0,13964.0,14413.598767175861,0.495100587
