mission_id,uav_id,energy_unit_id,start_s,link_ready_s,service_end_s,return_s,uav_next_ready_s,unit_next_ready_s,return_soc
R001,R01,R-E01,55.577675532,677.000000000,1428.000000000,1851.681682937,2151.681682937,2549.722889016,0.847660611
R002,R02,R-E02,71.595297664,711.000000000,1493.000000000,1942.598767176,2242.598767176,2647.457338902,0.842416483
R003,R01,R-E03,2152.123774678,2772.000000000,3470.000000000,3918.371630901,4218.371630901,4601.833621131,0.858875392
R004,R02,R-E04,2592.164791330,3267.000000000,5235.000000000,5728.727665742,6028.727665742,6586.166250566,0.725047242
R005,R01,R-E05,4219.371599213,4741.000000000,5370.000000000,5703.655923573,6003.655923573,6358.589740190,0.880820141
R006,R02,R-E01,6029.601231418,6582.000000000,9419.000000000,9773.613783739,10073.613783739,10712.963863405,0.662038400
R007,R01,R-E06,6010.790404553,6740.000000000,7416.000000000,7964.272922982,8264.272922982,8676.637350944,0.836642748
R008,R01,R-E02,8265.123774678,8885.000000000,9253.000000000,9701.371630901,10001.371630901,10343.870079464,0.890385809
R009,R01,R-E03,10274.577675532,10896.000000000,11848.000000000,12271.681682937,12571.681682937,12994.673409849,0.828467902
R010,R02,R-E05,10525.164791330,11200.000000000,12263.000000000,12756.727665742,13056.727665742,13501.826840844,0.811462173
R011,R01,R-E04,12572.595297664,13212.000000000,13964.000000000,14413.598767176,14713.598767176,15114.733380568,0.845281067
