slice_id,sortie_id,stage,start_s,end_s,direct_margin_db,midpoint_status
17,T001,巡航,677.343418621,697.106905844,-0.107041869,ASSIGNED
18,T001,巡航,697.106905844,716.870393067,-0.422433362,ASSIGNED
19,T001,巡航,716.870393067,736.633880291,-1.020854021,ASSIGNED
20,T001,巡航,736.633880291,756.397367514,-1.580737777,ASSIGNED
21,T001,巡航,756.397367514,776.160854737,-2.106744019,ASSIGNED
22,T001,巡航,776.160854737,795.924341961,-2.602735847,ASSIGNED
23,T001,巡航,795.924341961,815.687829184,-3.071951629,ASSIGNED
24,T001,巡航,815.687829184,835.451316407,-3.517132742,ASSIGNED
25,T001,巡航,835.451316407,855.214803631,-3.940620270,ASSIGNED
26,T001,巡航,855.214803631,874.978290854,-4.344429288,ASSIGNED
27,T001,巡航,874.978290854,894.741778078,-4.730306680,ASSIGNED
28,T001,巡航,894.741778078,914.505265301,-5.099776694,ASSIGNED
29,T001,下降,914.505265301,932.396116131,-5.454177219,ASSIGNED
30,T001,下降,932.396116131,950.286966961,-5.453195218,ASSIGNED
31,T001,投送,950.286966961,969.377876052,-5.452529325,ASSIGNED
32,T001,投送,969.377876052,988.468785143,-5.452529325,ASSIGNED
33,T001,投送,988.468785143,1007.559694234,-5.452529325,ASSIGNED
34,T001,投送,1007.559694234,1026.650603325,-5.452529325,ASSIGNED
35,T001,投送,1026.650603325,1045.741512416,-5.452529325,ASSIGNED
36,T001,投送,1045.741512416,1064.832421507,-5.452529325,ASSIGNED
37,T001,投送,1064.832421507,1083.923330597,-5.452529325,ASSIGNED
38,T001,投送,1083.923330597,1103.014239688,-5.452529325,ASSIGNED
39,T001,投送,1103.014239688,1122.105148779,-5.452529325,ASSIGNED
40,T001,投送,1122.105148779,1141.196057870,-5.452529325,ASSIGNED
41,T001,投送,1141.196057870,1160.286966961,-5.452529325,ASSIGNED
42,T001,爬升,1160.286966961,1175.196009320,-5.452529325,ASSIGNED
43,T001,爬升,1175.196009320,1190.105051678,-5.453195218,ASSIGNED
44,T001,巡航,1190.105051678,1209.868538901,-5.454177219,ASSIGNED
45,T001,巡航,1209.868538901,1229.632026125,-5.099776694,ASSIGNED
46,T001,巡航,1229.632026125,1249.395513348,-4.730306680,ASSIGNED
47,T001,巡航,1249.395513348,1269.159000571,-4.344429288,ASSIGNED
48,T001,巡航,1269.159000571,1288.922487795,-3.940620270,ASSIGNED
49,T001,巡航,1288.922487795,1308.685975018,-3.517132742,ASSIGNED
50,T001,巡航,1308.685975018,1328.449462241,-3.071951629,ASSIGNED
51,T001,巡航,1328.449462241,1348.212949465,-2.602735847,ASSIGNED
52,T001,巡航,1348.212949465,1367.976436688,-2.106744019,ASSIGNED
53,T001,巡航,1367.976436688,1387.739923912,-1.580737777,ASSIGNED
54,T001,巡航,1387.739923912,1407.503411135,-1.020854021,ASSIGNED
55,T001,巡航,1407.503411135,1427.266898358,-0.422433362,ASSIGNED
188,T004,巡航,711.402536798,731.110398735,-0.094709127,ASSIGNED
189,T004,巡航,731.110398735,750.818260671,-0.409250750,ASSIGNED
190,T004,巡航,750.818260671,770.526122608,-1.006218691,ASSIGNED
191,T004,巡航,770.526122608,790.233984544,-1.564912721,ASSIGNED
192,T004,巡航,790.233984544,809.941846480,-2.089932413,ASSIGNED
193,T004,巡航,809.941846480,829.649708417,-2.585097130,ASSIGNED
194,T004,巡航,829.649708417,849.357570353,-3.053612662,ASSIGNED
195,T004,巡航,849.357570353,869.065432290,-3.498195720,ASSIGNED
196,T004,巡航,869.065432290,888.773294226,-3.921168435,ASSIGNED
197,T004,巡航,888.773294226,908.481156163,-4.324531127,ASSIGNED
198,T004,巡航,908.481156163,928.189018099,-4.710019053,ASSIGNED
199,T004,巡航,928.189018099,947.896880036,-5.079147201,ASSIGNED
200,T004,下降,947.896880036,965.697012685,-5.433246009,ASSIGNED
201,T004,下降,965.697012685,983.497145335,-5.431525748,ASSIGNED
202,T004,下降,983.497145335,1001.297277985,-5.430119556,ASSIGNED
203,T004,投送,1001.297277985,1020.388187076,-5.429027740,ASSIGNED
204,T004,投送,1020.388187076,1039.479096167,-5.429027740,ASSIGNED
205,T004,投送,1039.479096167,1058.570005258,-5.429027740,ASSIGNED
206,T004,投送,1058.570005258,1077.660914349,-5.429027740,ASSIGNED
207,T004,投送,1077.660914349,1096.751823439,-5.429027740,ASSIGNED
208,T004,投送,1096.751823439,1115.842732530,-5.429027740,ASSIGNED
209,T004,投送,1115.842732530,1134.933641621,-5.429027740,ASSIGNED
210,T004,投送,1134.933641621,1154.024550712,-5.429027740,ASSIGNED
211,T004,投送,1154.024550712,1173.115459803,-5.429027740,ASSIGNED
212,T004,投送,1173.115459803,1192.206368894,-5.429027740,ASSIGNED
213,T004,投送,1192.206368894,1211.297277985,-5.429027740,ASSIGNED
214,T004,爬升,1211.297277985,1226.130721860,-5.429027740,ASSIGNED
215,T004,爬升,1226.130721860,1240.964165734,-5.430119556,ASSIGNED
216,T004,爬升,1240.964165734,1255.797609609,-5.431525748,ASSIGNED
217,T004,巡航,1255.797609609,1275.505471546,-5.433246009,ASSIGNED
218,T004,巡航,1275.505471546,1295.213333482,-5.079147201,ASSIGNED
219,T004,巡航,1295.213333482,1314.921195419,-4.710019053,ASSIGNED
220,T004,巡航,1314.921195419,1334.629057355,-4.324531127,ASSIGNED
221,T004,巡航,1334.629057355,1354.336919291,-3.921168435,ASSIGNED
222,T004,巡航,1354.336919291,1374.044781228,-3.498195720,ASSIGNED
223,T004,巡航,1374.044781228,1393.752643164,-3.053612662,ASSIGNED
224,T004,巡航,1393.752643164,1413.460505101,-2.585097130,ASSIGNED
225,T004,巡航,1413.460505101,1433.168367037,-2.089932413,ASSIGNED
226,T004,巡航,1433.168367037,1452.876228974,-1.564912721,ASSIGNED
227,T004,巡航,1452.876228974,1472.584090910,-1.006218691,ASSIGNED
228,T004,巡航,1472.584090910,1492.291952847,-0.409250750,ASSIGNED
311,T006,巡航,734.129016316,753.938560829,-0.189946471,ASSIGNED
312,T006,巡航,753.938560829,773.748105341,-0.189946471,ASSIGNED
313,T006,巡航,773.748105341,793.557649854,-0.685810481,ASSIGNED
314,T006,巡航,793.557649854,813.367194366,-1.154918064,ASSIGNED
315,T006,巡航,813.367194366,833.176738878,-1.600006781,ASSIGNED
316,T006,巡航,833.176738878,852.986283391,-2.023414782,ASSIGNED
317,T006,巡航,852.986283391,872.795827903,-2.427154859,ASSIGNED
318,T006,巡航,872.795827903,892.605372416,-2.812972098,ASSIGNED
319,T006,下降,892.605372416,905.251154886,-3.182389315,ASSIGNED
320,T006,下降,905.251154886,917.896937357,-3.181295482,ASSIGNED
321,T006,投送,917.896937357,936.987846448,-3.180468044,ASSIGNED
322,T006,投送,936.987846448,956.078755539,-3.180468044,ASSIGNED
323,T006,投送,956.078755539,975.169664630,-3.180468044,ASSIGNED
324,T006,投送,975.169664630,994.260573721,-3.180468044,ASSIGNED
325,T006,投送,994.260573721,1013.351482811,-3.180468044,ASSIGNED
326,T006,投送,1013.351482811,1032.442391902,-3.180468044,ASSIGNED
327,T006,投送,1032.442391902,1051.533300993,-3.180468044,ASSIGNED
