货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,T007,S001,1667.2701959393785
S001-FOD-02,T008,S001,1606.2701959393785
S001-FOD-03,T008,S001,1642.2701959393785
S001-HYG-01,T008,S001,1678.2701959393785
S001-HYG-02,T008,S001,1714.2701959393785
S001-MED-01,T009,S001,2614.674094254808
S001-MED-02,T009,S001,2644.674094254808
S001-WAT-01,T009,S001,2674.674094254808
S001-WAT-02,T007,S001,1487.2701959393785
S001-WAT-03,T007,S001,1523.2701959393785
S001-WAT-04,T007,S001,1559.2701959393785
S001-WAT-05,T007,S001,1595.2701959393785
S001-WAT-06,T007,S001,1631.2701959393785
S001-WAT-07,T008,S001,1534.2701959393785
S001-WAT-08,T008,S001,1570.2701959393785
S002-FOD-01,T027,S002,11502.316009319504
S002-FOD-02,T027,S002,11538.316009319504
S002-HYG-01,T027,S002,11574.316009319504
S002-MED-01,T001,S002,1130.2869669611046
S002-WAT-01,T001,S002,1160.2869669611046
S002-WAT-02,T027,S002,11394.316009319504
S002-WAT-03,T027,S002,11430.316009319504
S002-WAT-04,T027,S002,11466.316009319504
S003-FOD-01,T029,S003,11868.515572168639
S003-FOD-02,T029,S003,11904.515572168639
S003-HYG-01,T029,S003,11940.515572168639
S003-MED-01,T014,S003,3834.300344422223
S003-WAT-01,T014,S003,3864.300344422223
S003-WAT-02,T029,S003,11760.515572168639
S003-WAT-03,T029,S003,11796.515572168639
S003-WAT-04,T029,S003,11832.515572168639
S004-FOD-01,T020,S004,7212.500533296583
S004-HYG-01,T020,S004,7248.500533296583
S004-MED-01,T021,S004,7140.500533296583
S004-WAT-01,T021,S004,7176.500533296583
S004-WAT-02,T020,S004,7140.500533296583
S004-WAT-03,T020,S004,7176.500533296583
S005-FOD-01,T024,S005,9232.232579097677
S005-HYG-01,T024,S005,9268.232579097677
S005-MED-01,T024,S005,9088.232579097677
S005-WAT-01,T024,S005,9124.232579097677
S005-WAT-02,T024,S005,9160.232579097677
S005-WAT-03,T024,S005,9196.232579097677
S006-FOD-01,T016,S006,4674.424762970183
S006-HYG-01,T016,S006,4710.424762970183
S006-MED-01,T003,S006,905.5059666318372
S006-WAT-01,T003,S006,935.5059666318372
S006-WAT-02,T016,S006,4602.424762970183
S006-WAT-03,T016,S006,4638.424762970183
S007-FOD-01,T018,S007,5131.7477239181235
S007-HYG-01,T018,S007,5167.7477239181235
S007-MED-01,T015,S007,3569.7821947433185
S007-WAT-01,T015,S007,3599.7821947433185
S007-WAT-02,T018,S007,5095.7477239181235
S008-FOD-01,T022,S008,7182.147820250426
S008-HYG-01,T023,S008,7152.147820250426
S008-MED-01,T022,S008,7122.147820250426
S008-WAT-01,T022,S008,7152.147820250426
S008-WAT-02,T023,S008,7122.147820250426
S009-FOD-01,T028,S009,11235.811123697387
S009-MED-01,T006,S009,1097.8969373569234
S009-WAT-01,T006,S009,1127.8969373569234
S010-FOD-01,T025,S010,9159.225117889933
S010-MED-01,T013,S010,3090.157873830689
S010-WAT-01,T013,S010,3126.157873830689
S011-FOD-01,T005,S011,834.2001261685054
S011-MED-01,T002,S011,863.2001261685054
S011-WAT-01,T002,S011,893.2001261685054
S012-FOD-01,T030,S012,13682.297277984864
S012-MED-01,T004,S012,1211.2972779848637
S012-WAT-01,T004,S012,1181.2972779848637
S013-FOD-01,T026,S013,9160.768473479777
S013-MED-01,T012,S013,3048.5889241658015
S013-WAT-01,T012,S013,3078.5889241658015
S014-FOD-01,T010,S014,3188.758933892751
S014-MED-01,T011,S014,3259.4773285920655
S014-WAT-01,T011,S014,3223.4773285920655
S015-FOD-01,T019,S015,5114.584292010486
S015-MED-01,T017,S015,5133.742168195073
S015-WAT-01,T017,S015,5163.742168195073
