box_id,batch_id,zone_id,sequence,complete_s,hard_deadline_s,expected_s,priority,hard_slack_s,soft_lateness_s
S002-MED-01,T001,S002,1,1130.2869669611046,3600.0,3600.0,24.0,2469.7130330388954,0.0
S002-WAT-01,T001,S002,2,1160.2869669611046,3600.0,3600.0,12.0,2439.7130330388954,0.0
S011-MED-01,T002,S011,1,863.2001261685054,10800.0,10800.0,16.0,9936.799873831495,0.0
S011-WAT-01,T002,S011,2,893.2001261685054,10800.0,10800.0,8.0,9906.799873831495,0.0
S006-MED-01,T003,S006,1,905.5059666318372,3600.0,3600.0,24.0,2694.494033368163,0.0
S006-WAT-01,T003,S006,2,935.5059666318372,3600.0,3600.0,12.0,2664.494033368163,0.0
S012-WAT-01,T004,S012,1,1181.2972779848637,3600.0,3600.0,12.0,2418.7027220151363,0.0
S012-MED-01,T004,S012,2,1211.2972779848637,3600.0,7200.0,22.0,2388.7027220151363,0.0
S011-FOD-01,T005,S011,1,834.2001261685054,,14400.0,6.0,,0.0
S009-MED-01,T006,S009,1,1097.8969373569234,10800.0,10800.0,16.0,9702.103062643077,0.0
S009-WAT-01,T006,S009,2,1127.8969373569234,10800.0,10800.0,8.0,9672.103062643077,0.0
S001-WAT-02,T007,S001,1,1487.2701959393785,,3600.0,12.0,,0.0
S001-WAT-03,T007,S001,2,1523.2701959393785,,3600.0,12.0,,0.0
S001-WAT-04,T007,S001,3,1559.2701959393785,,3600.0,12.0,,0.0
S001-WAT-05,T007,S001,4,1595.2701959393785,,3600.0,12.0,,0.0
S001-WAT-06,T007,S001,5,1631.2701959393785,,3600.0,12.0,,0.0
S001-FOD-01,T007,S001,6,1667.2701959393785,,7200.0,10.0,,0.0
S001-WAT-07,T008,S001,1,1534.2701959393785,,3600.0,12.0,,0.0
S001-WAT-08,T008,S001,2,1570.2701959393785,,3600.0,12.0,,0.0
S001-FOD-02,T008,S001,3,1606.2701959393785,,7200.0,10.0,,0.0
S001-FOD-03,T008,S001,4,1642.2701959393785,,7200.0,10.0,,0.0
S001-HYG-01,T008,S001,5,1678.2701959393785,,10800.0,8.0,,0.0
S001-HYG-02,T008,S001,6,1714.2701959393785,,10800.0,8.0,,0.0
S001-MED-01,T009,S001,1,2614.674094254808,3600.0,3600.0,24.0,985.3259057451919,0.0
S001-MED-02,T009,S001,2,2644.674094254808,3600.0,3600.0,24.0,955.3259057451919,0.0
S001-WAT-01,T009,S001,3,2674.674094254808,3600.0,3600.0,12.0,925.3259057451919,0.0
S014-FOD-01,T010,S014,1,3188.758933892751,,7200.0,10.0,,0.0
S014-WAT-01,T011,S014,1,3223.4773285920655,3600.0,3600.0,12.0,376.52267140793447,0.0
S014-MED-01,T011,S014,2,3259.4773285920655,3600.0,7200.0,22.0,340.52267140793447,0.0
S013-MED-01,T012,S013,1,3048.5889241658015,3600.0,3600.0,24.0,551.4110758341985,0.0
S013-WAT-01,T012,S013,2,3078.5889241658015,3600.0,3600.0,12.0,521.4110758341985,0.0
S010-MED-01,T013,S010,1,3090.157873830689,3600.0,3600.0,24.0,509.8421261693111,0.0
S010-WAT-01,T013,S010,2,3126.157873830689,3600.0,3600.0,12.0,473.8421261693111,0.0
S003-MED-01,T014,S003,1,3834.300344422223,7200.0,7200.0,20.0,3365.699655577777,0.0
S003-WAT-01,T014,S003,2,3864.300344422223,7200.0,7200.0,10.0,3335.699655577777,0.0
S007-MED-01,T015,S007,1,3569.7821947433185,3600.0,3600.0,24.0,30.21780525668146,0.0
S007-WAT-01,T015,S007,2,3599.7821947433185,3600.0,3600.0,12.0,0.21780525668145856,0.0
S006-WAT-02,T016,S006,1,4602.424762970183,,3600.0,12.0,,1002.4247629701831
S006-WAT-03,T016,S006,2,4638.424762970183,,3600.0,12.0,,1038.424762970183
S006-FOD-01,T016,S006,3,4674.424762970183,,7200.0,10.0,,0.0
S006-HYG-01,T016,S006,4,4710.424762970183,,10800.0,8.0,,0.0
S015-MED-01,T017,S015,1,5133.742168195073,7200.0,7200.0,18.0,2066.2578318049273,0.0
S015-WAT-01,T017,S015,2,5163.742168195073,10800.0,10800.0,8.0,5636.257831804927,0.0
S007-WAT-02,T018,S007,1,5095.7477239181235,,3600.0,12.0,,1495.7477239181235
S007-FOD-01,T018,S007,2,5131.7477239181235,,7200.0,10.0,,0.0
S007-HYG-01,T018,S007,3,5167.7477239181235,,10800.0,8.0,,0.0
S015-FOD-01,T019,S015,1,5114.584292010486,,14400.0,6.0,,0.0
S004-WAT-02,T020,S004,1,7140.500533296583,,7200.0,10.0,,0.0
S004-WAT-03,T020,S004,2,7176.500533296583,,7200.0,10.0,,0.0
S004-FOD-01,T020,S004,3,7212.500533296583,,10800.0,8.0,,0.0
S004-HYG-01,T020,S004,4,7248.500533296583,,14400.0,6.0,,0.0
S004-MED-01,T021,S004,1,7140.500533296583,7200.0,7200.0,20.0,59.499466703417056,0.0
S004-WAT-01,T021,S004,2,7176.500533296583,7200.0,7200.0,10.0,23.499466703417056,0.0
S008-MED-01,T022,S008,1,7122.147820250426,7200.0,7200.0,20.0,77.85217974957413,0.0
S008-WAT-01,T022,S008,2,7152.147820250426,7200.0,7200.0,10.0,47.852179749574134,0.0
S008-FOD-01,T022,S008,3,7182.147820250426,,10800.0,8.0,,0.0
S008-WAT-02,T023,S008,1,7122.147820250426,,7200.0,10.0,,0.0
S008-HYG-01,T023,S008,2,7152.147820250426,,14400.0,6.0,,0.0
S005-MED-01,T024,S005,1,9088.232579097677,10800.0,10800.0,16.0,1711.7674209023226,0.0
S005-WAT-01,T024,S005,2,9124.232579097677,10800.0,10800.0,8.0,1675.7674209023226,0.0
S005-WAT-02,T024,S005,3,9160.232579097677,,10800.0,8.0,,0.0
S005-WAT-03,T024,S005,4,9196.232579097677,,10800.0,8.0,,0.0
S005-FOD-01,T024,S005,5,9232.232579097677,,14400.0,6.0,,0.0
S005-HYG-01,T024,S005,6,9268.232579097677,,18000.0,4.0,,0.0
S010-FOD-01,T025,S010,1,9159.225117889933,,7200.0,10.0,,1959.2251178899332
S013-FOD-01,T026,S013,1,9160.768473479777,,7200.0,10.0,,1960.7684734797767
