batch_id,type_id,uav_id,battery_id,visit_order,box_ids,start_s,launch_s,return_s,charge_start_s,charge_end_s,charge_s,mass_kg,volume_m3,energy_kwh,return_soc
T001,B,U05,B-B01,S002,S002-MED-01;S002-WAT-01,0.0,360.0,1756.693933922209,1756.693933922209,3477.5022779255505,1720.8083440033415,17.0,0.039,2.432634640007711,0.39184133999807225
T002,A,U01,A-B01,S009,S009-MED-01;S009-WAT-01,0.0,360.0,1688.6138747138468,1688.6138747138468,2840.00758340019,1151.3937086863434,17.0,0.039,2.2548243762219577,0.49892791639512046
T003,A,U03,A-B03,S011,S011-MED-01;S011-WAT-01,0.0,360.0,1222.0269190036777,1222.0269190036777,2054.834608045965,832.8076890422875,17.0,0.039,1.1520266159156107,0.7439940853520866
T004,A,U02,A-B02,S011,S011-FOD-01,0.0,330.0,1162.0269190036777,1162.0269190036777,1980.2253063517855,818.1983873481079,8.0,0.028,1.101455956204989,0.7552320097322247
T005,A,U04,A-B04,S006,S006-MED-01;S006-WAT-01,0.0,360.0,1313.4852665970077,1313.4852665970077,2192.3868913392653,878.9016247422575,17.0,0.039,1.311582547184737,0.708537211736725
T006,B,U06,B-B02,S012,S012-WAT-01;S012-MED-01,349.0,709.0,2211.734555969728,2211.734555969728,3948.399874914248,1736.66531894452,17.0,0.039,2.4692276591027387,0.38269308522431533
T007,C,U07,C-B01,S001,S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-FOD-01,485.0,965.0,1979.1703918787568,1979.1703918787568,3623.860428078608,1644.6900361998512,78.0,0.163,2.99577859519945,0.6255276756000687
T008,C,U08,C-B02,S006,S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,600.0,1020.0,2029.5595259403667,2029.5595259403667,3493.3507631183325,1463.7912371779657,42.0,0.117,2.327844568041719,0.7090194289947851
T009,B,U05,B-B03,S001,S001-MED-01;S001-MED-02;S001-WAT-01,1757.0,2147.0,2966.1015218429493,2966.1015218429493,4098.161349474907,1132.0598276319574,20.0,0.051000000000000004,1.0739842176122094,0.7315039455969476
T010,A,U03,A-B05,S014,S014-FOD-01,1974.0,2304.0,3904.4045344521683,3904.4045344521683,5036.659145176483,1132.2546107243152,8.0,0.028,2.188573652507245,0.5136502994428345
T011,C,U07,C-B03,S014,S014-WAT-01;S014-MED-01,1980.0,2340.0,3949.2846571841305,3949.2846571841305,5769.644702372727,1820.360045188596,17.0,0.039,3.644406320696355,0.5444492099129556
T012,A,U02,A-B06,S013,S013-MED-01;S013-WAT-01,1995.0,2355.0,3607.1111816649363,3607.1111816649363,4672.740344829662,1065.6291631647257,17.0,0.039,1.9579471032625122,0.5649006437194417
T013,C,U08,C-B04,S010,S010-MED-01;S010-WAT-01,2030.0,2390.0,3632.7057476613772,3632.7057476613772,5319.103564368674,1686.3978167072964,17.0,0.039,3.1497765539961717,0.6062779307504785
T014,A,U04,A-B04,S003,S003-MED-01;S003-WAT-01,2453.0,2813.0,4715.65402217778,4715.65402217778,6077.13203546618,1361.4780132884005,17.0,0.039,2.98203927676754,0.33732460516276896
T015,B,U06,B-B04,S007,S007-MED-01;S007-WAT-01,2534.0,2894.0,4110.284389486636,4110.284389486636,5470.272823181211,1359.9884336945745,17.0,0.039,1.599973308525941,0.6000066728685147
