任务,原开始秒,前移提示秒,可前移秒
R001,55.577675532,54.844573890294214,0.7331016417057867
R002,101.595297664,100.88725051063489,0.7080471533651149
R003,2152.123774678,2150.9485812952944,1.1751933827054017
R004,2592.16479133,2589.112188198996,3.052603131003707
R005,4184.689497747,4182.196437518294,2.493060228705872
R006,6010.601231418,6001.675062610996,8.926168807003705
R007,6010.790404553,5981.873912530951,28.91649202204917
R008,8416.577675532,8307.35643095995,109.22124457205064
R009,10616.669353132,10505.46043836495,111.20891476705037
R010,10615.16479133,9959.687614931996,655.4771763980043
T001,0.0,0.0,0.0
T002,0.0,0.0,0.0
T003,0.0,0.0,0.0
T004,0.0,0.0,0.0
T005,0.0,0.0,0.0
T006,0.0,0.0,0.0
T007,1757.0,1756.693933922209,0.3060660777910016
T008,1944.0,1941.8976950670158,2.102304932984225
T009,2027.0,2025.0165809090313,1.9834190909687095
T010,2030.0,2028.491136562111,1.5088634378889765
T011,2534.0,2530.2360720903675,3.763927909632457
T012,2914.0,2911.470988522786,2.529011477214226
T013,3633.0,3631.1968842234883,1.8031157765117314
T014,3846.0,3843.4638755238557,2.536124476144323
T015,3952.0,3840.177403322743,111.82259667725702
T016,5737.0,5708.700522857693,28.299477142307296
T017,5829.0,5800.336357345976,28.663642654024443
T018,5890.0,5860.326870489081,29.673129510919352
T019,5920.0,5890.326870489081,29.673129510919352
T020,7822.0,7792.169177656598,29.83082234340236
T021,8130.0,8020.5342837472035,109.46571625279648
T022,8289.0,8179.327847599598,109.67215240040241
T023,10385.0,9729.085807470788,655.9141925292115
T024,10439.0,10326.986517554067,112.01348244593282
