slice_id,sortie_id,stage,start_s,end_s,direct_margin_db,midpoint_status
17,T001,巡航,677.343418621,697.106905844,-0.107041869,ASSIGNED
18,T001,巡航,697.106905844,716.870393067,-0.422433362,ASSIGNED
19,T001,巡航,716.870393067,736.633880291,-1.020854021,ASSIGNED
20,T001,巡航,736.633880291,756.397367514,-1.580737777,ASSIGNED
21,T001,巡航,756.397367514,776.160854737,-2.106744019,ASSIGNED
22,T001,巡航,776.160854737,795.924341961,-2.602735847,ASSIGNED
23,T001,巡航,795.924341961,815.687829184,-3.071951629,ASSIGNED
24,T001,巡航,815.687829184,835.451316407,-3.517132742,ASSIGNED
25,T001,巡航,835.451316407,855.214803631,-3.940620270,ASSIGNED
26,T001,巡航,855.214803631,874.978290854,-4.344429288,ASSIGNED
27,T001,巡航,874.978290854,894.741778078,-4.730306680,ASSIGNED
28,T001,巡航,894.741778078,914.505265301,-5.099776694,ASSIGNED
29,T001,下降,914.505265301,932.396116131,-5.454177219,ASSIGNED
30,T001,下降,932.396116131,950.286966961,-5.453195218,ASSIGNED
31,T001,投送,950.286966961,969.377876052,-5.452529325,ASSIGNED
32,T001,投送,969.377876052,988.468785143,-5.452529325,ASSIGNED
33,T001,投送,988.468785143,1007.559694234,-5.452529325,ASSIGNED
34,T001,投送,1007.559694234,1026.650603325,-5.452529325,ASSIGNED
35,T001,投送,1026.650603325,1045.741512416,-5.452529325,ASSIGNED
36,T001,投送,1045.741512416,1064.832421507,-5.452529325,ASSIGNED
37,T001,投送,1064.832421507,1083.923330597,-5.452529325,ASSIGNED
38,T001,投送,1083.923330597,1103.014239688,-5.452529325,ASSIGNED
39,T001,投送,1103.014239688,1122.105148779,-5.452529325,ASSIGNED
40,T001,投送,1122.105148779,1141.196057870,-5.452529325,ASSIGNED
41,T001,投送,1141.196057870,1160.286966961,-5.452529325,ASSIGNED
42,T001,爬升,1160.286966961,1175.196009320,-5.452529325,ASSIGNED
43,T001,爬升,1175.196009320,1190.105051678,-5.453195218,ASSIGNED
44,T001,巡航,1190.105051678,1209.868538901,-5.454177219,ASSIGNED
45,T001,巡航,1209.868538901,1229.632026125,-5.099776694,ASSIGNED
46,T001,巡航,1229.632026125,1249.395513348,-4.730306680,ASSIGNED
47,T001,巡航,1249.395513348,1269.159000571,-4.344429288,ASSIGNED
48,T001,巡航,1269.159000571,1288.922487795,-3.940620270,ASSIGNED
49,T001,巡航,1288.922487795,1308.685975018,-3.517132742,ASSIGNED
50,T001,巡航,1308.685975018,1328.449462241,-3.071951629,ASSIGNED
51,T001,巡航,1328.449462241,1348.212949465,-2.602735847,ASSIGNED
52,T001,巡航,1348.212949465,1367.976436688,-2.106744019,ASSIGNED
53,T001,巡航,1367.976436688,1387.739923912,-1.580737777,ASSIGNED
54,T001,巡航,1387.739923912,1407.503411135,-1.020854021,ASSIGNED
55,T001,巡航,1407.503411135,1427.266898358,-0.422433362,ASSIGNED
236,T005,巡航,743.402536798,763.110398735,-0.094709127,ASSIGNED
237,T005,巡航,763.110398735,782.818260671,-0.409250750,ASSIGNED
238,T005,巡航,782.818260671,802.526122608,-1.006218691,ASSIGNED
239,T005,巡航,802.526122608,822.233984544,-1.564912721,ASSIGNED
240,T005,巡航,822.233984544,841.941846480,-2.089932413,ASSIGNED
241,T005,巡航,841.941846480,861.649708417,-2.585097130,ASSIGNED
242,T005,巡航,861.649708417,881.357570353,-3.053612662,ASSIGNED
243,T005,巡航,881.357570353,901.065432290,-3.498195720,ASSIGNED
244,T005,巡航,901.065432290,920.773294226,-3.921168435,ASSIGNED
245,T005,巡航,920.773294226,940.481156163,-4.324531127,ASSIGNED
246,T005,巡航,940.481156163,960.189018099,-4.710019053,ASSIGNED
247,T005,巡航,960.189018099,979.896880036,-5.079147201,ASSIGNED
248,T005,下降,979.896880036,997.697012685,-5.433246009,ASSIGNED
249,T005,下降,997.697012685,1015.497145335,-5.431525748,ASSIGNED
250,T005,下降,1015.497145335,1033.297277985,-5.430119556,ASSIGNED
251,T005,投送,1033.297277985,1053.297277985,-5.429027740,ASSIGNED
252,T005,投送,1053.297277985,1073.297277985,-5.429027740,ASSIGNED
253,T005,投送,1073.297277985,1093.297277985,-5.429027740,ASSIGNED
254,T005,投送,1093.297277985,1113.297277985,-5.429027740,ASSIGNED
255,T005,投送,1113.297277985,1133.297277985,-5.429027740,ASSIGNED
256,T005,投送,1133.297277985,1153.297277985,-5.429027740,ASSIGNED
257,T005,投送,1153.297277985,1173.297277985,-5.429027740,ASSIGNED
258,T005,投送,1173.297277985,1193.297277985,-5.429027740,ASSIGNED
259,T005,投送,1193.297277985,1213.297277985,-5.429027740,ASSIGNED
260,T005,投送,1213.297277985,1233.297277985,-5.429027740,ASSIGNED
261,T005,投送,1233.297277985,1253.297277985,-5.429027740,ASSIGNED
262,T005,投送,1253.297277985,1273.297277985,-5.429027740,ASSIGNED
263,T005,爬升,1273.297277985,1288.130721860,-5.429027740,ASSIGNED
264,T005,爬升,1288.130721860,1302.964165734,-5.430119556,ASSIGNED
265,T005,爬升,1302.964165734,1317.797609609,-5.431525748,ASSIGNED
266,T005,巡航,1317.797609609,1337.505471546,-5.433246009,ASSIGNED
267,T005,巡航,1337.505471546,1357.213333482,-5.079147201,ASSIGNED
268,T005,巡航,1357.213333482,1376.921195419,-4.710019053,ASSIGNED
269,T005,巡航,1376.921195419,1396.629057355,-4.324531127,ASSIGNED
270,T005,巡航,1396.629057355,1416.336919291,-3.921168435,ASSIGNED
271,T005,巡航,1416.336919291,1436.044781228,-3.498195720,ASSIGNED
272,T005,巡航,1436.044781228,1455.752643164,-3.053612662,ASSIGNED
273,T005,巡航,1455.752643164,1475.460505101,-2.585097130,ASSIGNED
274,T005,巡航,1475.460505101,1495.168367037,-2.089932413,ASSIGNED
275,T005,巡航,1495.168367037,1514.876228974,-1.564912721,ASSIGNED
276,T005,巡航,1514.876228974,1534.584090910,-1.006218691,ASSIGNED
277,T005,巡航,1534.584090910,1554.291952847,-0.409250750,ASSIGNED
429,T008,巡航,2772.927111550,2792.563235445,-0.161032518,ASSIGNED
430,T008,巡航,2792.563235445,2812.199359340,-0.161032518,ASSIGNED
431,T008,巡航,2812.199359340,2831.835483235,-0.651800429,ASSIGNED
432,T008,巡航,2831.835483235,2851.471607130,-1.116589392,ASSIGNED
433,T008,巡航,2851.471607130,2871.107731025,-1.557986728,ASSIGNED
434,T008,巡航,2871.107731025,2890.743854920,-1.978214914,ASSIGNED
435,T008,巡航,2890.743854920,2910.379978815,-2.379196518,ASSIGNED
436,T008,下降,2910.379978815,2929.655769830,-2.762605430,ASSIGNED
437,T008,下降,2929.655769830,2948.931560846,-2.756653839,ASSIGNED
438,T008,下降,2948.931560846,2968.207351862,-2.751378051,ASSIGNED
439,T008,下降,2968.207351862,2987.483142877,-2.746780542,ASSIGNED
440,T008,下降,2987.483142877,3006.758933893,-2.742863473,ASSIGNED
441,T008,投送,3006.758933893,3025.849842984,-2.739628693,ASSIGNED
442,T008,投送,3025.849842984,3044.940752075,-2.739628693,ASSIGNED
443,T008,投送,3044.940752075,3064.031661165,-2.739628693,ASSIGNED
