架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U05,B,B-B01,0.0,S002,1756.693933922209,2.432634640007711
T002,U01,A,A-B01,0.0,S011,1222.0269190036777,1.1520266159156107
T003,U02,A,A-B02,0.0,S006,1313.4852665970077,1.311582547184737
T004,U03,A,A-B05,1.0,S001,1311.9011452642987,1.2643495220862535
T005,U06,B,B-B02,2.0,S012,1924.7345559697276,2.7523988780669306
T006,U07,C,C-B01,498.0,S001,1992.1703918787568,2.99577859519945
T007,U08,C,C-B02,535.0,S001,2029.1703918787568,2.405033632503433
T008,U03,A,A-B03,1944.0,S014,3934.4045344521683,2.2909653200941213
T009,U07,C,C-B03,2027.0,S013,3638.6308882030426,3.249134478063305
T010,U08,C,C-B04,2030.0,S010,3632.7057476613772,3.1497765539961717
T011,U05,B,B-B03,2041.0,S014,3790.7521946190263,1.784545874148247
T012,U01,A,A-B01,2056.0,S010,3650.859398321839,1.867930402991953
T013,U06,B,B-B04,2534.0,S007,4110.284389486636,1.599973308525941
T014,U04,A,A-B04,2912.0,S003,5174.65402217778,2.98203927676754
T015,U08,C,C-B02,3635.0,S006,5064.559525940367,2.327844568041719
T016,U05,B,B-B02,3846.0,S015,5674.288584020971,2.3074846159024167
T017,U07,C,C-B01,3859.0,S007,5634.575447836247,3.1511922109758563
T018,U07,C,C-B03,5635.0,S011>S005,7874.1679133239595,4.592399465463227
T019,U08,C,C-B04,5638.0,S004,7939.061066593167,6.152957431097095
T020,U05,B,B-B04,5884.0,S008,7845.842307167517,2.9752454570246574
T021,U06,B,B-B01,5914.0,S008,7815.842307167517,2.7634680954456594
T022,U07,C,C-B01,7897.0,S003,10333.111144337276,6.149598035840621
T023,U08,C,C-B02,8110.0,S002,10217.812018639006,6.105653653740411
T024,U05,B,B-B02,8245.0,S009,9803.442247394776,2.0962351030690245
