前驱,后继,约束,可用后等待秒,后继开始秒
T001,T011,uav_id,284.306066077791,2041.0
T011,T017,uav_id,55.24780538097366,3846.0
T017,T023,uav_id,138.71141597902897,5813.0
T023,T025,uav_id,381.157692832483,8096.0
T002,T012,uav_id,833.9730809963223,2056.0
T012,T018,uav_id,205.14060167816115,3856.0
T003,T009,uav_id,681.5147334029923,1995.0
T004,T008,uav_id,632.0988547357013,1944.0
T005,T014,uav_id,609.2654440302724,2534.0
T014,T019,uav_id,0.715610513363572,4111.0
T019,T022,uav_id,95.71561051336357,5783.0
T022,T026,uav_id,355.157692832483,8100.0
T006,T013,uav_id,369.82960812124315,2363.0
T013,T020,uav_id,534.8888556627244,5334.0
T007,T010,uav_id,0.8296081212431545,2030.0
T010,T016,uav_id,2.294252338622755,3635.0
T016,T021,uav_id,573.4404740596328,5638.0
T021,T024,uav_id,0.9389334068328026,7940.0
T001,T017,battery_id,368.4977220744495,3846.0
T017,T025,battery_id,755.1347490879816,8096.0
T002,T012,battery_id,1.1653919540349307,2056.0
T004,T018,battery_id,1678.8423261330058,3856.0
T005,T019,battery_id,326.89259686793594,4111.0
T019,T026,battery_id,1028.225337481239,8100.0
T006,T020,battery_id,1696.139571921392,5334.0
T007,T016,battery_id,121.13299931822985,3635.0
T016,T024,battery_id,1411.649236881667,7940.0
T010,T021,battery_id,318.8964356313263,5638.0
T011,T022,battery_id,552.2779265833997,5783.0
T014,T023,battery_id,342.7271768187893,5813.0
R001,R003,uav_id,0.44209174099978554,2152.123774678
R003,R005,uav_id,1.31786684600047,4184.689497747
R005,R007,uav_id,1.354621538000174,5843.790404553
R007,R009,uav_id,1.6857343270003184,8297.958657309
R002,R004,uav_id,286.56602415399993,2592.16479133
R004,R006,uav_id,1.0902019169998312,6005.817867659
R006,R008,uav_id,1.182111133000035,8127.577675532
R001,R006,energy_unit_id,3456.0949786429996,6005.817867659
R002,R008,energy_unit_id,5413.272246352,8127.577675532
R003,R009,energy_unit_id,3735.469654234,8297.958657309
