站点,来源,覆盖采样数,往返秒,往返能耗kWh,最大服务秒,回传余量dB
H+320000_+2551650_250,关键盲段主动增补,13,1052.0183657545826,0.29917618367165055,7369.059762529145,10.03626724584143
H+316650_+2549500_250,关键盲段主动增补,12,856.3232453332358,0.22936504686295384,7597.532573903061,12.959853004935297
H+315650_+2548500_300,关键盲段主动增补,12,885.7398177929047,0.22918442597938044,7598.123696794756,3.352795891651567
H+315500_+2548500_300,关键盲段主动增补,12,894.7398541427212,0.2329824814340362,7585.693697124973,13.137490706969757
H+317480_+2550809_200,关键盲段主动增补,12,944.2789208607892,0.2639519096648218,7484.339204733311,11.294616480015023
H+320150_+2551500_100,关键盲段主动增补,12,957.2020120752488,0.2822207772767643,7424.550183457863,0.20424925546194572
H+316750_+2550500_300,关键盲段主动增补,12,1001.196265537387,0.270843642432111,7461.784442949454,11.408973383867334
H+317150_+2551500_250,关键盲段主动增补,12,1015.5840854103856,0.29151380179407516,7394.136648673936,10.171964018994302
H+319000_+2550000_150,关键盲段主动增补,11,737.8285999889895,0.21167044874480212,7655.442167744284,2.957745055648445
H+319750_+2550500_150,关键盲段主动增补,11,839.3872711706051,0.24055851160980135,7560.899416549742,11.856150056265136
H+318276_+2550315_250,关键盲段主动增补,11,848.8819804392331,0.2357586632933794,7576.60801103985,12.341170189622659
H+316750_+2550500_200,关键盲段主动增补,11,942.8629322040537,0.26195258243982705,7490.882457469658,1.422217501388488
H+316037_+2548502_300,关键盲段主动增补,10,871.4534852997224,0.22105672005020527,7624.7234616538735,13.899316493231538
H+317150_+2551500_200,关键盲段主动增补,10,986.4174187437189,0.28706827179793315,7408.685655934038,0.17532981048117335
H+318388_+2549514_150,关键盲段主动增补,9,683.0708900307802,0.1925044710400952,7718.167185686961,13.955631209458758
H+318688_+2549514_200,关键盲段主动增补,9,707.9266354488411,0.19604312176229202,7706.586146959771,13.973480380975715
生成统计,"{""backhaul"": 202, ""grid_points"": 156, ""candidate_count"": 890}",30,,,,
H+322000_+2550000_050,新组批盲段覆盖补点,,856.7909224112133,0.25404271593761907,7516.769293295065,1.0659419426021515
H+322000_+2550000_030,新组批盲段覆盖补点,,868.4575890778799,0.25582092793607586,7510.949690391025,1.0668739244612624
H+322000_+2550000_100,新组批盲段覆盖补点,,882.0387098867992,0.25789093753392545,7504.175113525336,1.0631189939609698
H+321500_+2550500_100,新组批盲段覆盖补点,,884.5839840780638,0.2615109047959309,7492.32794794059,0.8406313411524167
