架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U05,B,B-B02,0.0,S002,1756.693933922209,2.432634640007711
T002,U01,A,A-B01,0.0,S011,1222.0269190036777,1.1520266159156107
T003,U02,A,A-B02,0.0,S006,1313.4852665970077,1.311582547184737
T004,U03,A,A-B05,1.0,S001,1311.9011452642987,1.2643495220862535
T005,U06,B,B-B01,2.0,S012,1924.7345559697276,2.7523988780669306
T006,U07,C,C-B01,499.0,S001,1993.1703918787568,2.99577859519945
T007,U08,C,C-B02,535.0,S001,2029.1703918787568,2.405033632503433
T008,U03,A,A-B03,1944.0,S014,3934.4045344521683,2.2909653200941213
T009,U02,A,A-B06,1995.0,S013,3607.1111816649363,1.9579471032625122
T010,U08,C,C-B04,2030.0,S010,3632.7057476613772,3.1497765539961717
T011,U05,B,B-B03,2041.0,S014,3790.7521946190263,1.784545874148247
T012,U01,A,A-B01,2056.0,S010,3650.859398321839,1.867930402991953
T013,U07,C,C-B03,2363.0,S003,4799.111144337276,6.149598035840621
T014,U06,B,B-B04,2534.0,S007,4110.284389486636,1.599973308525941
T015,U04,A,A-B04,2912.0,S003,5174.65402217778,2.98203927676754
T016,U08,C,C-B02,3635.0,S006,5064.559525940367,2.327844568041719
T017,U05,B,B-B02,3846.0,S015,5674.288584020971,2.3074846159024167
T018,U01,A,A-B05,3856.0,S007,5523.435322673726,1.819839918196472
T019,U06,B,B-B01,4111.0,S007,5687.284389486636,1.6565160146895197
T020,U07,C,C-B01,5334.0,S011>S005,7573.1679133239595,4.592399465463227
T021,U08,C,C-B04,5638.0,S004,7939.061066593167,6.152957431097095
T022,U06,B,B-B03,5783.0,S008,7744.842307167517,2.9752454570246574
T023,U05,B,B-B04,5813.0,S008,7714.842307167517,2.7634680954456594
T024,U08,C,C-B02,7940.0,S002,10047.812018639006,6.105653653740411
T025,U05,B,B-B02,8096.0,S009,9654.442247394776,2.0962351030690245
T026,U06,B,B-B01,8100.0,S013,9490.470280292886,1.515628496224302
