货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,T006,S001,1681.2701959393785
S001-FOD-02,T007,S001,1609.2701959393785
S001-FOD-03,T007,S001,1645.2701959393785
S001-HYG-01,T007,S001,1681.2701959393785
S001-HYG-02,T007,S001,1717.2701959393785
S001-MED-01,T004,S001,909.5739059654827
S001-MED-02,T004,S001,939.5739059654827
S001-WAT-01,T004,S001,969.5739059654827
S001-WAT-02,T006,S001,1501.2701959393785
S001-WAT-03,T006,S001,1537.2701959393785
S001-WAT-04,T006,S001,1573.2701959393785
S001-WAT-05,T006,S001,1609.2701959393785
S001-WAT-06,T006,S001,1645.2701959393785
S001-WAT-07,T007,S001,1537.2701959393785
S001-WAT-08,T007,S001,1573.2701959393785
S002-FOD-01,T024,S002,9355.316009319504
S002-FOD-02,T024,S002,9391.316009319504
S002-HYG-01,T024,S002,9427.316009319504
S002-MED-01,T001,S002,1130.2869669611046
S002-WAT-01,T001,S002,1160.2869669611046
S002-WAT-02,T024,S002,9247.316009319504
S002-WAT-03,T024,S002,9283.316009319504
S002-WAT-04,T024,S002,9319.316009319504
S003-FOD-01,T013,S003,3936.515572168638
S003-FOD-02,T013,S003,3972.515572168638
S003-HYG-01,T013,S003,4008.515572168638
S003-MED-01,T015,S003,4291.300344422223
S003-WAT-01,T015,S003,4321.300344422223
S003-WAT-02,T013,S003,3828.515572168638
S003-WAT-03,T013,S003,3864.515572168638
S003-WAT-04,T013,S003,3900.515572168638
S004-FOD-01,T021,S004,7185.500533296583
S004-HYG-01,T021,S004,7221.500533296583
S004-MED-01,T021,S004,7041.500533296583
S004-WAT-01,T021,S004,7077.500533296583
S004-WAT-02,T021,S004,7113.500533296583
S004-WAT-03,T021,S004,7149.500533296583
S005-FOD-01,T020,S005,7033.205334226282
S005-HYG-01,T020,S005,7069.205334226282
S005-MED-01,T020,S005,6889.205334226282
S005-WAT-01,T020,S005,6925.205334226282
S005-WAT-02,T020,S005,6961.205334226282
S005-WAT-03,T020,S005,6997.205334226282
S006-FOD-01,T016,S006,4676.424762970183
S006-HYG-01,T016,S006,4712.424762970183
S006-MED-01,T003,S006,905.5059666318372
S006-WAT-01,T003,S006,935.5059666318372
S006-WAT-02,T016,S006,4604.424762970183
S006-WAT-03,T016,S006,4640.424762970183
S007-FOD-01,T018,S007,4937.357661336863
S007-HYG-01,T019,S007,5176.7821947433185
S007-MED-01,T014,S007,3569.7821947433185
S007-WAT-01,T014,S007,3599.7821947433185
S007-WAT-02,T019,S007,5146.7821947433185
S008-FOD-01,T022,S008,7074.147820250426
S008-HYG-01,T023,S008,7044.147820250426
S008-MED-01,T022,S008,7014.147820250426
S008-WAT-01,T022,S008,7044.147820250426
S008-WAT-02,T023,S008,7014.147820250426
S009-FOD-01,T025,S009,9186.811123697387
S009-MED-01,T025,S009,9126.811123697387
S009-WAT-01,T025,S009,9156.811123697387
S010-FOD-01,T012,S010,3100.9663658275863
S010-MED-01,T010,S010,3090.157873830689
S010-WAT-01,T010,S010,3126.157873830689
S011-FOD-01,T020,S011,6355.902117617747
S011-MED-01,T002,S011,863.2001261685054
S011-WAT-01,T002,S011,893.2001261685054
S012-FOD-01,T005,S012,1273.2972779848637
S012-MED-01,T005,S012,1243.2972779848637
S012-WAT-01,T005,S012,1213.2972779848637
S013-FOD-01,T026,S013,9042.768473479777
S013-MED-01,T009,S013,3048.5889241658015
S013-WAT-01,T009,S013,3078.5889241658015
S014-FOD-01,T011,S014,3163.4327639761796
S014-MED-01,T008,S014,3216.758933892751
S014-WAT-01,T008,S014,3186.758933892751
S015-FOD-01,T017,S015,5063.584292010486
S015-MED-01,T017,S015,5003.584292010486
S015-WAT-01,T017,S015,5033.584292010486
