前驱,后继,约束,可用后等待秒,后继开始秒
T001,T013,uav_id,348.306066077791,2105.0
T013,T017,uav_id,0.5297197071135997,3496.0
T017,T022,uav_id,710.7156105133636,5783.0
T022,T026,uav_id,365.157692832483,8110.0
T002,T010,uav_id,772.9730809963223,1995.0
T010,T018,uav_id,123.88881833506366,3731.0
T003,T014,uav_id,847.5147334029923,2161.0
T004,T008,uav_id,0.8296081212431545,1495.0
T008,T016,uav_id,55.44047405963329,2980.0
T016,T021,uav_id,221.88885566272438,5638.0
T005,T012,uav_id,535.8296081212432,2030.0
T012,T020,uav_id,1700.2942523386228,5333.0
T020,T024,uav_id,367.8320866760405,7940.0
T006,T015,uav_id,322.2654440302724,2245.0
T015,T019,uav_id,24.715610513363117,3846.0
T019,T023,uav_id,138.71141597902897,5813.0
T023,T025,uav_id,342.157692832483,8057.0
T007,T011,uav_id,710.0988547357013,2021.0
T001,T017,battery_id,18.497722074449484,3496.0
T017,T025,battery_id,1600.225337481239,8057.0
T002,T014,battery_id,106.16539195403493,2161.0
T004,T020,battery_id,2194.139571921392,5333.0
T005,T016,battery_id,1.1329993182298495,2980.0
T006,T019,battery_id,63.892596867935936,3846.0
T019,T026,battery_id,769.1347490879816,8110.0
T007,T018,battery_id,1554.8423261330058,3731.0
T008,T021,battery_id,1249.649236881667,5638.0
T012,T024,battery_id,2620.8964356313263,7940.0
T013,T022,battery_id,964.0907046765824,5783.0
T015,T023,battery_id,631.7271768187884,5813.0
R001,R003,uav_id,0.44209174099978554,2152.123774678
R003,R005,uav_id,1.31786684600047,4184.689497747
R005,R007,uav_id,1.354621538000174,5843.790404553
R007,R009,uav_id,1.3964301500000147,8297.669353132
R002,R004,uav_id,0.5660241539999333,2303.16479133
R004,R006,uav_id,1.0902019169998312,6005.817867659
R006,R008,uav_id,1.182111133000035,8127.577675532
R001,R006,energy_unit_id,3449.2677216989996,6005.817867659
R002,R008,energy_unit_id,5416.272246352,8127.577675532
R003,R009,energy_unit_id,3735.1803500569995,8297.669353132
