box_id,batch_id,zone_id,sequence,complete_s,hard_deadline_s,expected_s,priority,hard_slack_s,soft_lateness_s
S002-MED-01,T001,S002,1,1130.2869669611046,3600.0,3600.0,24.0,2469.7130330388954,0.0
S002-WAT-01,T001,S002,2,1160.2869669611046,3600.0,3600.0,12.0,2439.7130330388954,0.0
S011-MED-01,T002,S011,1,863.2001261685054,10800.0,10800.0,16.0,9936.799873831495,0.0
S011-WAT-01,T002,S011,2,893.2001261685054,10800.0,10800.0,8.0,9906.799873831495,0.0
S006-MED-01,T003,S006,1,905.5059666318372,3600.0,3600.0,24.0,2694.494033368163,0.0
S006-WAT-01,T003,S006,2,935.5059666318372,3600.0,3600.0,12.0,2664.494033368163,0.0
S001-WAT-02,T004,S001,1,1002.2701959393784,,3600.0,12.0,,0.0
S001-WAT-03,T004,S001,2,1038.2701959393785,,3600.0,12.0,,0.0
S001-WAT-04,T004,S001,3,1074.2701959393785,,3600.0,12.0,,0.0
S001-WAT-05,T004,S001,4,1110.2701959393785,,3600.0,12.0,,0.0
S001-WAT-06,T004,S001,5,1146.2701959393785,,3600.0,12.0,,0.0
S001-FOD-01,T004,S001,6,1182.2701959393785,,7200.0,10.0,,0.0
S001-WAT-07,T005,S001,1,1002.2701959393784,,3600.0,12.0,,0.0
S001-WAT-08,T005,S001,2,1038.2701959393785,,3600.0,12.0,,0.0
S001-FOD-02,T005,S001,3,1074.2701959393785,,7200.0,10.0,,0.0
S001-FOD-03,T005,S001,4,1110.2701959393785,,7200.0,10.0,,0.0
S001-HYG-01,T005,S001,5,1146.2701959393785,,10800.0,8.0,,0.0
S001-HYG-02,T005,S001,6,1182.2701959393785,,10800.0,8.0,,0.0
S012-WAT-01,T006,S012,1,1211.2972779848637,3600.0,3600.0,12.0,2388.7027220151363,0.0
S012-MED-01,T006,S012,2,1241.2972779848637,3600.0,7200.0,22.0,2358.7027220151363,0.0
S012-FOD-01,T006,S012,3,1271.2972779848637,,7200.0,10.0,,0.0
S001-MED-01,T007,S001,1,908.5739059654827,3600.0,3600.0,24.0,2691.4260940345175,0.0
S001-MED-02,T007,S001,2,938.5739059654827,3600.0,3600.0,24.0,2661.4260940345175,0.0
S001-WAT-01,T007,S001,3,968.5739059654827,3600.0,3600.0,12.0,2631.4260940345175,0.0
S006-WAT-02,T008,S006,1,2464.424762970183,,3600.0,12.0,,0.0
S006-WAT-03,T008,S006,2,2500.424762970183,,3600.0,12.0,,0.0
S006-FOD-01,T008,S006,3,2536.424762970183,,7200.0,10.0,,0.0
S006-HYG-01,T008,S006,4,2572.424762970183,,10800.0,8.0,,0.0
S014-WAT-01,T009,S014,1,3186.758933892751,3600.0,3600.0,12.0,413.241066107249,0.0
S014-MED-01,T009,S014,2,3216.758933892751,3600.0,7200.0,22.0,383.241066107249,0.0
S013-MED-01,T010,S013,1,3048.5889241658015,3600.0,3600.0,24.0,551.4110758341985,0.0
S013-WAT-01,T010,S013,2,3078.5889241658015,3600.0,3600.0,12.0,521.4110758341985,0.0
S010-FOD-01,T011,S010,1,3065.9663658275863,,7200.0,10.0,,0.0
S010-MED-01,T012,S010,1,3090.157873830689,3600.0,3600.0,24.0,509.8421261693111,0.0
S010-WAT-01,T012,S010,2,3126.157873830689,3600.0,3600.0,12.0,473.8421261693111,0.0
S013-FOD-01,T013,S013,1,3047.7684734797767,,7200.0,10.0,,0.0
S003-MED-01,T014,S003,1,3540.300344422223,7200.0,7200.0,20.0,3659.699655577777,0.0
S003-WAT-01,T014,S003,2,3570.300344422223,7200.0,7200.0,10.0,3629.699655577777,0.0
S007-MED-01,T015,S007,1,3280.7821947433185,3600.0,3600.0,24.0,319.21780525668146,0.0
S007-WAT-01,T015,S007,2,3310.7821947433185,3600.0,3600.0,12.0,289.21780525668146,0.0
S003-WAT-02,T016,S003,1,4445.515572168638,,7200.0,10.0,,0.0
S003-WAT-03,T016,S003,2,4481.515572168638,,7200.0,10.0,,0.0
S003-WAT-04,T016,S003,3,4517.515572168638,,7200.0,10.0,,0.0
S003-FOD-01,T016,S003,4,4553.515572168638,,10800.0,8.0,,0.0
S003-FOD-02,T016,S003,5,4589.515572168638,,10800.0,8.0,,0.0
S003-HYG-01,T016,S003,6,4625.515572168638,,14400.0,6.0,,0.0
S007-WAT-02,T017,S007,1,4531.7821947433185,,3600.0,12.0,,931.7821947433185
S007-HYG-01,T017,S007,2,4561.7821947433185,,10800.0,8.0,,0.0
S007-FOD-01,T018,S007,1,4812.357661336863,,7200.0,10.0,,0.0
S015-MED-01,T019,S015,1,5003.584292010486,7200.0,7200.0,18.0,2196.415707989514,0.0
S015-WAT-01,T019,S015,2,5033.584292010486,10800.0,10800.0,8.0,5766.415707989514,0.0
S015-FOD-01,T019,S015,3,5063.584292010486,,14400.0,6.0,,0.0
S011-FOD-01,T020,S011,1,6354.902117617747,,14400.0,6.0,,0.0
S005-MED-01,T020,S005,2,6888.205334226282,10800.0,10800.0,16.0,3911.7946657737184,0.0
S005-WAT-01,T020,S005,3,6924.205334226282,10800.0,10800.0,8.0,3875.7946657737184,0.0
S005-WAT-02,T020,S005,4,6960.205334226282,,10800.0,8.0,,0.0
S005-WAT-03,T020,S005,5,6996.205334226282,,10800.0,8.0,,0.0
S005-FOD-01,T020,S005,6,7032.205334226282,,14400.0,6.0,,0.0
S005-HYG-01,T020,S005,7,7068.205334226282,,18000.0,4.0,,0.0
S004-MED-01,T021,S004,1,7041.500533296583,7200.0,7200.0,20.0,158.49946670341706,0.0
S004-WAT-01,T021,S004,2,7077.500533296583,7200.0,7200.0,10.0,122.49946670341706,0.0
S004-WAT-02,T021,S004,3,7113.500533296583,,7200.0,10.0,,0.0
S004-WAT-03,T021,S004,4,7149.500533296583,,7200.0,10.0,,0.0
S004-FOD-01,T021,S004,5,7185.500533296583,,10800.0,8.0,,0.0
S004-HYG-01,T021,S004,6,7221.500533296583,,14400.0,6.0,,0.0
S008-MED-01,T022,S008,1,7014.147820250426,7200.0,7200.0,20.0,185.85217974957413,0.0
S008-WAT-01,T022,S008,2,7044.147820250426,7200.0,7200.0,10.0,155.85217974957413,0.0
