slice_id,sortie_id,stage,start_s,end_s,direct_margin_db,midpoint_status
115,T003,巡航,741.402536798,761.110398735,-0.094709127,ASSIGNED
116,T003,巡航,761.110398735,780.818260671,-0.409250750,ASSIGNED
117,T003,巡航,780.818260671,800.526122608,-1.006218691,ASSIGNED
118,T003,巡航,800.526122608,820.233984544,-1.564912721,ASSIGNED
119,T003,巡航,820.233984544,839.941846480,-2.089932413,ASSIGNED
120,T003,巡航,839.941846480,859.649708417,-2.585097130,ASSIGNED
121,T003,巡航,859.649708417,879.357570353,-3.053612662,ASSIGNED
122,T003,巡航,879.357570353,899.065432290,-3.498195720,ASSIGNED
123,T003,巡航,899.065432290,918.773294226,-3.921168435,ASSIGNED
124,T003,巡航,918.773294226,938.481156163,-4.324531127,ASSIGNED
125,T003,巡航,938.481156163,958.189018099,-4.710019053,ASSIGNED
126,T003,巡航,958.189018099,977.896880036,-5.079147201,ASSIGNED
127,T003,下降,977.896880036,995.697012685,-5.433246009,ASSIGNED
128,T003,下降,995.697012685,1013.497145335,-5.431525748,ASSIGNED
129,T003,下降,1013.497145335,1031.297277985,-5.430119556,ASSIGNED
130,T003,投送,1031.297277985,1051.297277985,-5.429027740,ASSIGNED
131,T003,投送,1051.297277985,1071.297277985,-5.429027740,ASSIGNED
132,T003,投送,1071.297277985,1091.297277985,-5.429027740,ASSIGNED
133,T003,投送,1091.297277985,1111.297277985,-5.429027740,ASSIGNED
134,T003,投送,1111.297277985,1131.297277985,-5.429027740,ASSIGNED
135,T003,投送,1131.297277985,1151.297277985,-5.429027740,ASSIGNED
136,T003,投送,1151.297277985,1171.297277985,-5.429027740,ASSIGNED
137,T003,投送,1171.297277985,1191.297277985,-5.429027740,ASSIGNED
138,T003,投送,1191.297277985,1211.297277985,-5.429027740,ASSIGNED
139,T003,投送,1211.297277985,1231.297277985,-5.429027740,ASSIGNED
140,T003,投送,1231.297277985,1251.297277985,-5.429027740,ASSIGNED
141,T003,投送,1251.297277985,1271.297277985,-5.429027740,ASSIGNED
142,T003,爬升,1271.297277985,1286.130721860,-5.429027740,ASSIGNED
143,T003,爬升,1286.130721860,1300.964165734,-5.430119556,ASSIGNED
144,T003,爬升,1300.964165734,1315.797609609,-5.431525748,ASSIGNED
145,T003,巡航,1315.797609609,1335.505471546,-5.433246009,ASSIGNED
146,T003,巡航,1335.505471546,1355.213333482,-5.079147201,ASSIGNED
147,T003,巡航,1355.213333482,1374.921195419,-4.710019053,ASSIGNED
148,T003,巡航,1374.921195419,1394.629057355,-4.324531127,ASSIGNED
149,T003,巡航,1394.629057355,1414.336919291,-3.921168435,ASSIGNED
150,T003,巡航,1414.336919291,1434.044781228,-3.498195720,ASSIGNED
151,T003,巡航,1434.044781228,1453.752643164,-3.053612662,ASSIGNED
152,T003,巡航,1453.752643164,1473.460505101,-2.585097130,ASSIGNED
153,T003,巡航,1473.460505101,1493.168367037,-2.089932413,ASSIGNED
154,T003,巡航,1493.168367037,1512.876228974,-1.564912721,ASSIGNED
155,T003,巡航,1512.876228974,1532.584090910,-1.006218691,ASSIGNED
156,T003,巡航,1532.584090910,1552.291952847,-0.409250750,ASSIGNED
193,T004,巡航,809.427035564,829.190522787,-0.107041869,ASSIGNED
194,T004,巡航,829.190522787,848.954010011,-0.422433362,ASSIGNED
195,T004,巡航,848.954010011,868.717497234,-1.020854021,ASSIGNED
196,T004,巡航,868.717497234,888.480984457,-1.580737777,ASSIGNED
197,T004,巡航,888.480984457,908.244471681,-2.106744019,ASSIGNED
198,T004,巡航,908.244471681,928.007958904,-2.602735847,ASSIGNED
199,T004,巡航,928.007958904,947.771446127,-3.071951629,ASSIGNED
200,T004,巡航,947.771446127,967.534933351,-3.517132742,ASSIGNED
201,T004,巡航,967.534933351,987.298420574,-3.940620270,ASSIGNED
202,T004,巡航,987.298420574,1007.061907798,-4.344429288,ASSIGNED
203,T004,巡航,1007.061907798,1026.825395021,-4.730306680,ASSIGNED
204,T004,巡航,1026.825395021,1046.588882244,-5.099776694,ASSIGNED
205,T004,下降,1046.588882244,1061.497924603,-5.454177219,ASSIGNED
206,T004,下降,1061.497924603,1076.406966961,-5.453487438,ASSIGNED
207,T004,下降,1076.406966961,1091.316009320,-5.452938121,ASSIGNED
208,T004,投送,1091.316009320,1111.116009320,-5.452529325,ASSIGNED
209,T004,投送,1111.116009320,1130.916009320,-5.452529325,ASSIGNED
210,T004,投送,1130.916009320,1150.716009320,-5.452529325,ASSIGNED
211,T004,投送,1150.716009320,1170.516009320,-5.452529325,ASSIGNED
212,T004,投送,1170.516009320,1190.316009320,-5.452529325,ASSIGNED
213,T004,投送,1190.316009320,1210.116009320,-5.452529325,ASSIGNED
214,T004,投送,1210.116009320,1229.916009320,-5.452529325,ASSIGNED
215,T004,投送,1229.916009320,1249.716009320,-5.452529325,ASSIGNED
216,T004,投送,1249.716009320,1269.516009320,-5.452529325,ASSIGNED
217,T004,投送,1269.516009320,1289.316009320,-5.452529325,ASSIGNED
218,T004,投送,1289.316009320,1309.116009320,-5.452529325,ASSIGNED
219,T004,投送,1309.116009320,1328.916009320,-5.452529325,ASSIGNED
220,T004,投送,1328.916009320,1348.716009320,-5.452529325,ASSIGNED
221,T004,投送,1348.716009320,1368.516009320,-5.452529325,ASSIGNED
222,T004,投送,1368.516009320,1388.316009320,-5.452529325,ASSIGNED
223,T004,投送,1388.316009320,1408.116009320,-5.452529325,ASSIGNED
224,T004,投送,1408.116009320,1427.916009320,-5.452529325,ASSIGNED
225,T004,投送,1427.916009320,1447.716009320,-5.452529325,ASSIGNED
226,T004,投送,1447.716009320,1467.516009320,-5.452529325,ASSIGNED
227,T004,投送,1467.516009320,1487.316009320,-5.452529325,ASSIGNED
228,T004,爬升,1487.316009320,1505.206860150,-5.452529325,ASSIGNED
229,T004,爬升,1505.206860150,1523.097710980,-5.453195218,ASSIGNED
230,T004,巡航,1523.097710980,1542.861198203,-5.454177219,ASSIGNED
231,T004,巡航,1542.861198203,1562.624685426,-5.099776694,ASSIGNED
232,T004,巡航,1562.624685426,1582.388172650,-4.730306680,ASSIGNED
233,T004,巡航,1582.388172650,1602.151659873,-4.344429288,ASSIGNED
234,T004,巡航,1602.151659873,1621.915147096,-3.940620270,ASSIGNED
235,T004,巡航,1621.915147096,1641.678634320,-3.517132742,ASSIGNED
236,T004,巡航,1641.678634320,1661.442121543,-3.071951629,ASSIGNED
237,T004,巡航,1661.442121543,1681.205608767,-2.602735847,ASSIGNED
238,T004,巡航,1681.205608767,1700.969095990,-2.106744019,ASSIGNED
239,T004,巡航,1700.969095990,1720.732583213,-1.580737777,ASSIGNED
240,T004,巡航,1720.732583213,1740.496070437,-1.020854021,ASSIGNED
241,T004,巡航,1740.496070437,1760.259557660,-0.422433362,ASSIGNED
381,T007,巡航,741.184007674,761.106877859,-0.240697547,ASSIGNED
382,T007,巡航,761.106877859,781.029748044,-0.240697547,ASSIGNED
383,T007,巡航,781.029748044,800.952618229,-0.736431795,ASSIGNED
384,T007,巡航,800.952618229,820.875488414,-1.205429529,ASSIGNED
385,T007,巡航,820.875488414,840.798358599,-1.650424435,ASSIGNED
386,T007,巡航,840.798358599,860.721228783,-2.073751689,ASSIGNED
387,T007,巡航,860.721228783,880.644098968,-2.477421764,ASSIGNED
388,T007,巡航,880.644098968,900.566969153,-2.863177923,ASSIGNED
389,T007,巡航,900.566969153,920.489839338,-3.232541526,ASSIGNED
390,T007,巡航,920.489839338,940.412709523,-3.586848143,ASSIGNED
391,T007,巡航,940.412709523,960.335579708,-3.927276598,ASSIGNED
392,T007,巡航,960.335579708,980.258449892,-4.254872568,ASSIGNED
393,T007,巡航,980.258449892,1000.181320077,-4.570567892,ASSIGNED
394,T007,巡航,1000.181320077,1020.104190262,-4.875196513,ASSIGNED
395,T007,巡航,1020.104190262,1040.027060447,-5.169507718,ASSIGNED
396,T007,下降,1040.027060447,1057.917911277,-5.454177219,ASSIGNED
397,T007,下降,1057.917911277,1075.808762107,-5.453195218,ASSIGNED
398,T007,投送,1075.808762107,1094.899671198,-5.452529325,ASSIGNED
399,T007,投送,1094.899671198,1113.990580289,-5.452529325,ASSIGNED
400,T007,投送,1113.990580289,1133.081489380,-5.452529325,ASSIGNED
401,T007,投送,1133.081489380,1152.172398471,-5.452529325,ASSIGNED
