batch_id,type_id,uav_id,battery_id,visit_order,box_ids,start_s,launch_s,return_s,charge_start_s,charge_end_s,charge_s,mass_kg,volume_m3,energy_kwh,return_soc
T001,A,U01,A-B01,S011,S011-MED-01;S011-WAT-01,0.0,360.0,1222.0269190036777,1222.0269190036777,2054.834608045965,832.8076890422875,17.0,0.039,1.1520266159156107,0.7439940853520866
T002,A,U02,A-B02,S006,S006-MED-01;S006-WAT-01,0.0,360.0,1313.4852665970077,1313.4852665970077,2192.3868913392653,878.9016247422575,17.0,0.039,1.311582547184737,0.708537211736725
T003,B,U06,B-B04,S012,S012-WAT-01;S012-MED-01;S012-FOD-01,0.0,390.0,1922.7345559697276,1922.7345559697276,3782.107403132064,1859.3728471623365,25.0,0.067,2.7523988780669306,0.31190028048326734
T004,C,U07,C-B04,S002,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-01;S002-FOD-02;S002-HYG-01,0.0,480.0,2107.812018639006,2107.812018639006,4594.759883193701,2486.9478645546947,64.0,0.17200000000000001,6.105653653740411,0.23679329328244858
T005,A,U03,A-B03,S006,S006-WAT-02;S006-FOD-01,0.0,360.0,1313.4852665970077,1313.4852665970077,2205.5263053797403,892.0410387827327,22.0,0.055,1.3570651342479207,0.6984299701671287
T006,C,U08,C-B01,S006,S006-WAT-03;S006-HYG-01,0.0,360.0,1297.5595259403667,1297.5595259403667,2706.7397798267352,1409.1802538863685,20.0,0.062,2.1262040143496685,0.7342244982062914
T007,A,U04,A-B04,S002,S002-MED-01;S002-WAT-01,2.0,362.0,2005.7375242142848,2005.7375242142848,3349.281414297959,1343.5438900836743,17.0,0.039,2.9199596195204114,0.35112008455101973
T008,B,U05,B-B03,S009,S009-MED-01;S009-WAT-01;S009-FOD-01,40.0,430.0,1598.4422473947754,1598.4422473947754,3173.4774587246857,1575.0352113299105,25.0,0.067,2.0962351030690245,0.4759412242327439
T009,A,U01,A-B05,S001,S001-MED-01;S001-MED-02;S001-WAT-01,1223.0,1613.0,2533.901145264299,2533.901145264299,3399.1576738669946,865.2565286026954,20.0,0.051000000000000004,1.2643495220862535,0.7190334395363881
T010,C,U08,C-B02,S001,S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-FOD-01,1298.0,1778.0,2792.170391878757,2792.170391878757,4436.8604280786085,1644.6900361998512,78.0,0.163,2.99577859519945,0.6255276756000687
T011,B,U05,B-B02,S014,S014-WAT-01;S014-MED-01;S014-FOD-01,2132.0,2522.0,4001.7521946190263,4001.7521946190263,5595.915668486025,1594.163473866999,25.0,0.067,2.1403772473853824,0.4649056881536544
T012,B,U06,B-B01,S013,S013-MED-01;S013-WAT-01;S013-FOD-01,2196.0,2586.0,3706.4702802928864,3706.4702802928864,5163.863606970384,1457.3933266774975,25.0,0.067,1.8247538307942253,0.5438115423014437
T013,C,U07,C-B03,S003,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-01;S003-FOD-02;S003-HYG-01,2256.0,2736.0,4692.111144337276,4692.111144337276,7190.960612377444,2498.849468040168,64.0,0.17200000000000001,6.149598035840621,0.23130024551992234
T014,A,U02,A-B06,S010,S010-MED-01;S010-WAT-01,2324.0,2684.0,3978.859398321839,3978.859398321839,5043.594424392994,1064.7350260711557,17.0,0.039,1.9548520133232312,0.5655884414837264
T015,A,U03,A-B01,S010,S010-FOD-01,2354.0,2684.0,3948.859398321839,3948.859398321839,4988.483736963959,1039.6243386421197,8.0,0.028,1.867930402991953,0.5849043548906772
T016,A,U04,A-B02,S007,S007-MED-01;S007-WAT-01,2354.0,2714.0,4081.4353226737258,4081.4353226737258,5131.87520282004,1050.4398801463137,17.0,0.039,1.9053688158910864,0.5765847075797585
T017,A,U01,A-B03,S003,S003-MED-01;S003-WAT-01,2534.0,2894.0,4796.65402217778,4796.65402217778,6158.13203546618,1361.4780132884005,17.0,0.039,2.98203927676754,0.33732460516276896
T018,C,U08,C-B01,S007>S015,S007-WAT-02;S007-FOD-01;S007-HYG-01;S015-MED-01;S015-WAT-01;S015-FOD-01,2795.0,3275.0,5274.285752513902,5274.285752513902,7415.455056444193,2141.169303930292,53.0,0.157,4.828932814511846,0.3963833981860192
T019,A,U03,A-B04,S011,S011-FOD-01,3949.0,4279.0,5111.026919003678,5111.026919003678,5929.225306351786,818.1983873481079,8.0,0.028,1.101455956204989,0.7552320097322247
T020,C,U07,C-B02,S004,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,5194.0,5674.0,7495.061066593167,7495.061066593167,9994.82037084863,2499.759304255463,59.0,0.156,6.152957431097095,0.23088032111286316
