架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U01,A,A-B01,0.0,S011,1222.0269190036777,1.1520266159156107
T002,U02,A,A-B02,0.0,S006,1313.4852665970077,1.311582547184737
T003,U06,B,B-B04,0.0,S012,1922.7345559697276,2.7523988780669306
T004,U07,C,C-B04,0.0,S002,2107.812018639006,6.105653653740411
T005,U03,A,A-B03,0.0,S006,1313.4852665970077,1.3570651342479207
T006,U08,C,C-B01,0.0,S006,1297.5595259403667,2.1262040143496685
T007,U04,A,A-B04,2.0,S002,2005.7375242142848,2.9199596195204114
T008,U05,B,B-B03,40.0,S009,1598.4422473947754,2.0962351030690245
T009,U01,A,A-B05,1223.0,S001,2533.901145264299,1.2643495220862535
T010,U08,C,C-B02,1298.0,S001,2792.170391878757,2.99577859519945
T011,U05,B,B-B02,2132.0,S014,4001.7521946190263,2.1403772473853824
T012,U06,B,B-B01,2196.0,S013,3706.4702802928864,1.8247538307942253
T013,U07,C,C-B03,2256.0,S003,4692.111144337276,6.149598035840621
T014,U02,A,A-B06,2324.0,S010,3978.859398321839,1.9548520133232312
T015,U03,A,A-B01,2354.0,S010,3948.859398321839,1.867930402991953
T016,U04,A,A-B02,2354.0,S007,4081.4353226737258,1.9053688158910864
T017,U01,A,A-B03,2534.0,S003,4796.65402217778,2.98203927676754
T018,U08,C,C-B01,2795.0,S007>S015,5274.285752513902,4.828932814511846
T019,U03,A,A-B04,3949.0,S011,5111.026919003678,1.101455956204989
T020,U07,C,C-B02,5194.0,S004,7495.061066593167,6.152957431097095
T021,U08,C,C-B04,5275.0,S001,6769.170391878757,2.405033632503433
T022,U01,A,A-B02,5288.0,S005,6980.196251617894,2.121339306346238
T023,U06,B,B-B04,5308.0,S008,7269.842307167517,2.9752454570246574
T024,U03,A,A-B06,5311.0,S008,7422.146128791754,3.146497285451513
T025,U02,A,A-B05,5311.0,S008,7422.146128791754,3.0410585203448384
T026,U05,B,B-B01,5359.0,S005,6875.174861971398,1.83453907939984
T027,U04,A,A-B01,5490.0,S005,7182.196251617894,2.1930021498666834
