货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,T010,S001,2480.2701959393785
S001-FOD-02,T021,S001,6349.270195939378
S001-FOD-03,T021,S001,6385.270195939378
S001-HYG-01,T021,S001,6421.270195939378
S001-HYG-02,T021,S001,6457.270195939378
S001-MED-01,T009,S001,2131.5739059654825
S001-MED-02,T009,S001,2161.5739059654825
S001-WAT-01,T009,S001,2191.5739059654825
S001-WAT-02,T010,S001,2300.2701959393785
S001-WAT-03,T010,S001,2336.2701959393785
S001-WAT-04,T010,S001,2372.2701959393785
S001-WAT-05,T010,S001,2408.2701959393785
S001-WAT-06,T010,S001,2444.2701959393785
S001-WAT-07,T021,S001,6277.270195939378
S001-WAT-08,T021,S001,6313.270195939378
S002-FOD-01,T004,S002,1415.3160093195029
S002-FOD-02,T004,S002,1451.3160093195029
S002-HYG-01,T004,S002,1487.3160093195029
S002-MED-01,T007,S002,1255.8087621071425
S002-WAT-01,T007,S002,1285.8087621071425
S002-WAT-02,T004,S002,1307.3160093195029
S002-WAT-03,T004,S002,1343.3160093195029
S002-WAT-04,T004,S002,1379.3160093195029
S003-FOD-01,T013,S003,3829.515572168638
S003-FOD-02,T013,S003,3865.515572168638
S003-HYG-01,T013,S003,3901.515572168638
S003-MED-01,T017,S003,3913.300344422223
S003-WAT-01,T017,S003,3943.300344422223
S003-WAT-02,T013,S003,3721.515572168638
S003-WAT-03,T013,S003,3757.515572168638
S003-WAT-04,T013,S003,3793.515572168638
S004-FOD-01,T020,S004,6741.500533296583
S004-HYG-01,T020,S004,6777.500533296583
S004-MED-01,T020,S004,6597.500533296583
S004-WAT-01,T020,S004,6633.500533296583
S004-WAT-02,T020,S004,6669.500533296583
S004-WAT-03,T020,S004,6705.500533296583
S005-FOD-01,T027,S005,6618.854792475613
S005-HYG-01,T026,S005,6399.844097652365
S005-MED-01,T022,S005,6386.854792475613
S005-WAT-01,T026,S005,6369.844097652365
S005-WAT-02,T022,S005,6416.854792475613
S005-WAT-03,T027,S005,6588.854792475613
S006-FOD-01,T005,S006,935.5059666318372
S006-HYG-01,T006,S006,945.4247629701833
S006-MED-01,T002,S006,905.5059666318372
S006-WAT-01,T002,S006,935.5059666318372
S006-WAT-02,T005,S006,905.5059666318372
S006-WAT-03,T006,S006,909.4247629701833
S007-FOD-01,T018,S007,4064.7477239181235
S007-HYG-01,T018,S007,4100.7477239181235
S007-MED-01,T016,S007,3465.357661336863
S007-WAT-01,T016,S007,3495.357661336863
S007-WAT-02,T018,S007,4028.7477239181235
S008-FOD-01,T023,S008,6599.147820250426
S008-HYG-01,T025,S008,6616.799731062543
S008-MED-01,T023,S008,6539.147820250426
S008-WAT-01,T023,S008,6569.147820250426
S008-WAT-02,T024,S008,6616.799731062543
S009-FOD-01,T008,S009,1130.8111236973878
S009-MED-01,T008,S009,1070.8111236973878
S009-WAT-01,T008,S009,1100.8111236973878
S010-FOD-01,T015,S010,3398.9663658275863
S010-MED-01,T014,S010,3398.9663658275863
S010-WAT-01,T014,S010,3428.9663658275863
S011-FOD-01,T019,S011,4782.200126168505
S011-MED-01,T001,S011,863.2001261685054
S011-WAT-01,T001,S011,893.2001261685054
S012-FOD-01,T003,S012,1271.2972779848637
S012-MED-01,T003,S012,1241.2972779848637
S012-WAT-01,T003,S012,1211.2972779848637
S013-FOD-01,T012,S013,3258.7684734797767
S013-MED-01,T012,S013,3198.7684734797767
S013-WAT-01,T012,S013,3228.7684734797767
S014-FOD-01,T011,S014,3374.4327639761796
S014-MED-01,T011,S014,3344.4327639761796
S014-WAT-01,T011,S014,3314.4327639761796
S015-FOD-01,T018,S015,4612.684917941568
S015-MED-01,T018,S015,4540.684917941568
S015-WAT-01,T018,S015,4576.684917941568
