box_id,batch_id,zone_id,sequence,complete_s,hard_deadline_s,expected_s,priority,hard_slack_s,soft_lateness_s
S011-MED-01,T001,S011,1,863.2001261685054,10800.0,10800.0,16.0,9936.799873831495,0.0
S011-WAT-01,T001,S011,2,893.2001261685054,10800.0,10800.0,8.0,9906.799873831495,0.0
S006-MED-01,T002,S006,1,905.5059666318372,3600.0,3600.0,24.0,2694.494033368163,0.0
S006-WAT-01,T002,S006,2,935.5059666318372,3600.0,3600.0,12.0,2664.494033368163,0.0
S012-WAT-01,T003,S012,1,1211.2972779848637,3600.0,3600.0,12.0,2388.7027220151363,0.0
S012-MED-01,T003,S012,2,1241.2972779848637,3600.0,7200.0,22.0,2358.7027220151363,0.0
S012-FOD-01,T003,S012,3,1271.2972779848637,,7200.0,10.0,,0.0
S002-WAT-02,T004,S002,1,1307.3160093195029,,3600.0,12.0,,0.0
S002-WAT-03,T004,S002,2,1343.3160093195029,,3600.0,12.0,,0.0
S002-WAT-04,T004,S002,3,1379.3160093195029,,3600.0,12.0,,0.0
S002-FOD-01,T004,S002,4,1415.3160093195029,,7200.0,10.0,,0.0
S002-FOD-02,T004,S002,5,1451.3160093195029,,7200.0,10.0,,0.0
S002-HYG-01,T004,S002,6,1487.3160093195029,,10800.0,8.0,,0.0
S006-WAT-02,T005,S006,1,905.5059666318372,,3600.0,12.0,,0.0
S006-FOD-01,T005,S006,2,935.5059666318372,,7200.0,10.0,,0.0
S006-WAT-03,T006,S006,1,909.4247629701833,,3600.0,12.0,,0.0
S006-HYG-01,T006,S006,2,945.4247629701833,,10800.0,8.0,,0.0
S002-MED-01,T007,S002,1,1255.8087621071425,3600.0,3600.0,24.0,2344.1912378928573,0.0
S002-WAT-01,T007,S002,2,1285.8087621071425,3600.0,3600.0,12.0,2314.1912378928573,0.0
S009-MED-01,T008,S009,1,1070.8111236973878,10800.0,10800.0,16.0,9729.188876302613,0.0
S009-WAT-01,T008,S009,2,1100.8111236973878,10800.0,10800.0,8.0,9699.188876302613,0.0
S009-FOD-01,T008,S009,3,1130.8111236973878,,14400.0,6.0,,0.0
S001-MED-01,T009,S001,1,2131.5739059654825,3600.0,3600.0,24.0,1468.4260940345175,0.0
S001-MED-02,T009,S001,2,2161.5739059654825,3600.0,3600.0,24.0,1438.4260940345175,0.0
S001-WAT-01,T009,S001,3,2191.5739059654825,3600.0,3600.0,12.0,1408.4260940345175,0.0
S001-WAT-02,T010,S001,1,2300.2701959393785,,3600.0,12.0,,0.0
S001-WAT-03,T010,S001,2,2336.2701959393785,,3600.0,12.0,,0.0
S001-WAT-04,T010,S001,3,2372.2701959393785,,3600.0,12.0,,0.0
S001-WAT-05,T010,S001,4,2408.2701959393785,,3600.0,12.0,,0.0
S001-WAT-06,T010,S001,5,2444.2701959393785,,3600.0,12.0,,0.0
S001-FOD-01,T010,S001,6,2480.2701959393785,,7200.0,10.0,,0.0
S014-WAT-01,T011,S014,1,3314.4327639761796,3600.0,3600.0,12.0,285.56723602382044,0.0
S014-MED-01,T011,S014,2,3344.4327639761796,3600.0,7200.0,22.0,255.56723602382044,0.0
S014-FOD-01,T011,S014,3,3374.4327639761796,,7200.0,10.0,,0.0
S013-MED-01,T012,S013,1,3198.7684734797767,3600.0,3600.0,24.0,401.23152652022327,0.0
S013-WAT-01,T012,S013,2,3228.7684734797767,3600.0,3600.0,12.0,371.23152652022327,0.0
S013-FOD-01,T012,S013,3,3258.7684734797767,,7200.0,10.0,,0.0
S003-WAT-02,T013,S003,1,3721.515572168638,,7200.0,10.0,,0.0
S003-WAT-03,T013,S003,2,3757.515572168638,,7200.0,10.0,,0.0
S003-WAT-04,T013,S003,3,3793.515572168638,,7200.0,10.0,,0.0
S003-FOD-01,T013,S003,4,3829.515572168638,,10800.0,8.0,,0.0
S003-FOD-02,T013,S003,5,3865.515572168638,,10800.0,8.0,,0.0
S003-HYG-01,T013,S003,6,3901.515572168638,,14400.0,6.0,,0.0
S010-MED-01,T014,S010,1,3398.9663658275863,3600.0,3600.0,24.0,201.0336341724137,0.0
S010-WAT-01,T014,S010,2,3428.9663658275863,3600.0,3600.0,12.0,171.0336341724137,0.0
S010-FOD-01,T015,S010,1,3398.9663658275863,,7200.0,10.0,,0.0
S007-MED-01,T016,S007,1,3465.357661336863,3600.0,3600.0,24.0,134.6423386631368,0.0
S007-WAT-01,T016,S007,2,3495.357661336863,3600.0,3600.0,12.0,104.6423386631368,0.0
S003-MED-01,T017,S003,1,3913.300344422223,7200.0,7200.0,20.0,3286.699655577777,0.0
S003-WAT-01,T017,S003,2,3943.300344422223,7200.0,7200.0,10.0,3256.699655577777,0.0
S007-WAT-02,T018,S007,1,4028.7477239181235,,3600.0,12.0,,428.7477239181235
S007-FOD-01,T018,S007,2,4064.7477239181235,,7200.0,10.0,,0.0
S007-HYG-01,T018,S007,3,4100.7477239181235,,10800.0,8.0,,0.0
S015-MED-01,T018,S015,4,4540.684917941568,7200.0,7200.0,18.0,2659.3150820584324,0.0
S015-WAT-01,T018,S015,5,4576.684917941568,10800.0,10800.0,8.0,6223.315082058432,0.0
S015-FOD-01,T018,S015,6,4612.684917941568,,14400.0,6.0,,0.0
S011-FOD-01,T019,S011,1,4782.200126168505,,14400.0,6.0,,0.0
S004-MED-01,T020,S004,1,6597.500533296583,7200.0,7200.0,20.0,602.499466703417,0.0
S004-WAT-01,T020,S004,2,6633.500533296583,7200.0,7200.0,10.0,566.499466703417,0.0
S004-WAT-02,T020,S004,3,6669.500533296583,,7200.0,10.0,,0.0
S004-WAT-03,T020,S004,4,6705.500533296583,,7200.0,10.0,,0.0
S004-FOD-01,T020,S004,5,6741.500533296583,,10800.0,8.0,,0.0
S004-HYG-01,T020,S004,6,6777.500533296583,,14400.0,6.0,,0.0
S001-WAT-07,T021,S001,1,6277.270195939378,,3600.0,12.0,,2677.270195939378
S001-WAT-08,T021,S001,2,6313.270195939378,,3600.0,12.0,,2713.270195939378
S001-FOD-02,T021,S001,3,6349.270195939378,,7200.0,10.0,,0.0
S001-FOD-03,T021,S001,4,6385.270195939378,,7200.0,10.0,,0.0
S001-HYG-01,T021,S001,5,6421.270195939378,,10800.0,8.0,,0.0
S001-HYG-02,T021,S001,6,6457.270195939378,,10800.0,8.0,,0.0
S005-MED-01,T022,S005,1,6386.854792475613,10800.0,10800.0,16.0,4413.145207524387,0.0
S005-WAT-02,T022,S005,2,6416.854792475613,,10800.0,8.0,,0.0
S008-MED-01,T023,S008,1,6539.147820250426,7200.0,7200.0,20.0,660.8521797495741,0.0
S008-WAT-01,T023,S008,2,6569.147820250426,7200.0,7200.0,10.0,630.8521797495741,0.0
S008-FOD-01,T023,S008,3,6599.147820250426,,10800.0,8.0,,0.0
S008-WAT-02,T024,S008,1,6616.799731062543,,7200.0,10.0,,0.0
S008-HYG-01,T025,S008,1,6616.799731062543,,14400.0,6.0,,0.0
S005-WAT-01,T026,S005,1,6369.844097652365,10800.0,10800.0,8.0,4430.155902347635,0.0
S005-HYG-01,T026,S005,2,6399.844097652365,,18000.0,4.0,,0.0
S005-WAT-03,T027,S005,1,6588.854792475613,,10800.0,8.0,,0.0
S005-FOD-01,T027,S005,2,6618.854792475613,,14400.0,6.0,,0.0
