运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
T001,爬升,359.99999999999994,378.6290839301215,直连,
T001,爬升,378.6290839301215,397.258167860243,直连,
T001,爬升,397.258167860243,415.8872517903646,直连,
T001,巡航,415.8872517903646,435.38793280950654,直连,
T001,巡航,435.38793280950654,454.8886138286485,直连,
T001,巡航,454.8886138286485,474.38929484779044,直连,
T001,巡航,474.38929484779044,493.8899758669324,直连,
T001,巡航,493.8899758669324,513.3906568860743,直连,
T001,巡航,513.3906568860743,532.8913379052162,直连,
T001,巡航,532.8913379052162,552.3920189243582,直连,
T001,巡航,552.3920189243582,571.8926999435001,直连,
T001,巡航,571.8926999435001,591.3933809626421,直连,
T001,巡航,591.3933809626421,610.894061981784,直连,
T001,巡航,610.894061981784,630.3947430009259,直连,
T001,巡航,630.3947430009259,649.8954240200679,直连,
T001,下降,649.8954240200679,666.5477750942866,直连,
T001,下降,666.5477750942866,683.2001261685054,直连,
T001,投送,683.2001261685054,702.2910352594146,直连,
T001,投送,702.2910352594146,721.3819443503236,直连,
T001,投送,721.3819443503236,740.4728534412327,直连,
T001,投送,740.4728534412327,759.5637625321418,直连,
T001,投送,759.5637625321418,778.654671623051,直连,
T001,投送,778.654671623051,797.74558071396,直连,
T001,投送,797.74558071396,816.8364898048691,直连,
T001,投送,816.8364898048691,835.9273988957782,直连,
T001,投送,835.9273988957782,855.0183079866872,直连,
T001,投送,855.0183079866872,874.1092170775963,直连,
T001,投送,874.1092170775963,893.2001261685054,直连,
T001,爬升,893.2001261685054,907.0770853970212,直连,
T001,爬升,907.0770853970212,920.9540446255368,直连,
T001,巡航,920.9540446255368,940.4547256446787,直连,
T001,巡航,940.4547256446787,959.9554066638207,直连,
T001,巡航,959.9554066638207,979.4560876829626,直连,
T001,巡航,979.4560876829626,998.9567687021046,直连,
T001,巡航,998.9567687021046,1018.4574497212465,直连,
T001,巡航,1018.4574497212465,1037.9581307403885,直连,
T001,巡航,1037.9581307403885,1057.4588117595304,直连,
T001,巡航,1057.4588117595304,1076.9594927786723,直连,
T001,巡航,1076.9594927786723,1096.4601737978142,直连,
T001,巡航,1096.4601737978142,1115.9608548169563,直连,
T001,巡航,1115.9608548169563,1135.4615358360982,直连,
T001,巡航,1135.4615358360982,1154.96221685524,直连,
T001,下降,1154.96221685524,1171.7283923923494,直连,
T001,下降,1171.7283923923494,1188.4945679294588,直连,
T001,下降,1188.4945679294588,1205.2607434665683,直连,
T001,下降,1205.2607434665683,1222.0269190036777,直连,
T002,爬升,360.0,379.8664866129558,直连,
T002,爬升,379.8664866129558,399.7329732259115,直连,
T002,爬升,399.7329732259115,419.59945983886723,直连,
T002,爬升,419.59945983886723,439.465946451823,直连,
T002,巡航,439.465946451823,458.4317239116678,直连,
T002,巡航,458.4317239116678,477.39750137151253,直连,
T002,巡航,477.39750137151253,496.3632788313573,直连,
T002,巡航,496.3632788313573,515.329056291202,直连,
T002,巡航,515.329056291202,534.2948337510468,直连,
T002,巡航,534.2948337510468,553.2606112108916,直连,
T002,巡航,553.2606112108916,572.2263886707364,直连,
T002,巡航,572.2263886707364,591.1921661305811,直连,
T002,巡航,591.1921661305811,610.1579435904259,直连,
T002,巡航,610.1579435904259,629.1237210502707,直连,
T002,巡航,629.1237210502707,648.0894985101154,直连,
T002,巡航,648.0894985101154,667.0552759699601,直连,
T002,巡航,667.0552759699601,686.021053429805,直连,
T002,巡航,686.021053429805,704.9868308896497,直连,
T002,下降,704.9868308896497,715.2463987607434,直连,
T002,下降,715.2463987607434,725.5059666318372,直连,
T002,投送,725.5059666318372,744.5968757227463,直连,
T002,投送,744.5968757227463,763.6877848136553,直连,
T002,投送,763.6877848136553,782.7786939045644,直连,
T002,投送,782.7786939045644,801.8696029954735,直连,
T002,投送,801.8696029954735,820.9605120863827,直连,
T002,投送,820.9605120863827,840.0514211772917,直连,
T002,投送,840.0514211772917,859.1423302682008,直连,
T002,投送,859.1423302682008,878.2332393591099,直连,
T002,投送,878.2332393591099,897.324148450019,直连,
