架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U05,B,B-B01,0.0,S012,1922.7345559697276,2.7523988780669306
T002,U07,C,C-B01,0.0,S002,2107.812018639006,6.105653653740411
T003,U06,B,B-B02,0.0,S009,1558.4422473947754,2.0962351030690245
T004,U01,A,A-B01,0.0,S002,2003.7375242142848,2.9199596195204114
T005,U02,A,A-B02,0.0,S006,1313.4852665970077,1.3570651342479207
T006,U08,C,C-B02,1.0,S001,1495.1703918787568,2.405033632503433
T007,U03,A,A-B03,1.0,S001,1251.9011452642987,1.2823499487755985
T008,U04,A,A-B04,265.0,S006,1578.4852665970077,1.311582547184737
T009,U03,A,A-B05,1252.0,S011,2414.026919003678,1.101455956204989
T010,U02,A,A-B06,1314.0,S001,2624.901145264299,1.2643495220862535
T011,U08,C,C-B03,1496.0,S001,2858.170391878757,2.405033632503433
T012,U06,B,B-B03,2162.0,S014,3971.7521946190263,1.925006785482738
T013,U04,A,A-B03,2172.0,S010,3766.859398321839,1.867930402991953
T014,U07,C,C-B04,2178.0,S013,3789.6308882030426,3.249134478063305
T015,U05,B,B-B04,2192.0,S014,3941.7521946190263,1.784545874148247
T016,U01,A,A-B02,2207.0,S010,3861.859398321839,1.9548520133232312
T017,U03,A,A-B04,2458.0,S007,4185.435322673726,1.9053688158910864
T018,U08,C,C-B02,2981.0,S007>S003,5674.612146725549,6.39233221398069
T019,U02,A,A-B05,3234.0,S003,5496.65402217778,2.98203927676754
T020,U04,A,A-B01,3767.0,S011,4989.026919003678,1.1520266159156107
T021,U01,A,A-B06,3930.0,S007,5657.435322673726,1.970949069366133
T022,U05,B,B-B02,3950.0,S015,5778.288584020971,2.3074846159024167
T023,U06,B,B-B01,3972.0,S006,5179.276912821877,1.1381648635839006
T024,U07,C,C-B03,5810.0,S008,7943.712084592647,5.463468901323594
T025,U08,C,C-B01,5832.0,S004,7935.061066593167,5.315107065478443
T026,U03,A,A-B03,5836.0,S005,7528.196251617894,2.121339306346238
T027,U06,B,B-B04,5850.0,S004,7831.648011173244,2.871293662354198
T028,U04,A,A-B02,5859.0,S008,7970.146128791754,3.146497285451513
T029,U02,A,A-B04,5866.0,S005,7498.196251617894,2.0302118741965107
T030,U01,A,A-B01,5866.0,S005,7498.196251617894,2.0158924698911926
T031,U05,B,B-B03,5907.0,S005,7423.174861971398,2.0861496248390377
