货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,T007,S001,909.5739059654827
S001-FOD-02,T006,S001,1075.2701959393785
S001-FOD-03,T006,S001,1111.2701959393785
S001-HYG-01,T006,S001,1147.2701959393785
S001-HYG-02,T006,S001,1183.2701959393785
S001-MED-01,T010,S001,2222.5739059654825
S001-MED-02,T010,S001,2252.5739059654825
S001-WAT-01,T010,S001,2282.5739059654825
S001-WAT-02,T007,S001,879.5739059654827
S001-WAT-03,T011,S001,2438.2701959393785
S001-WAT-04,T011,S001,2474.2701959393785
S001-WAT-05,T011,S001,2510.2701959393785
S001-WAT-06,T011,S001,2546.2701959393785
S001-WAT-07,T006,S001,1003.2701959393784
S001-WAT-08,T006,S001,1039.2701959393785
S002-FOD-01,T002,S002,1415.3160093195029
S002-FOD-02,T002,S002,1451.3160093195029
S002-HYG-01,T002,S002,1487.3160093195029
S002-MED-01,T004,S002,1253.8087621071425
S002-WAT-01,T004,S002,1283.8087621071425
S002-WAT-02,T002,S002,1307.3160093195029
S002-WAT-03,T002,S002,1343.3160093195029
S002-WAT-04,T002,S002,1379.3160093195029
S003-FOD-01,T018,S003,4812.01657455691
S003-FOD-02,T018,S003,4848.01657455691
S003-HYG-01,T018,S003,4884.01657455691
S003-MED-01,T019,S003,4613.300344422223
S003-WAT-01,T019,S003,4643.300344422223
S003-WAT-02,T018,S003,4704.01657455691
S003-WAT-03,T018,S003,4740.01657455691
S003-WAT-04,T018,S003,4776.01657455691
S004-FOD-01,T027,S004,7152.470672253289
S004-HYG-01,T025,S004,7217.500533296583
S004-MED-01,T027,S004,7092.470672253289
S004-WAT-01,T025,S004,7145.500533296583
S004-WAT-02,T027,S004,7122.470672253289
S004-WAT-03,T025,S004,7181.500533296583
S005-FOD-01,T029,S005,6934.854792475613
S005-HYG-01,T030,S005,6934.854792475613
S005-MED-01,T026,S005,6934.854792475613
S005-WAT-01,T026,S005,6964.854792475613
S005-WAT-02,T031,S005,6917.844097652365
S005-WAT-03,T031,S005,6947.844097652365
S006-FOD-01,T005,S006,935.5059666318372
S006-HYG-01,T023,S006,4854.401789744272
S006-MED-01,T008,S006,1170.505966631837
S006-WAT-01,T008,S006,1200.505966631837
S006-WAT-02,T005,S006,905.5059666318372
S006-WAT-03,T023,S006,4824.401789744272
S007-FOD-01,T021,S007,5071.357661336863
S007-HYG-01,T018,S007,4244.7477239181235
S007-MED-01,T017,S007,3569.357661336863
S007-WAT-01,T017,S007,3599.357661336863
S007-WAT-02,T021,S007,5041.357661336863
S008-FOD-01,T024,S008,7205.696042296324
S008-HYG-01,T024,S008,7241.696042296324
S008-MED-01,T024,S008,7133.696042296324
S008-WAT-01,T028,S008,7164.799731062543
S008-WAT-02,T024,S008,7169.696042296324
S009-FOD-01,T003,S009,1090.8111236973878
S009-MED-01,T003,S009,1030.8111236973878
S009-WAT-01,T003,S009,1060.8111236973878
S010-FOD-01,T013,S010,3216.9663658275863
S010-MED-01,T016,S010,3281.9663658275863
S010-WAT-01,T016,S010,3311.9663658275863
S011-FOD-01,T009,S011,2085.2001261685054
S011-MED-01,T020,S011,4630.200126168505
S011-WAT-01,T020,S011,4660.200126168505
S012-FOD-01,T001,S012,1271.2972779848637
S012-MED-01,T001,S012,1241.2972779848637
S012-WAT-01,T001,S012,1211.2972779848637
S013-FOD-01,T014,S013,3311.6154441015215
S013-MED-01,T014,S013,3239.6154441015215
S013-WAT-01,T014,S013,3275.6154441015215
S014-FOD-01,T015,S014,3314.4327639761796
S014-MED-01,T012,S014,3344.4327639761796
S014-WAT-01,T012,S014,3314.4327639761796
S015-FOD-01,T022,S015,5167.584292010486
S015-MED-01,T022,S015,5107.584292010486
S015-WAT-01,T022,S015,5137.584292010486
