运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
T001,爬升,389.9999999999999,409.0400663248697,直连,
T001,爬升,409.0400663248697,428.0801326497395,直连,
T001,爬升,428.0801326497395,447.1201989746093,直连,
T001,爬升,447.1201989746093,466.1602652994791,直连,
T001,爬升,466.1602652994791,485.2003316243489,直连,
T001,巡航,485.2003316243489,504.9081935608007,直连,
T001,巡航,504.9081935608007,524.6160554972525,直连,
T001,巡航,524.6160554972525,544.3239174337044,直连,
T001,巡航,544.3239174337044,564.0317793701563,直连,
T001,巡航,564.0317793701563,583.7396413066081,直连,
T001,巡航,583.7396413066081,603.4475032430599,直连,
T001,巡航,603.4475032430599,623.1553651795118,直连,
T001,巡航,623.1553651795118,642.8632271159636,直连,
T001,巡航,642.8632271159636,662.5710890524155,直连,
T001,巡航,662.5710890524155,682.2789509888673,直连,
T001,巡航,682.2789509888673,701.9868129253191,直连,
T001,巡航,701.9868129253191,721.694674861771,直连,
T001,巡航,721.694674861771,741.4025367982229,直连,
T001,巡航,741.4025367982229,761.1103987346746,中继,R002
T001,巡航,761.1103987346746,780.8182606711265,中继,R002
T001,巡航,780.8182606711265,800.5261226075784,中继,R002
T001,巡航,800.5261226075784,820.2339845440301,中继,R002
T001,巡航,820.2339845440301,839.9418464804821,中继,R002
T001,巡航,839.9418464804821,859.6497084169339,中继,R002
T001,巡航,859.6497084169339,879.3575703533858,中继,R002
T001,巡航,879.3575703533858,899.0654322898375,中继,R002
T001,巡航,899.0654322898375,918.7732942262894,中继,R002
T001,巡航,918.7732942262894,938.4811561627412,中继,R002
T001,巡航,938.4811561627412,958.189018099193,中继,R002
T001,巡航,958.189018099193,977.8968800356449,中继,R002
T001,下降,977.8968800356449,995.6970126853845,中继,R002
T001,下降,995.6970126853845,1013.4971453351242,中继,R002
T001,下降,1013.4971453351242,1031.2972779848637,中继,R002
T001,投送,1031.2972779848637,1051.2972779848637,中继,R002
T001,投送,1051.2972779848637,1071.2972779848637,中继,R002
T001,投送,1071.2972779848637,1091.2972779848637,中继,R002
T001,投送,1091.2972779848637,1111.2972779848637,中继,R002
T001,投送,1111.2972779848637,1131.2972779848637,中继,R002
T001,投送,1131.2972779848637,1151.2972779848637,中继,R002
T001,投送,1151.2972779848637,1171.2972779848637,中继,R002
T001,投送,1171.2972779848637,1191.2972779848637,中继,R002
T001,投送,1191.2972779848637,1211.2972779848637,中继,R002
T001,投送,1211.2972779848637,1231.2972779848637,中继,R002
T001,投送,1231.2972779848637,1251.2972779848637,中继,R002
T001,投送,1251.2972779848637,1271.2972779848637,中继,R002
T001,爬升,1271.2972779848637,1286.1307218596467,中继,R002
T001,爬升,1286.1307218596467,1300.9641657344298,中继,R002
T001,爬升,1300.9641657344298,1315.7976096092127,中继,R002
T001,巡航,1315.7976096092127,1335.5054715456645,中继,R002
T001,巡航,1335.5054715456645,1355.2133334821165,中继,R002
T001,巡航,1355.2133334821165,1374.9211954185682,中继,R002
T001,巡航,1374.9211954185682,1394.62905735502,中继,R002
T001,巡航,1394.62905735502,1414.336919291472,中继,R002
T001,巡航,1414.336919291472,1434.0447812279237,中继,R002
T001,巡航,1434.0447812279237,1453.7526431643755,中继,R002
T001,巡航,1453.7526431643755,1473.4605051008275,中继,R002
T001,巡航,1473.4605051008275,1493.1683670372793,中继,R002
T001,巡航,1493.1683670372793,1512.876228973731,中继,R002
T001,巡航,1512.876228973731,1532.584090910183,中继,R002
T001,巡航,1532.584090910183,1552.2919528466348,中继,R002
T001,巡航,1552.2919528466348,1571.9998147830865,直连,
T001,巡航,1571.9998147830865,1591.7076767195385,直连,
T001,巡航,1591.7076767195385,1611.4155386559903,直连,
T001,巡航,1611.4155386559903,1631.123400592442,直连,
T001,巡航,1631.123400592442,1650.8312625288938,直连,
T001,巡航,1650.8312625288938,1670.5391244653458,直连,
T001,巡航,1670.5391244653458,1690.2469864017976,直连,
T001,巡航,1690.2469864017976,1709.9548483382496,直连,
T001,巡航,1709.9548483382496,1729.6627102747013,直连,
T001,巡航,1729.6627102747013,1749.370572211153,直连,
T001,巡航,1749.370572211153,1769.078434147605,直连,
T001,巡航,1769.078434147605,1788.7862960840569,直连,
T001,巡航,1788.7862960840569,1808.4941580205086,直连,
T001,下降,1808.4941580205086,1827.5342243453783,直连,
T001,下降,1827.5342243453783,1846.5742906702483,直连,
T001,下降,1846.5742906702483,1865.6143569951182,直连,
T001,下降,1865.6143569951182,1884.654423319988,直连,
T001,下降,1884.654423319988,1903.6944896448576,直连,
T001,下降,1903.6944896448576,1922.7345559697276,直连,
T002,爬升,479.9999999999999,498.125425415039,直连,
T002,爬升,498.125425415039,516.2508508300781,直连,
T002,爬升,516.2508508300781,534.3762762451172,直连,
T002,爬升,534.3762762451172,552.5017016601563,直连,
T002,巡航,552.5017016601563,572.2651888835223,直连,
T002,巡航,572.2651888835223,592.0286761068884,直连,
T002,巡航,592.0286761068884,611.7921633302544,直连,
T002,巡航,611.7921633302544,631.5556505536205,直连,
