slice_id,sortie_id,stage,start_s,end_s,direct_margin_db,midpoint_status
18,T001,巡航,741.402536798,761.110398735,-0.094709127,ASSIGNED
19,T001,巡航,761.110398735,780.818260671,-0.409250750,ASSIGNED
20,T001,巡航,780.818260671,800.526122608,-1.006218691,ASSIGNED
21,T001,巡航,800.526122608,820.233984544,-1.564912721,ASSIGNED
22,T001,巡航,820.233984544,839.941846480,-2.089932413,ASSIGNED
23,T001,巡航,839.941846480,859.649708417,-2.585097130,ASSIGNED
24,T001,巡航,859.649708417,879.357570353,-3.053612662,ASSIGNED
25,T001,巡航,879.357570353,899.065432290,-3.498195720,ASSIGNED
26,T001,巡航,899.065432290,918.773294226,-3.921168435,ASSIGNED
27,T001,巡航,918.773294226,938.481156163,-4.324531127,ASSIGNED
28,T001,巡航,938.481156163,958.189018099,-4.710019053,ASSIGNED
29,T001,巡航,958.189018099,977.896880036,-5.079147201,ASSIGNED
30,T001,下降,977.896880036,995.697012685,-5.433246009,ASSIGNED
31,T001,下降,995.697012685,1013.497145335,-5.431525748,ASSIGNED
32,T001,下降,1013.497145335,1031.297277985,-5.430119556,ASSIGNED
33,T001,投送,1031.297277985,1051.297277985,-5.429027740,ASSIGNED
34,T001,投送,1051.297277985,1071.297277985,-5.429027740,ASSIGNED
35,T001,投送,1071.297277985,1091.297277985,-5.429027740,ASSIGNED
36,T001,投送,1091.297277985,1111.297277985,-5.429027740,ASSIGNED
37,T001,投送,1111.297277985,1131.297277985,-5.429027740,ASSIGNED
38,T001,投送,1131.297277985,1151.297277985,-5.429027740,ASSIGNED
39,T001,投送,1151.297277985,1171.297277985,-5.429027740,ASSIGNED
40,T001,投送,1171.297277985,1191.297277985,-5.429027740,ASSIGNED
41,T001,投送,1191.297277985,1211.297277985,-5.429027740,ASSIGNED
42,T001,投送,1211.297277985,1231.297277985,-5.429027740,ASSIGNED
43,T001,投送,1231.297277985,1251.297277985,-5.429027740,ASSIGNED
44,T001,投送,1251.297277985,1271.297277985,-5.429027740,ASSIGNED
45,T001,爬升,1271.297277985,1286.130721860,-5.429027740,ASSIGNED
46,T001,爬升,1286.130721860,1300.964165734,-5.430119556,ASSIGNED
47,T001,爬升,1300.964165734,1315.797609609,-5.431525748,ASSIGNED
48,T001,巡航,1315.797609609,1335.505471546,-5.433246009,ASSIGNED
49,T001,巡航,1335.505471546,1355.213333482,-5.079147201,ASSIGNED
50,T001,巡航,1355.213333482,1374.921195419,-4.710019053,ASSIGNED
51,T001,巡航,1374.921195419,1394.629057355,-4.324531127,ASSIGNED
52,T001,巡航,1394.629057355,1414.336919291,-3.921168435,ASSIGNED
53,T001,巡航,1414.336919291,1434.044781228,-3.498195720,ASSIGNED
54,T001,巡航,1434.044781228,1453.752643164,-3.053612662,ASSIGNED
55,T001,巡航,1453.752643164,1473.460505101,-2.585097130,ASSIGNED
56,T001,巡航,1473.460505101,1493.168367037,-2.089932413,ASSIGNED
57,T001,巡航,1493.168367037,1512.876228974,-1.564912721,ASSIGNED
58,T001,巡航,1512.876228974,1532.584090910,-1.006218691,ASSIGNED
59,T001,巡航,1532.584090910,1552.291952847,-0.409250750,ASSIGNED
96,T002,巡航,809.427035564,829.190522787,-0.107041869,ASSIGNED
97,T002,巡航,829.190522787,848.954010011,-0.422433362,ASSIGNED
98,T002,巡航,848.954010011,868.717497234,-1.020854021,ASSIGNED
99,T002,巡航,868.717497234,888.480984457,-1.580737777,ASSIGNED
100,T002,巡航,888.480984457,908.244471681,-2.106744019,ASSIGNED
101,T002,巡航,908.244471681,928.007958904,-2.602735847,ASSIGNED
102,T002,巡航,928.007958904,947.771446127,-3.071951629,ASSIGNED
103,T002,巡航,947.771446127,967.534933351,-3.517132742,ASSIGNED
104,T002,巡航,967.534933351,987.298420574,-3.940620270,ASSIGNED
105,T002,巡航,987.298420574,1007.061907798,-4.344429288,ASSIGNED
106,T002,巡航,1007.061907798,1026.825395021,-4.730306680,ASSIGNED
107,T002,巡航,1026.825395021,1046.588882244,-5.099776694,ASSIGNED
108,T002,下降,1046.588882244,1061.497924603,-5.454177219,ASSIGNED
109,T002,下降,1061.497924603,1076.406966961,-5.453487438,ASSIGNED
110,T002,下降,1076.406966961,1091.316009320,-5.452938121,ASSIGNED
111,T002,投送,1091.316009320,1111.116009320,-5.452529325,ASSIGNED
112,T002,投送,1111.116009320,1130.916009320,-5.452529325,ASSIGNED
113,T002,投送,1130.916009320,1150.716009320,-5.452529325,ASSIGNED
114,T002,投送,1150.716009320,1170.516009320,-5.452529325,ASSIGNED
115,T002,投送,1170.516009320,1190.316009320,-5.452529325,ASSIGNED
116,T002,投送,1190.316009320,1210.116009320,-5.452529325,ASSIGNED
117,T002,投送,1210.116009320,1229.916009320,-5.452529325,ASSIGNED
118,T002,投送,1229.916009320,1249.716009320,-5.452529325,ASSIGNED
119,T002,投送,1249.716009320,1269.516009320,-5.452529325,ASSIGNED
120,T002,投送,1269.516009320,1289.316009320,-5.452529325,ASSIGNED
121,T002,投送,1289.316009320,1309.116009320,-5.452529325,ASSIGNED
122,T002,投送,1309.116009320,1328.916009320,-5.452529325,ASSIGNED
123,T002,投送,1328.916009320,1348.716009320,-5.452529325,ASSIGNED
124,T002,投送,1348.716009320,1368.516009320,-5.452529325,ASSIGNED
125,T002,投送,1368.516009320,1388.316009320,-5.452529325,ASSIGNED
126,T002,投送,1388.316009320,1408.116009320,-5.452529325,ASSIGNED
