box_id,batch_id,zone_id,sequence,complete_s,hard_deadline_s,expected_s,priority,hard_slack_s,soft_lateness_s
S012-WAT-01,T001,S012,1,1211.2972779848637,3600.0,3600.0,12.0,2388.7027220151363,0.0
S012-MED-01,T001,S012,2,1241.2972779848637,3600.0,7200.0,22.0,2358.7027220151363,0.0
S012-FOD-01,T001,S012,3,1271.2972779848637,,7200.0,10.0,,0.0
S002-WAT-02,T002,S002,1,1307.3160093195029,,3600.0,12.0,,0.0
S002-WAT-03,T002,S002,2,1343.3160093195029,,3600.0,12.0,,0.0
S002-WAT-04,T002,S002,3,1379.3160093195029,,3600.0,12.0,,0.0
S002-FOD-01,T002,S002,4,1415.3160093195029,,7200.0,10.0,,0.0
S002-FOD-02,T002,S002,5,1451.3160093195029,,7200.0,10.0,,0.0
S002-HYG-01,T002,S002,6,1487.3160093195029,,10800.0,8.0,,0.0
S009-MED-01,T003,S009,1,1030.8111236973878,10800.0,10800.0,16.0,9769.188876302613,0.0
S009-WAT-01,T003,S009,2,1060.8111236973878,10800.0,10800.0,8.0,9739.188876302613,0.0
S009-FOD-01,T003,S009,3,1090.8111236973878,,14400.0,6.0,,0.0
S002-MED-01,T004,S002,1,1253.8087621071425,3600.0,3600.0,24.0,2346.1912378928573,0.0
S002-WAT-01,T004,S002,2,1283.8087621071425,3600.0,3600.0,12.0,2316.1912378928573,0.0
S006-WAT-02,T005,S006,1,905.5059666318372,,3600.0,12.0,,0.0
S006-FOD-01,T005,S006,2,935.5059666318372,,7200.0,10.0,,0.0
S001-WAT-07,T006,S001,1,1003.2701959393784,,3600.0,12.0,,0.0
S001-WAT-08,T006,S001,2,1039.2701959393785,,3600.0,12.0,,0.0
S001-FOD-02,T006,S001,3,1075.2701959393785,,7200.0,10.0,,0.0
S001-FOD-03,T006,S001,4,1111.2701959393785,,7200.0,10.0,,0.0
S001-HYG-01,T006,S001,5,1147.2701959393785,,10800.0,8.0,,0.0
S001-HYG-02,T006,S001,6,1183.2701959393785,,10800.0,8.0,,0.0
S001-WAT-02,T007,S001,1,879.5739059654827,,3600.0,12.0,,0.0
S001-FOD-01,T007,S001,2,909.5739059654827,,7200.0,10.0,,0.0
S006-MED-01,T008,S006,1,1170.505966631837,3600.0,3600.0,24.0,2429.494033368163,0.0
S006-WAT-01,T008,S006,2,1200.505966631837,3600.0,3600.0,12.0,2399.494033368163,0.0
S011-FOD-01,T009,S011,1,2085.2001261685054,,14400.0,6.0,,0.0
S001-MED-01,T010,S001,1,2222.5739059654825,3600.0,3600.0,24.0,1377.4260940345175,0.0
S001-MED-02,T010,S001,2,2252.5739059654825,3600.0,3600.0,24.0,1347.4260940345175,0.0
S001-WAT-01,T010,S001,3,2282.5739059654825,3600.0,3600.0,12.0,1317.4260940345175,0.0
S001-WAT-03,T011,S001,1,2438.2701959393785,,3600.0,12.0,,0.0
S001-WAT-04,T011,S001,2,2474.2701959393785,,3600.0,12.0,,0.0
S001-WAT-05,T011,S001,3,2510.2701959393785,,3600.0,12.0,,0.0
S001-WAT-06,T011,S001,4,2546.2701959393785,,3600.0,12.0,,0.0
S014-WAT-01,T012,S014,1,3314.4327639761796,3600.0,3600.0,12.0,285.56723602382044,0.0
S014-MED-01,T012,S014,2,3344.4327639761796,3600.0,7200.0,22.0,255.56723602382044,0.0
S010-FOD-01,T013,S010,1,3216.9663658275863,,7200.0,10.0,,0.0
S013-MED-01,T014,S013,1,3239.6154441015215,3600.0,3600.0,24.0,360.38455589847854,0.0
S013-WAT-01,T014,S013,2,3275.6154441015215,3600.0,3600.0,12.0,324.38455589847854,0.0
S013-FOD-01,T014,S013,3,3311.6154441015215,,7200.0,10.0,,0.0
S014-FOD-01,T015,S014,1,3314.4327639761796,,7200.0,10.0,,0.0
S010-MED-01,T016,S010,1,3281.9663658275863,3600.0,3600.0,24.0,318.0336341724137,0.0
S010-WAT-01,T016,S010,2,3311.9663658275863,3600.0,3600.0,12.0,288.0336341724137,0.0
S007-MED-01,T017,S007,1,3569.357661336863,3600.0,3600.0,24.0,30.642338663136798,0.0
S007-WAT-01,T017,S007,2,3599.357661336863,3600.0,3600.0,12.0,0.6423386631367975,0.0
S007-HYG-01,T018,S007,1,4244.7477239181235,,10800.0,8.0,,0.0
S003-WAT-02,T018,S003,2,4704.01657455691,,7200.0,10.0,,0.0
S003-WAT-03,T018,S003,3,4740.01657455691,,7200.0,10.0,,0.0
S003-WAT-04,T018,S003,4,4776.01657455691,,7200.0,10.0,,0.0
S003-FOD-01,T018,S003,5,4812.01657455691,,10800.0,8.0,,0.0
S003-FOD-02,T018,S003,6,4848.01657455691,,10800.0,8.0,,0.0
S003-HYG-01,T018,S003,7,4884.01657455691,,14400.0,6.0,,0.0
S003-MED-01,T019,S003,1,4613.300344422223,7200.0,7200.0,20.0,2586.699655577777,0.0
S003-WAT-01,T019,S003,2,4643.300344422223,7200.0,7200.0,10.0,2556.699655577777,0.0
S011-MED-01,T020,S011,1,4630.200126168505,10800.0,10800.0,16.0,6169.799873831495,0.0
S011-WAT-01,T020,S011,2,4660.200126168505,10800.0,10800.0,8.0,6139.799873831495,0.0
S007-WAT-02,T021,S007,1,5041.357661336863,,3600.0,12.0,,1441.3576613368632
S007-FOD-01,T021,S007,2,5071.357661336863,,7200.0,10.0,,0.0
S015-MED-01,T022,S015,1,5107.584292010486,7200.0,7200.0,18.0,2092.415707989514,0.0
S015-WAT-01,T022,S015,2,5137.584292010486,10800.0,10800.0,8.0,5662.415707989514,0.0
S015-FOD-01,T022,S015,3,5167.584292010486,,14400.0,6.0,,0.0
S006-WAT-03,T023,S006,1,4824.401789744272,,3600.0,12.0,,1224.4017897442718
S006-HYG-01,T023,S006,2,4854.401789744272,,10800.0,8.0,,0.0
S008-MED-01,T024,S008,1,7133.696042296324,7200.0,7200.0,20.0,66.30395770367613,0.0
S008-WAT-02,T024,S008,2,7169.696042296324,,7200.0,10.0,,0.0
S008-FOD-01,T024,S008,3,7205.696042296324,,10800.0,8.0,,0.0
S008-HYG-01,T024,S008,4,7241.696042296324,,14400.0,6.0,,0.0
S004-WAT-01,T025,S004,1,7145.500533296583,7200.0,7200.0,10.0,54.499466703417056,0.0
S004-WAT-03,T025,S004,2,7181.500533296583,,7200.0,10.0,,0.0
S004-HYG-01,T025,S004,3,7217.500533296583,,14400.0,6.0,,0.0
S005-MED-01,T026,S005,1,6934.854792475613,10800.0,10800.0,16.0,3865.145207524387,0.0
S005-WAT-01,T026,S005,2,6964.854792475613,10800.0,10800.0,8.0,3835.145207524387,0.0
S004-MED-01,T027,S004,1,7092.470672253289,7200.0,7200.0,20.0,107.5293277467108,0.0
S004-WAT-02,T027,S004,2,7122.470672253289,,7200.0,10.0,,0.0
S004-FOD-01,T027,S004,3,7152.470672253289,,10800.0,8.0,,0.0
S008-WAT-01,T028,S008,1,7164.799731062543,7200.0,7200.0,10.0,35.20026893745671,0.0
S005-FOD-01,T029,S005,1,6934.854792475613,,14400.0,6.0,,0.0
S005-HYG-01,T030,S005,1,6934.854792475613,,18000.0,4.0,,0.0
S005-WAT-02,T031,S005,1,6917.844097652365,,10800.0,8.0,,0.0
S005-WAT-03,T031,S005,2,6947.844097652365,,10800.0,8.0,,0.0
