batch_id,type_id,uav_id,battery_id,visit_order,box_ids,start_s,launch_s,return_s,charge_start_s,charge_end_s,charge_s,mass_kg,volume_m3,energy_kwh,return_soc
T001,A,U01,A-B01,S006,S006-MED-01;S006-WAT-01,0.0,360.0,1313.4852665970077,1313.4852665970077,2192.3868913392653,878.9016247422575,17.0,0.039,1.311582547184737,0.708537211736725
T002,C,U07,C-B01,S002,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-01;S002-FOD-02;S002-HYG-01,0.0,480.0,2107.812018639006,2107.812018639006,4594.759883193701,2486.9478645546947,64.0,0.17200000000000001,6.105653653740411,0.23679329328244858
T003,B,U05,B-B01,S009,S009-MED-01;S009-WAT-01;S009-FOD-01,0.0,390.0,1558.4422473947754,1558.4422473947754,3133.4774587246857,1575.0352113299105,25.0,0.067,2.0962351030690245,0.4759412242327439
T004,A,U02,A-B02,S002,S002-MED-01;S002-WAT-01,0.0,360.0,2003.7375242142848,2003.7375242142848,3347.281414297959,1343.5438900836743,17.0,0.039,2.9199596195204114,0.35112008455101973
T005,A,U03,A-B03,S006,S006-HYG-01,0.0,330.0,1253.4852665970077,1253.4852665970077,2112.58118998957,859.0959233925622,6.0,0.035,1.2430243502050233,0.723772366621106
T006,A,U04,A-B04,S001,S001-WAT-05,0.0,330.0,1190.9011452642987,1190.9011452642987,2043.2096526924145,852.3085074281157,14.0,0.027,1.2195294487896318,0.7289934558245263
T007,C,U08,C-B02,S012>S001,S012-WAT-01;S012-MED-01;S012-FOD-01;S001-WAT-08,0.0,420.0,2410.883446382143,2410.883446382143,4711.989628438827,2301.1061820566833,39.0,0.094,5.4194689799016,0.3225663775123
T008,B,U06,B-B02,S001,S001-FOD-02;S001-HYG-02,1.0,361.0,1150.1015218429495,1150.1015218429495,2253.1252541444087,1103.0237323014592,14.0,0.063,1.0069778437725982,0.7482555390568504
T009,B,U06,B-B03,S001,S001-FOD-03;S001-HYG-01,1151.0,1511.0,2300.1015218429493,2300.1015218429493,3403.1252541444082,1103.0237323014592,14.0,0.063,1.0069778437725982,0.7482555390568504
T010,A,U04,A-B05,S001,S001-MED-01;S001-MED-02;S001-WAT-01,1254.0,1644.0,2564.901145264299,2564.901145264299,3430.1576738669946,865.2565286026954,20.0,0.051000000000000004,1.2643495220862535,0.7190334395363881
T011,A,U03,A-B06,S006>S014,S006-WAT-03;S014-FOD-01,1344.0,1704.0,4063.103584831124,4063.103584831124,5574.508631143204,1511.4050463120798,22.0,0.055,3.501017468003353,0.22199611822147713
T012,A,U01,A-B04,S014,S014-WAT-01;S014-MED-01,2084.0,2444.0,4074.4045344521683,4074.4045344521683,5236.238960257137,1161.8344258049683,17.0,0.039,2.2909653200941213,0.4908965955346397
T013,B,U05,B-B04,S013,S013-MED-01;S013-WAT-01;S013-FOD-01,2196.0,2586.0,3706.4702802928864,3706.4702802928864,5163.863606970384,1457.3933266774975,25.0,0.067,1.8247538307942253,0.5438115423014437
T014,C,U07,C-B03,S007>S003,S007-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-01;S003-FOD-02;S003-HYG-01,2251.0,2761.0,4944.612146725549,4944.612146725549,7509.202121345319,2564.58997461977,70.0,0.20700000000000002,6.39233221398069,0.20095847325241378
