方案编号,组数,单元分组,各组箱数,各组运输架次,各组中继架次,箱数差,运输架次差,中继架次差,库存缺口总数,各类库存缺口,库存未用余量,分组配置总数,各类最少配置,相对共用新增配置,原编号保留缺口总数,原编号保留缺口明细,Pareto非支配
G2-001,2,C01→1; C02→1; C03→1; C04→1; C05→2,77/3,29/2,13/0,74,27,13,0,无,RE:2,28,UA:4; UB:2; UC:2; BA:6; BB:4; BC:4; RU:2; RE:4,2,3,UA:2; BA:1,是
G2-002,2,C01→1; C02→1; C03→1; C04→2; C05→1,74/6,29/2,13/0,68,27,13,2,UC:1; BC:1,BA:2; RE:2,28,UA:4; UB:2; UC:3; BA:4; BB:4; BC:5; RU:2; RE:4,2,3,UA:1; UC:1; BC:1,是
G2-003,2,C01→1; C02→1; C03→1; C04→2; C05→2,71/9,27/4,13/0,62,23,13,3,UA:1; UC:1; BC:1,RE:2,31,UA:5; UB:2; UC:3; BA:6; BB:4; BC:5; RU:2; RE:4,5,6,UA:3; UC:1; BA:1; BC:1,否
G2-004,2,C01→1; C02→1; C03→2; C04→1; C05→1,65/15,28/3,13/0,50,25,13,3,UB:1; UC:1; BC:1,BA:2; RE:2,29,UA:4; UB:3; UC:3; BA:4; BB:4; BC:5; RU:2; RE:4,3,5,UB:1; UC:1; BB:1; BC:2,是
G2-005,2,C01→1; C02→1; C03→2; C04→1; C05→2,62/18,26/5,13/0,44,21,13,3,UB:1; UC:1; BC:1,RE:2,31,UA:4; UB:3; UC:3; BA:6; BB:4; BC:5; RU:2; RE:4,5,8,UA:2; UB:1; UC:1; BA:1; BB:1; BC:2,是
G2-006,2,C01→1; C02→1; C03→2; C04→2; C05→1,59/21,26/5,13/0,38,21,13,5,UB:1; UC:2; BC:2,BA:2; RE:2,31,UA:4; UB:3; UC:4; BA:4; BB:4; BC:6; RU:2; RE:4,5,7,UA:1; UB:1; UC:2; BB:1; BC:2,是
G2-007,2,C01→1; C02→1; C03→2; C04→2; C05→2,56/24,24/7,13/0,32,17,13,6,UA:1; UB:1; UC:2; BC:2,RE:2,34,UA:5; UB:3; UC:4; BA:6; BB:4; BC:6; RU:2; RE:4,8,10,UA:3; UB:1; UC:2; BA:1; BB:1; BC:2,是
G2-008,2,C01→1; C02→2; C03→1; C04→1; C05→1,64/16,25/6,10/3,48,19,7,10,UA:2; UB:1; UC:2; BB:1; BC:2; RU:2,无,40,UA:6; UB:3; UC:4; BA:6; BB:5; BC:6; RU:4; RE:6,14,15,UA:2; UB:1; UC:2; BA:1; BB:2; BC:2; RU:2; RE:3,否
G2-009,2,C01→1; C02→2; C03→1; C04→1; C05→2,61/19,23/8,10/3,42,15,7,8,UB:1; UC:2; BB:1; BC:2; RU:2,BA:1,37,UA:4; UB:3; UC:4; BA:5; BB:5; BC:6; RU:4; RE:6,11,15,UA:2; UB:1; UC:2; BA:1; BB:2; BC:2; RU:2; RE:3,否
G2-010,2,C01→1; C02→2; C03→1; C04→2; C05→1,58/22,23/8,10/3,36,15,7,8,UA:1; UB:1; UC:2; BB:1; BC:1; RU:2,BA:1,37,UA:5; UB:3; UC:4; BA:5; BB:5; BC:5; RU:4; RE:6,11,15,UA:1; UB:1; UC:2; BA:1; BB:2; BC:3; RU:2; RE:3,否
G2-011,2,C01→1; C02→2; C03→1; C04→2; C05→2,55/25,21/10,10/3,30,11,7,7,UB:1; UC:2; BB:1; BC:1; RU:2,BA:1,36,UA:4; UB:3; UC:4; BA:5; BB:5; BC:5; RU:4; RE:6,10,15,UA:1; UB:1; UC:2; BA:1; BB:2; BC:3; RU:2; RE:3,是
G2-012,2,C01→1; C02→2; C03→2; C04→1; C05→1,49/31,22/9,10/3,18,13,7,11,UA:2; UB:2; UC:2; BB:2; BC:1; RU:2,无,41,UA:6; UB:4; UC:4; BA:6; BB:6; BC:5; RU:4; RE:6,15,19,UA:2; UB:2; UC:2; BA:1; BB:3; BC:4; RU:2; RE:3,否
G2-013,2,C01→1; C02→2; C03→2; C04→1; C05→2,46/34,20/11,10/3,12,9,7,9,UB:2; UC:2; BB:2; BC:1; RU:2,BA:1,38,UA:4; UB:4; UC:4; BA:5; BB:6; BC:5; RU:4; RE:6,12,19,UA:2; UB:2; UC:2; BA:1; BB:3; BC:4; RU:2; RE:3,否
G2-014,2,C01→1; C02→2; C03→2; C04→2; C05→1,43/37,20/11,10/3,6,9,7,9,UA:1; UB:2; UC:2; BB:2; RU:2,BA:1,38,UA:5; UB:4; UC:4; BA:5; BB:6; BC:4; RU:4; RE:6,12,18,UA:1; UB:2; UC:2; BA:1; BB:3; BC:4; RU:2; RE:3,否
G2-015,2,C01→1; C02→2; C03→2; C04→2; C05→2,40/40,18/13,10/3,0,5,7,8,UB:2; UC:2; BB:2; RU:2,BA:1,37,UA:4; UB:4; UC:4; BA:5; BB:6; BC:4; RU:4; RE:6,11,18,UA:1; UB:2; UC:2; BA:1; BB:3; BC:4; RU:2; RE:3,是
G3-001,3,C01→1; C02→1; C03→1; C04→2; C05→3,71/6/3,27/2/2,13/0/0,68,25,13,3,UA:1; UC:1; BC:1,RE:2,31,UA:5; UB:2; UC:3; BA:6; BB:4; BC:5; RU:2; RE:4,5,6,UA:3; UC:1; BA:1; BC:1,否
G3-002,3,C01→1; C02→1; C03→2; C04→1; C05→3,62/15/3,26/3/2,13/0/0,59,24,13,3,UB:1; UC:1; BC:1,RE:2,31,UA:4; UB:3; UC:3; BA:6; BB:4; BC:5; RU:2; RE:4,5,8,UA:2; UB:1; UC:1; BA:1; BB:1; BC:2,是
G3-003,3,C01→1; C02→1; C03→2; C04→2; C05→3,56/21/3,24/5/2,13/0/0,53,22,13,6,UA:1; UB:1; UC:2; BC:2,RE:2,34,UA:5; UB:3; UC:4; BA:6; BB:4; BC:6; RU:2; RE:4,8,10,UA:3; UB:1; UC:2; BA:1; BB:1; BC:2,否
G3-004,3,C01→1; C02→1; C03→2; C04→3; C05→1,59/15/6,26/3/2,13/0/0,53,24,13,5,UB:1; UC:2; BC:2,BA:2; RE:2,31,UA:4; UB:3; UC:4; BA:4; BB:4; BC:6; RU:2; RE:4,5,8,UA:1; UB:1; UC:2; BB:1; BC:3,是
G3-005,3,C01→1; C02→1; C03→2; C04→3; C05→2,56/18/6,24/5/2,13/0/0,50,22,13,6,UA:1; UB:1; UC:2; BC:2,RE:2,34,UA:5; UB:3; UC:4; BA:6; BB:4; BC:6; RU:2; RE:4,8,11,UA:3; UB:1; UC:2; BA:1; BB:1; BC:3,否
G3-006,3,C01→1; C02→1; C03→2; C04→3; C05→3,56/15/9,24/3/4,13/0/0,47,21,13,6,UA:1; UB:1; UC:2; BC:2,RE:2,34,UA:5; UB:3; UC:4; BA:6; BB:4; BC:6; RU:2; RE:4,8,11,UA:3; UB:1; UC:2; BA:1; BB:1; BC:3,是
G3-007,3,C01→1; C02→2; C03→1; C04→1; C05→3,61/16/3,23/6/2,10/3/0,58,21,10,11,UA:2; UB:1; UC:2; BA:1; BB:1; BC:2; RU:2,无,41,UA:6; UB:3; UC:4; BA:7; BB:5; BC:6; RU:4; RE:6,15,17,UA:3; UB:1; UC:2; BA:2; BB:2; BC:2; RU:2; RE:3,否
G3-008,3,C01→1; C02→2; C03→1; C04→2; C05→3,55/22/3,21/8/2,10/3/0,52,19,10,8,UA:1; UB:1; UC:2; BB:1; BC:1; RU:2,无,38,UA:5; UB:3; UC:4; BA:6; BB:5; BC:5; RU:4; RE:6,12,17,UA:2; UB:1; UC:2; BA:2; BB:2; BC:3; RU:2; RE:3,否
