方案编号,取向,组号,服务区,箱数,运输架次,中继架次,运输能耗_kWh,中继能耗_kWh,运输机占用_h,电池占用_h,中继机占用_h,能源组件占用_h,A型运输无人机,B型运输无人机,C型运输无人机,A型共享电池,B型共享电池,C型共享电池,中继无人机,中继能源组件
G2-001,缺口优先,1,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S012;S013;S014;S015,77,29,13,85.48154105646991,11.406185363,14.110960098343176,27.17010556832752,12.303289637563335,14.312668193999723,2,2,2,4,4,4,2,4
G2-001,缺口优先,2,S011,3,2,0,2.2534825721205998,0,0.6622371772242653,1.1208499762215973,0.0,0.0,2,0,0,2,0,0,0,0
G2-015,箱数均衡优先,1,S002;S004;S005;S008;S009;S010;S012;S013;S014,40,18,10,57.09499335025715,9.435001055,8.92540314768015,17.478172249398632,10.052897950567779,11.673167166683612,1,2,2,2,3,2,2,4
G2-015,箱数均衡优先,2,S001;S003;S006;S007;S011;S015,40,13,3,30.640030278333366,1.971184308,5.847794127887291,10.812783295150487,2.2503916869955556,2.6395010273161112,3,2,2,3,3,2,2,2
G3-002,缺口优先,1,S002;S003;S004;S005;S006;S007;S008;S009;S010;S012;S013;S014;S015,62,26,13,79.00674461115482,11.406185363,12.945003902343046,24.820414241039945,12.303289637563335,14.312668193999723,2,2,2,4,3,4,2,4
G3-002,缺口优先,2,S001,15,3,0,6.474796445315093,0,1.1659561960001288,2.3496913272875792,0.0,0.0,0,1,1,0,1,1,0,0
G3-002,缺口优先,3,S011,3,2,0,2.2534825721205998,0,0.6622371772242653,1.1208499762215973,0.0,0.0,2,0,0,2,0,0,0,0
G3-024,箱数均衡优先,1,S002;S004;S005;S008;S009;S010;S012;S013;S014,40,18,10,57.09499335025715,9.435001055,8.92540314768015,17.478172249398632,10.052897950567779,11.673167166683612,1,2,2,2,3,2,2,4
G3-024,箱数均衡优先,2,S003;S007;S011;S015,19,8,3,20.525806717791816,1.971184308,3.9198810450712256,7.050387063846909,2.2503916869955556,2.6395010273161112,2,1,2,2,2,2,2,2
G3-024,箱数均衡优先,3,S001;S006,21,5,0,10.114223560541548,0,1.9279130828160658,3.762396231303579,0.0,0.0,1,1,2,1,1,2,0,0
