方案编号,取向,组号,任务编号,类别,服务区,访问顺序,货箱编号,开始时刻_s,返航时刻_s,能耗_kWh
G2-001,缺口优先,1,R001,relay,S002;S009,,,55.577675532,1851.681682937,0.487486046
G2-001,缺口优先,1,R002,relay,S002;S009;S012,,,55.595297664,1942.598767176,0.509156142
G2-001,缺口优先,1,R003,relay,S010;S013;S014,,,2152.123774678,3918.371630901,0.451598745
G2-001,缺口优先,1,R004,relay,S003;S007;S015,,,2243.16479133,5728.727665742,0.986487713
G2-001,缺口优先,1,R005,relay,S015,,,4219.371599213,5703.655923573,0.381375549
G2-001,缺口优先,1,R006,relay,S004;S005;S008,,,6004.601231418,7875.613783739,0.509171564
G2-001,缺口优先,1,R007,relay,S004;S008,,,6029.790404553,7990.272922982,0.524882096
G2-001,缺口优先,1,R008,relay,S003;S007,,,8176.16479133,10407.727665742,0.603321046
G2-001,缺口优先,1,R009,relay,S004;S005;S008;S009,,,8550.350839677,17131.095206262,2.559888987
G2-001,缺口优先,1,R010,relay,S004;S008,,,10708.790404553,17183.272922982,1.904159874
G2-001,缺口优先,1,R011,relay,S012;S013,,,17432.595297664,19273.598767176,0.495100587
G2-001,缺口优先,1,R012,relay,S010;S012;S013;S014,,,17484.123774678,22048.371630901,1.30654319
G2-001,缺口优先,1,R013,relay,S002,,,19574.577675532,22023.681682937,0.687013824
G2-001,缺口优先,1,T001,transport,S002,S002,S002-MED-01;S002-WAT-01,0.0,1756.693933922209,2.432634640007711
G2-001,缺口优先,1,T002,transport,S009,S009,S009-MED-01;S009-WAT-01,0.0,1688.6138747138468,2.2548243762219577
G2-001,缺口优先,1,T004,transport,S012,S012,S012-MED-01;S012-WAT-01,0.0,1862.7345559697276,2.4692276591027387
G2-001,缺口优先,1,T005,transport,S006,S006,S006-FOD-01;S006-HYG-01;S006-WAT-02;S006-WAT-03,0.0,1429.5595259403667,2.327844568041719
G2-001,缺口优先,1,T007,transport,S006,S006,S006-MED-01;S006-WAT-01,1.0,1314.4852665970077,1.311582547184737
G2-001,缺口优先,1,T008,transport,S001,S001,S001-FOD-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-WAT-06,12.0,1506.1703918787568,2.99577859519945
G2-001,缺口优先,1,T009,transport,S001,S001,S001-MED-01;S001-MED-02;S001-WAT-01,1757.0,2966.1015218429493,1.0739842176122094
G2-001,缺口优先,1,T010,transport,S014,S014,S014-MED-01;S014-WAT-01,1980.0,3949.2846571841305,3.644406320696355
G2-001,缺口优先,1,T011,transport,S013,S013,S013-MED-01;S013-WAT-01,1995.0,3607.1111816649363,1.9579471032625122
G2-001,缺口优先,1,T012,transport,S010,S010,S010-MED-01;S010-WAT-01,2030.0,3632.7057476613772,3.1497765539961717
G2-001,缺口优先,1,T013,transport,S003,S003,S003-MED-01;S003-WAT-01,2101.0,4363.65402217778,2.98203927676754
G2-001,缺口优先,1,T014,transport,S007,S007,S007-MED-01;S007-WAT-01,2185.0,3761.284389486637,1.599973308525941
G2-001,缺口优先,1,T015,transport,S015,S015,S015-MED-01;S015-WAT-01,3906.0,5874.604336390146,2.472051578101756
G2-001,缺口优先,1,T016,transport,S015,S015,S015-FOD-01,4066.0,5774.288584020971,1.9174697354595034
G2-001,缺口优先,1,T017,transport,S005,S005,S005-MED-01;S005-WAT-01,5864.0,7477.195158195356,3.44022050332549
G2-001,缺口优先,1,T018,transport,S004,S004,S004-MED-01;S004-WAT-01,5876.0,7913.061066593167,5.013641240219441
G2-001,缺口优先,1,T019,transport,S008,S008,S008-MED-01;S008-WAT-01,5939.0,7840.842307167517,2.66771616652025
G2-001,缺口优先,1,T020,transport,S003,S003,S003-FOD-01;S003-FOD-02;S003-HYG-01;S003-WAT-02;S003-WAT-03;S003-WAT-04,7946.0,10382.111144337276,6.149598035840621
G2-001,缺口优先,1,T021,transport,S007,S007,S007-FOD-01;S007-HYG-01;S007-WAT-02,8062.0,9837.575447836247,3.1511922109758563
G2-001,缺口优先,1,T022,transport,S009,S009,S009-FOD-01,8473.0,9911.442247394774,1.7424471531492611
G2-001,缺口优先,1,T023,transport,S005,S005,S005-FOD-01;S005-HYG-01;S005-WAT-02;S005-WAT-03,9838.0,11583.195158195356,3.787086854217603
G2-001,缺口优先,1,T024,transport,S008,S008,S008-FOD-01;S008-HYG-01;S008-WAT-02,10631.0,12698.712084592647,5.401550250478788
G2-001,缺口优先,1,T025,transport,S004,S004,S004-FOD-01;S004-HYG-01;S004-WAT-02;S004-WAT-03,14996.0,17165.061066593167,5.518523767759751
G2-001,缺口优先,1,T026,transport,S012,S012,S012-FOD-01,17391.0,19193.734555969728,2.2895226521561307
G2-001,缺口优先,1,T027,transport,S013,S013,S013-FOD-01,17437.0,18827.470280292888,1.515628496224302
G2-001,缺口优先,1,T028,transport,S010,S010,S010-FOD-01,19194.0,20629.376902446533,1.515612306671029
G2-001,缺口优先,1,T029,transport,S002,S002,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,19839.0,21946.812018639008,6.105653653740411
G2-001,缺口优先,1,T030,transport,S014,S014,S014-FOD-01,20169.0,22099.40453445217,2.188573652507245
G2-001,缺口优先,1,T031,transport,S001,S001,S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02;S001-WAT-07;S001-WAT-08,21600.0,23094.170391878757,2.405033632503433
G2-001,缺口优先,2,T003,transport,S011,S011,S011-MED-01;S011-WAT-01,0.0,1222.0269190036777,1.1520266159156107
G2-001,缺口优先,2,T006,transport,S011,S011,S011-FOD-01,0.0,1162.0269190036777,1.101455956204989
G2-015,箱数均衡优先,1,R001,relay,S002;S009,,,55.577675532,1851.681682937,0.487486046
G2-015,箱数均衡优先,1,R002,relay,S002;S009;S012,,,55.595297664,1942.598767176,0.509156142
G2-015,箱数均衡优先,1,R003,relay,S010;S013;S014,,,2152.123774678,3918.371630901,0.451598745
G2-015,箱数均衡优先,1,R006,relay,S004;S005;S008,,,6004.601231418,7875.613783739,0.509171564
G2-015,箱数均衡优先,1,R007,relay,S004;S008,,,6029.790404553,7990.272922982,0.524882096
G2-015,箱数均衡优先,1,R009,relay,S004;S005;S008;S009,,,8550.350839677,17131.095206262,2.559888987
G2-015,箱数均衡优先,1,R010,relay,S004;S008,,,10708.790404553,17183.272922982,1.904159874
G2-015,箱数均衡优先,1,R011,relay,S012;S013,,,17432.595297664,19273.598767176,0.495100587
G2-015,箱数均衡优先,1,R012,relay,S010;S012;S013;S014,,,17484.123774678,22048.371630901,1.30654319
G2-015,箱数均衡优先,1,R013,relay,S002,,,19574.577675532,22023.681682937,0.687013824
G2-015,箱数均衡优先,1,T001,transport,S002,S002,S002-MED-01;S002-WAT-01,0.0,1756.693933922209,2.432634640007711
G2-015,箱数均衡优先,1,T002,transport,S009,S009,S009-MED-01;S009-WAT-01,0.0,1688.6138747138468,2.2548243762219577
G2-015,箱数均衡优先,1,T004,transport,S012,S012,S012-MED-01;S012-WAT-01,0.0,1862.7345559697276,2.4692276591027387
G2-015,箱数均衡优先,1,T010,transport,S014,S014,S014-MED-01;S014-WAT-01,1980.0,3949.2846571841305,3.644406320696355
G2-015,箱数均衡优先,1,T011,transport,S013,S013,S013-MED-01;S013-WAT-01,1995.0,3607.1111816649363,1.9579471032625122
G2-015,箱数均衡优先,1,T012,transport,S010,S010,S010-MED-01;S010-WAT-01,2030.0,3632.7057476613772,3.1497765539961717
G2-015,箱数均衡优先,1,T017,transport,S005,S005,S005-MED-01;S005-WAT-01,5864.0,7477.195158195356,3.44022050332549
G2-015,箱数均衡优先,1,T018,transport,S004,S004,S004-MED-01;S004-WAT-01,5876.0,7913.061066593167,5.013641240219441
G2-015,箱数均衡优先,1,T019,transport,S008,S008,S008-MED-01;S008-WAT-01,5939.0,7840.842307167517,2.66771616652025
G2-015,箱数均衡优先,1,T022,transport,S009,S009,S009-FOD-01,8473.0,9911.442247394774,1.7424471531492611
G2-015,箱数均衡优先,1,T023,transport,S005,S005,S005-FOD-01;S005-HYG-01;S005-WAT-02;S005-WAT-03,9838.0,11583.195158195356,3.787086854217603
G2-015,箱数均衡优先,1,T024,transport,S008,S008,S008-FOD-01;S008-HYG-01;S008-WAT-02,10631.0,12698.712084592647,5.401550250478788
G2-015,箱数均衡优先,1,T025,transport,S004,S004,S004-FOD-01;S004-HYG-01;S004-WAT-02;S004-WAT-03,14996.0,17165.061066593167,5.518523767759751
G2-015,箱数均衡优先,1,T026,transport,S012,S012,S012-FOD-01,17391.0,19193.734555969728,2.2895226521561307
G2-015,箱数均衡优先,1,T027,transport,S013,S013,S013-FOD-01,17437.0,18827.470280292888,1.515628496224302
G2-015,箱数均衡优先,1,T028,transport,S010,S010,S010-FOD-01,19194.0,20629.376902446533,1.515612306671029
G2-015,箱数均衡优先,1,T029,transport,S002,S002,S002-FOD-01;S002-FOD-02;S002-HYG-01;S002-WAT-02;S002-WAT-03;S002-WAT-04,19839.0,21946.812018639008,6.105653653740411
G2-015,箱数均衡优先,1,T030,transport,S014,S014,S014-FOD-01,20169.0,22099.40453445217,2.188573652507245
G2-015,箱数均衡优先,2,R004,relay,S003;S007;S015,,,2243.16479133,5728.727665742,0.986487713
G2-015,箱数均衡优先,2,R005,relay,S015,,,4219.371599213,5703.655923573,0.381375549
G2-015,箱数均衡优先,2,R008,relay,S003;S007,,,8176.16479133,10407.727665742,0.603321046
G2-015,箱数均衡优先,2,T003,transport,S011,S011,S011-MED-01;S011-WAT-01,0.0,1222.0269190036777,1.1520266159156107
G2-015,箱数均衡优先,2,T005,transport,S006,S006,S006-FOD-01;S006-HYG-01;S006-WAT-02;S006-WAT-03,0.0,1429.5595259403667,2.327844568041719
G2-015,箱数均衡优先,2,T006,transport,S011,S011,S011-FOD-01,0.0,1162.0269190036777,1.101455956204989
G2-015,箱数均衡优先,2,T007,transport,S006,S006,S006-MED-01;S006-WAT-01,1.0,1314.4852665970077,1.311582547184737
G2-015,箱数均衡优先,2,T008,transport,S001,S001,S001-FOD-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-WAT-06,12.0,1506.1703918787568,2.99577859519945
G2-015,箱数均衡优先,2,T009,transport,S001,S001,S001-MED-01;S001-MED-02;S001-WAT-01,1757.0,2966.1015218429493,1.0739842176122094
G2-015,箱数均衡优先,2,T013,transport,S003,S003,S003-MED-01;S003-WAT-01,2101.0,4363.65402217778,2.98203927676754
