方案编号,取向,服务区,组号,货箱数
G2-001,缺口优先,S001,1,15
G2-001,缺口优先,S002,1,8
G2-001,缺口优先,S003,1,8
G2-001,缺口优先,S004,1,6
G2-001,缺口优先,S005,1,6
G2-001,缺口优先,S006,1,6
G2-001,缺口优先,S007,1,5
G2-001,缺口优先,S008,1,5
G2-001,缺口优先,S009,1,3
G2-001,缺口优先,S010,1,3
G2-001,缺口优先,S011,2,3
G2-001,缺口优先,S012,1,3
G2-001,缺口优先,S013,1,3
G2-001,缺口优先,S014,1,3
G2-001,缺口优先,S015,1,3
G2-015,箱数均衡优先,S001,2,15
G2-015,箱数均衡优先,S002,1,8
G2-015,箱数均衡优先,S003,2,8
G2-015,箱数均衡优先,S004,1,6
G2-015,箱数均衡优先,S005,1,6
G2-015,箱数均衡优先,S006,2,6
G2-015,箱数均衡优先,S007,2,5
G2-015,箱数均衡优先,S008,1,5
G2-015,箱数均衡优先,S009,1,3
G2-015,箱数均衡优先,S010,1,3
G2-015,箱数均衡优先,S011,2,3
G2-015,箱数均衡优先,S012,1,3
G2-015,箱数均衡优先,S013,1,3
G2-015,箱数均衡优先,S014,1,3
G2-015,箱数均衡优先,S015,2,3
G3-002,缺口优先,S001,2,15
G3-002,缺口优先,S002,1,8
G3-002,缺口优先,S003,1,8
G3-002,缺口优先,S004,1,6
G3-002,缺口优先,S005,1,6
G3-002,缺口优先,S006,1,6
G3-002,缺口优先,S007,1,5
G3-002,缺口优先,S008,1,5
G3-002,缺口优先,S009,1,3
G3-002,缺口优先,S010,1,3
G3-002,缺口优先,S011,3,3
G3-002,缺口优先,S012,1,3
G3-002,缺口优先,S013,1,3
G3-002,缺口优先,S014,1,3
G3-002,缺口优先,S015,1,3
G3-024,箱数均衡优先,S001,3,15
G3-024,箱数均衡优先,S002,1,8
G3-024,箱数均衡优先,S003,2,8
G3-024,箱数均衡优先,S004,1,6
G3-024,箱数均衡优先,S005,1,6
G3-024,箱数均衡优先,S006,3,6
G3-024,箱数均衡优先,S007,2,5
G3-024,箱数均衡优先,S008,1,5
G3-024,箱数均衡优先,S009,1,3
G3-024,箱数均衡优先,S010,1,3
G3-024,箱数均衡优先,S011,2,3
G3-024,箱数均衡优先,S012,1,3
G3-024,箱数均衡优先,S013,1,3
G3-024,箱数均衡优先,S014,1,3
G3-024,箱数均衡优先,S015,2,3
