方案编号,取向,组号,货箱编号,架次编号,服务区编号,交付完成时刻（s）
G2-001,缺口优先,1,S001-FOD-01,T008,S001,1194.2701959393785
G2-001,缺口优先,1,S001-FOD-02,T031,S001,22674.270195939378
G2-001,缺口优先,1,S001-FOD-03,T031,S001,22710.270195939378
G2-001,缺口优先,1,S001-HYG-01,T031,S001,22746.270195939378
G2-001,缺口优先,1,S001-HYG-02,T031,S001,22782.270195939378
G2-001,缺口优先,1,S001-MED-01,T009,S001,2614.674094254808
G2-001,缺口优先,1,S001-MED-02,T009,S001,2644.674094254808
G2-001,缺口优先,1,S001-WAT-01,T009,S001,2674.674094254808
G2-001,缺口优先,1,S001-WAT-02,T008,S001,1014.2701959393784
G2-001,缺口优先,1,S001-WAT-03,T008,S001,1050.2701959393785
G2-001,缺口优先,1,S001-WAT-04,T008,S001,1086.2701959393785
G2-001,缺口优先,1,S001-WAT-05,T008,S001,1122.2701959393785
G2-001,缺口优先,1,S001-WAT-06,T008,S001,1158.2701959393785
G2-001,缺口优先,1,S001-WAT-07,T031,S001,22602.270195939378
G2-001,缺口优先,1,S001-WAT-08,T031,S001,22638.270195939378
G2-001,缺口优先,1,S002-FOD-01,T029,S002,21254.316009319504
G2-001,缺口优先,1,S002-FOD-02,T029,S002,21290.316009319504
G2-001,缺口优先,1,S002-HYG-01,T029,S002,21326.316009319504
G2-001,缺口优先,1,S002-MED-01,T001,S002,1130.2869669611046
G2-001,缺口优先,1,S002-WAT-01,T001,S002,1160.2869669611046
G2-001,缺口优先,1,S002-WAT-02,T029,S002,21146.316009319504
G2-001,缺口优先,1,S002-WAT-03,T029,S002,21182.316009319504
G2-001,缺口优先,1,S002-WAT-04,T029,S002,21218.316009319504
G2-001,缺口优先,1,S003-FOD-01,T020,S003,9519.515572168639
G2-001,缺口优先,1,S003-FOD-02,T020,S003,9555.515572168639
G2-001,缺口优先,1,S003-HYG-01,T020,S003,9591.515572168639
G2-001,缺口优先,1,S003-MED-01,T013,S003,3480.300344422223
G2-001,缺口优先,1,S003-WAT-01,T013,S003,3510.300344422223
G2-001,缺口优先,1,S003-WAT-02,T020,S003,9411.515572168639
G2-001,缺口优先,1,S003-WAT-03,T020,S003,9447.515572168639
G2-001,缺口优先,1,S003-WAT-04,T020,S003,9483.515572168639
G2-001,缺口优先,1,S004-FOD-01,T025,S004,16411.500533296585
G2-001,缺口优先,1,S004-HYG-01,T025,S004,16447.500533296585
G2-001,缺口优先,1,S004-MED-01,T018,S004,7159.500533296583
G2-001,缺口优先,1,S004-WAT-01,T018,S004,7195.500533296583
G2-001,缺口优先,1,S004-WAT-02,T025,S004,16339.500533296583
G2-001,缺口优先,1,S004-WAT-03,T025,S004,16375.500533296583
G2-001,缺口优先,1,S005-FOD-01,T023,S005,11043.232579097677
G2-001,缺口优先,1,S005-HYG-01,T023,S005,11079.232579097677
G2-001,缺口优先,1,S005-MED-01,T017,S005,6937.232579097678
G2-001,缺口优先,1,S005-WAT-01,T017,S005,6973.232579097678
G2-001,缺口优先,1,S005-WAT-02,T023,S005,10971.232579097677
G2-001,缺口优先,1,S005-WAT-03,T023,S005,11007.232579097677
G2-001,缺口优先,1,S006-FOD-01,T005,S006,1041.4247629701833
G2-001,缺口优先,1,S006-HYG-01,T005,S006,1077.4247629701833
G2-001,缺口优先,1,S006-MED-01,T007,S006,906.5059666318372
G2-001,缺口优先,1,S006-WAT-01,T007,S006,936.5059666318372
G2-001,缺口优先,1,S006-WAT-02,T005,S006,969.4247629701833
G2-001,缺口优先,1,S006-WAT-03,T005,S006,1005.4247629701833
G2-001,缺口优先,1,S007-FOD-01,T021,S007,9241.747723918123
G2-001,缺口优先,1,S007-HYG-01,T021,S007,9277.747723918123
G2-001,缺口优先,1,S007-MED-01,T014,S007,3220.7821947433185
G2-001,缺口优先,1,S007-WAT-01,T014,S007,3250.7821947433185
G2-001,缺口优先,1,S007-WAT-02,T021,S007,9205.747723918123
G2-001,缺口优先,1,S008-FOD-01,T024,S008,11960.696042296324
G2-001,缺口优先,1,S008-HYG-01,T024,S008,11996.696042296324
G2-001,缺口优先,1,S008-MED-01,T019,S008,7140.147820250426
G2-001,缺口优先,1,S008-WAT-01,T019,S008,7170.147820250426
G2-001,缺口优先,1,S008-WAT-02,T024,S008,11924.696042296324
G2-001,缺口优先,1,S009-FOD-01,T022,S009,9443.811123697387
G2-001,缺口优先,1,S009-MED-01,T002,S009,1095.8969373569234
G2-001,缺口优先,1,S009-WAT-01,T002,S009,1125.8969373569234
G2-001,缺口优先,1,S010-FOD-01,T028,S010,20159.225117889935
G2-001,缺口优先,1,S010-MED-01,T012,S010,3090.157873830689
G2-001,缺口优先,1,S010-WAT-01,T012,S010,3126.157873830689
G2-001,缺口优先,2,S011-FOD-01,T006,S011,833.2001261685054
G2-001,缺口优先,2,S011-MED-01,T003,S011,863.2001261685054
G2-001,缺口优先,2,S011-WAT-01,T003,S011,893.2001261685054
G2-001,缺口优先,1,S012-FOD-01,T026,S012,18542.297277984864
G2-001,缺口优先,1,S012-MED-01,T004,S012,1211.2972779848637
G2-001,缺口优先,1,S012-WAT-01,T004,S012,1181.2972779848637
G2-001,缺口优先,1,S013-FOD-01,T027,S013,18379.768473479777
G2-001,缺口优先,1,S013-MED-01,T011,S013,3048.5889241658015
G2-001,缺口优先,1,S013-WAT-01,T011,S013,3078.5889241658015
G2-001,缺口优先,1,S014-FOD-01,T030,S014,21381.75893389275
G2-001,缺口优先,1,S014-MED-01,T010,S014,3259.4773285920655
G2-001,缺口优先,1,S014-WAT-01,T010,S014,3223.4773285920655
G2-001,缺口优先,1,S015-FOD-01,T016,S015,5163.584292010486
G2-001,缺口优先,1,S015-MED-01,T015,S015,5133.742168195073
G2-001,缺口优先,1,S015-WAT-01,T015,S015,5163.742168195073
G2-015,箱数均衡优先,2,S001-FOD-01,T008,S001,1194.2701959393785
G2-015,箱数均衡优先,2,S001-FOD-02,T031,S001,22674.270195939378
G2-015,箱数均衡优先,2,S001-FOD-03,T031,S001,22710.270195939378
G2-015,箱数均衡优先,2,S001-HYG-01,T031,S001,22746.270195939378
G2-015,箱数均衡优先,2,S001-HYG-02,T031,S001,22782.270195939378
G2-015,箱数均衡优先,2,S001-MED-01,T009,S001,2614.674094254808
G2-015,箱数均衡优先,2,S001-MED-02,T009,S001,2644.674094254808
G2-015,箱数均衡优先,2,S001-WAT-01,T009,S001,2674.674094254808
G2-015,箱数均衡优先,2,S001-WAT-02,T008,S001,1014.2701959393784
G2-015,箱数均衡优先,2,S001-WAT-03,T008,S001,1050.2701959393785
G2-015,箱数均衡优先,2,S001-WAT-04,T008,S001,1086.2701959393785
G2-015,箱数均衡优先,2,S001-WAT-05,T008,S001,1122.2701959393785
G2-015,箱数均衡优先,2,S001-WAT-06,T008,S001,1158.2701959393785
G2-015,箱数均衡优先,2,S001-WAT-07,T031,S001,22602.270195939378
G2-015,箱数均衡优先,2,S001-WAT-08,T031,S001,22638.270195939378
G2-015,箱数均衡优先,1,S002-FOD-01,T029,S002,21254.316009319504
G2-015,箱数均衡优先,1,S002-FOD-02,T029,S002,21290.316009319504
G2-015,箱数均衡优先,1,S002-HYG-01,T029,S002,21326.316009319504
G2-015,箱数均衡优先,1,S002-MED-01,T001,S002,1130.2869669611046
G2-015,箱数均衡优先,1,S002-WAT-01,T001,S002,1160.2869669611046
G2-015,箱数均衡优先,1,S002-WAT-02,T029,S002,21146.316009319504
G2-015,箱数均衡优先,1,S002-WAT-03,T029,S002,21182.316009319504
G2-015,箱数均衡优先,1,S002-WAT-04,T029,S002,21218.316009319504
G2-015,箱数均衡优先,2,S003-FOD-01,T020,S003,9519.515572168639
G2-015,箱数均衡优先,2,S003-FOD-02,T020,S003,9555.515572168639
